file_id	file_name	file_type	file_size	md5sum	file_url_in_cds	submission_version	type	sample.sample_id	study.phs_accession	participant.study_participant_id	experimental_strategy_and_data_subtypes
dg.4DFC/62180b44-7e68-11ee-ac28-83d3d6dbbeaa	MIBITIFF_NB_Point2_combined.ome.tiff	OME-TIFF	103206902	870a7297e9778c7fd91960a3c5e0c557	s3://cds-290-htan-x6gj-xr09/v23.3.1.img/htan-dcc-htapp/mibi_level_2/neuroblastoma/MIBITIFF_NB_Point2_combined.ome.tiff	phs002371_image	file	HTA1_102_114012_Tissue Biospecimen Type	phs002371_image	phs002371_image_HTA1_102	
dg.4DFC/6218f0fe-7e68-11ee-b531-4b1b3ff3d459	MIBITIFF_NB_Point3_combined.ome.tiff	OME-TIFF	103206902	06a6261f658d024fa0fc53188cf257cf	s3://cds-290-htan-x6gj-xr09/v23.3.1.img/htan-dcc-htapp/mibi_level_2/neuroblastoma/MIBITIFF_NB_Point3_combined.ome.tiff	phs002371_image	file	HTA1_102_114013_Tissue Biospecimen Type	phs002371_image	phs002371_image_HTA1_102	
dg.4DFC/6219167e-7e68-11ee-b49c-bfac341135af	MIBITIFF_NB_Point1_combined.ome.tiff	OME-TIFF	103206902	db3a2f07de97cb40f5dfb857bce1c2d0	s3://cds-290-htan-x6gj-xr09/v23.3.1.img/htan-dcc-htapp/mibi_level_2/neuroblastoma/MIBITIFF_NB_Point1_combined.ome.tiff	phs002371_image	file	HTA1_102_114011_Tissue Biospecimen Type	phs002371_image	phs002371_image_HTA1_102	
dg.4DFC/62193ad2-7e68-11ee-9424-c7fd084f17a8	MIBITIFF_NB_Point6_combined.ome.tiff	OME-TIFF	103206902	5f982029f8bf3d80adf9e83eb0a5ed9f	s3://cds-290-htan-x6gj-xr09/v23.3.1.img/htan-dcc-htapp/mibi_level_2/neuroblastoma/MIBITIFF_NB_Point6_combined.ome.tiff	phs002371_image	file	HTA1_116_314013_Tissue Biospecimen Type	phs002371_image	phs002371_image_HTA1_116	
dg.4DFC/62195fa8-7e68-11ee-93ef-1fcde06b212e	MIBITIFF_NB_Point5_combined.ome.tiff	OME-TIFF	103206902	5944d7328218a6711ec6fcefa591ecf2	s3://cds-290-htan-x6gj-xr09/v23.3.1.img/htan-dcc-htapp/mibi_level_2/neuroblastoma/MIBITIFF_NB_Point5_combined.ome.tiff	phs002371_image	file	HTA1_116_314012_Tissue Biospecimen Type	phs002371_image	phs002371_image_HTA1_116	
dg.4DFC/6219842e-7e68-11ee-8c55-4f0eb253ae28	MIBITIFF_NB_Point4_combined.ome.tiff	OME-TIFF	103206902	4da38ac57c458278f61b4d0222f7715b	s3://cds-290-htan-x6gj-xr09/v23.3.1.img/htan-dcc-htapp/mibi_level_2/neuroblastoma/MIBITIFF_NB_Point4_combined.ome.tiff	phs002371_image	file	HTA1_116_314011_Tissue Biospecimen Type	phs002371_image	phs002371_image_HTA1_116	
dg.4DFC/6219a7ce-7e68-11ee-af61-438d2bb8e053	MIBITIFF_NB_Point7_combined.ome.tiff	OME-TIFF	103206902	f0475c9dd97c2ade873c52246aed0b3d	s3://cds-290-htan-x6gj-xr09/v23.3.1.img/htan-dcc-htapp/mibi_level_2/neuroblastoma/MIBITIFF_NB_Point7_combined.ome.tiff	phs002371_image	file	HTA1_120_414011_Tissue Biospecimen Type	phs002371_image	phs002371_image_HTA1_120	
dg.4DFC/6219cbaa-7e68-11ee-b257-a7b1c032cef3	MIBITIFF_NB_Point8_combined.ome.tiff	OME-TIFF	103206902	ef13af4306da21b44d0b5a5f0265e9f3	s3://cds-290-htan-x6gj-xr09/v23.3.1.img/htan-dcc-htapp/mibi_level_2/neuroblastoma/MIBITIFF_NB_Point8_combined.ome.tiff	phs002371_image	file	HTA1_120_414012_Tissue Biospecimen Type	phs002371_image	phs002371_image_HTA1_120	
dg.4DFC/6219f0c6-7e68-11ee-97e2-cb22188803a5	MIBITIFF_NB_Point9_combined.ome.tiff	OME-TIFF	103206902	fbf071069eb69f8ed0b34547c72b7494	s3://cds-290-htan-x6gj-xr09/v23.3.1.img/htan-dcc-htapp/mibi_level_2/neuroblastoma/MIBITIFF_NB_Point9_combined.ome.tiff	phs002371_image	file	HTA1_120_414013_Tissue Biospecimen Type	phs002371_image	phs002371_image_HTA1_120	
dg.4DFC/621a18da-7e68-11ee-aa84-b73d66b6e9f0	MIBITIFF_NB_Point11_combined.ome.tiff	OME-TIFF	103206966	be3c7bea7b24ad3b1118d1268e40b4eb	s3://cds-290-htan-x6gj-xr09/v23.3.1.img/htan-dcc-htapp/mibi_level_2/neuroblastoma/MIBITIFF_NB_Point11_combined.ome.tiff	phs002371_image	file	HTA1_125_714012_Tissue Biospecimen Type	phs002371_image	phs002371_image_HTA1_125	
dg.4DFC/621a3d1a-7e68-11ee-9f68-0b5082b5e2de	MIBITIFF_NB_Point12_combined.ome.tiff	OME-TIFF	103206966	e19c31082e29567a4709703ccc39e6ac	s3://cds-290-htan-x6gj-xr09/v23.3.1.img/htan-dcc-htapp/mibi_level_2/neuroblastoma/MIBITIFF_NB_Point12_combined.ome.tiff	phs002371_image	file	HTA1_125_714013_Tissue Biospecimen Type	phs002371_image	phs002371_image_HTA1_125	
dg.4DFC/621a615a-7e68-11ee-9311-b7e73dcd8909	MIBITIFF_NB_Point10_combined.ome.tiff	OME-TIFF	103206966	68eff7ee553c1bdd965f5fa7ad4d20d5	s3://cds-290-htan-x6gj-xr09/v23.3.1.img/htan-dcc-htapp/mibi_level_2/neuroblastoma/MIBITIFF_NB_Point10_combined.ome.tiff	phs002371_image	file	HTA1_125_714011_Tissue Biospecimen Type	phs002371_image	phs002371_image_HTA1_125	
dg.4DFC/621a85fe-7e68-11ee-86b1-93773c708d7a	MIBITIFF_NB_Point13_combined.ome.tiff	OME-TIFF	103206966	bddd683addb06b15e8cd86097ebb9063	s3://cds-290-htan-x6gj-xr09/v23.3.1.img/htan-dcc-htapp/mibi_level_2/neuroblastoma/MIBITIFF_NB_Point13_combined.ome.tiff	phs002371_image	file	HTA1_130_914011_Tissue Biospecimen Type	phs002371_image	phs002371_image_HTA1_130	
dg.4DFC/621aadfe-7e68-11ee-bacb-af95ec085cff	MIBITIFF_NB_Point15_combined.ome.tiff	OME-TIFF	103206966	2bfa8bb2b497deac6afea02c85d445a3	s3://cds-290-htan-x6gj-xr09/v23.3.1.img/htan-dcc-htapp/mibi_level_2/neuroblastoma/MIBITIFF_NB_Point15_combined.ome.tiff	phs002371_image	file	HTA1_130_914013_Tissue Biospecimen Type	phs002371_image	phs002371_image_HTA1_130	
dg.4DFC/621ad248-7e68-11ee-a9e9-f702ebed4587	MIBITIFF_NB_Point14_combined.ome.tiff	OME-TIFF	103206966	485bd5c6d2d5d90354aac5fa744331b4	s3://cds-290-htan-x6gj-xr09/v23.3.1.img/htan-dcc-htapp/mibi_level_2/neuroblastoma/MIBITIFF_NB_Point14_combined.ome.tiff	phs002371_image	file	HTA1_130_914012_Tissue Biospecimen Type	phs002371_image	phs002371_image_HTA1_130	
dg.4DFC/621af5a2-7e68-11ee-b176-afacb264bd40	MIBITIFF_NB_Point18_combined.ome.tiff	OME-TIFF	103206966	720292c161992b890a8cc1ed9e4ab01e	s3://cds-290-htan-x6gj-xr09/v23.3.1.img/htan-dcc-htapp/mibi_level_2/neuroblastoma/MIBITIFF_NB_Point18_combined.ome.tiff	phs002371_image	file	HTA1_136_1024013_Tissue Biospecimen Type	phs002371_image	phs002371_image_HTA1_136	
dg.4DFC/621b1a32-7e68-11ee-bdae-8b8f3c55f398	MIBITIFF_NB_Point16_combined.ome.tiff	OME-TIFF	103206966	4b82a054cbee6abc5d98dc504398d747	s3://cds-290-htan-x6gj-xr09/v23.3.1.img/htan-dcc-htapp/mibi_level_2/neuroblastoma/MIBITIFF_NB_Point16_combined.ome.tiff	phs002371_image	file	HTA1_136_1024011_Tissue Biospecimen Type	phs002371_image	phs002371_image_HTA1_136	
dg.4DFC/621b3e22-7e68-11ee-8b71-97f4ff57d54d	MIBITIFF_NB_Point17_combined.ome.tiff	OME-TIFF	103206966	61d15a54ab17cef9d5d31714a98dffcb	s3://cds-290-htan-x6gj-xr09/v23.3.1.img/htan-dcc-htapp/mibi_level_2/neuroblastoma/MIBITIFF_NB_Point17_combined.ome.tiff	phs002371_image	file	HTA1_136_1024012_Tissue Biospecimen Type	phs002371_image	phs002371_image_HTA1_136	
dg.4DFC/621b6208-7e68-11ee-a6ba-03435defd2e2	MIBITIFF_NB_Point20_combined.ome.tiff	OME-TIFF	103206966	9dfb83a46325772a633838b69790da23	s3://cds-290-htan-x6gj-xr09/v23.3.1.img/htan-dcc-htapp/mibi_level_2/neuroblastoma/MIBITIFF_NB_Point20_combined.ome.tiff	phs002371_image	file	HTA1_141_1114012_Tissue Biospecimen Type	phs002371_image	phs002371_image_HTA1_141	
dg.4DFC/621b85bc-7e68-11ee-b320-4f93be2ec3d9	MIBITIFF_NB_Point19_combined.ome.tiff	OME-TIFF	103206966	dfb94b49547e9db6eddb35390e68bbdd	s3://cds-290-htan-x6gj-xr09/v23.3.1.img/htan-dcc-htapp/mibi_level_2/neuroblastoma/MIBITIFF_NB_Point19_combined.ome.tiff	phs002371_image	file	HTA1_141_1114011_Tissue Biospecimen Type	phs002371_image	phs002371_image_HTA1_141	
dg.4DFC/621ba948-7e68-11ee-9682-43880087b371	MIBITIFF_NB_Point21_combined.ome.tiff	OME-TIFF	103206966	6072c255b3b0fbf7fe953091ef4a3827	s3://cds-290-htan-x6gj-xr09/v23.3.1.img/htan-dcc-htapp/mibi_level_2/neuroblastoma/MIBITIFF_NB_Point21_combined.ome.tiff	phs002371_image	file	HTA1_141_1114013_Tissue Biospecimen Type	phs002371_image	phs002371_image_HTA1_141	
dg.4DFC/621bcefa-7e68-11ee-90cc-77b982a9171d	MIBITIFF_NB_Point24_combined.ome.tiff	OME-TIFF	103206966	d4610c245c4dafee4e577f4d7fc993be	s3://cds-290-htan-x6gj-xr09/v23.3.1.img/htan-dcc-htapp/mibi_level_2/neuroblastoma/MIBITIFF_NB_Point24_combined.ome.tiff	phs002371_image	file	HTA1_148_1414013_Tissue Biospecimen Type	phs002371_image	phs002371_image_HTA1_148	
dg.4DFC/621bf40c-7e68-11ee-8dc1-ff9afcd4a994	MIBITIFF_NB_Point22_combined.ome.tiff	OME-TIFF	103206968	92efa9f1423fb87d988ca431b10465e2	s3://cds-290-htan-x6gj-xr09/v23.3.1.img/htan-dcc-htapp/mibi_level_2/neuroblastoma/MIBITIFF_NB_Point22_combined.ome.tiff	phs002371_image	file	HTA1_148_1414011_Tissue Biospecimen Type	phs002371_image	phs002371_image_HTA1_148	
