reference_genome_assembly	library_strategy	library_layout	library_source	library_selection	platform	instrument_model	type	genomic_info_id	file.file_id	library_source_material	library_source_molecule
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/1dc3bcba-9085-11ef-96fd-878527d70715	dg.4DFC/1dc3bcba-9085-11ef-96fd-878527d70715	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/1dc4daa0-9085-11ef-8c45-6fadc98b8f51	dg.4DFC/1dc4daa0-9085-11ef-8c45-6fadc98b8f51	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dc511dc-9085-11ef-bcc5-a77f0c03ef6f	dg.4DFC/1dc511dc-9085-11ef-bcc5-a77f0c03ef6f	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dc546b6-9085-11ef-b39b-9f46b412d0a6	dg.4DFC/1dc546b6-9085-11ef-b39b-9f46b412d0a6	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dc57b40-9085-11ef-bf71-abdca7ea8f4b	dg.4DFC/1dc57b40-9085-11ef-bf71-abdca7ea8f4b	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dc5b0e2-9085-11ef-a193-735d663abd19	dg.4DFC/1dc5b0e2-9085-11ef-a193-735d663abd19	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dc5e6ca-9085-11ef-b22a-7342143acc90	dg.4DFC/1dc5e6ca-9085-11ef-b22a-7342143acc90	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dc61afa-9085-11ef-97bf-9765ac34c8aa	dg.4DFC/1dc61afa-9085-11ef-97bf-9765ac34c8aa	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dc64ffc-9085-11ef-a580-4f5e48670fe3	dg.4DFC/1dc64ffc-9085-11ef-a580-4f5e48670fe3	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dc683e6-9085-11ef-9b66-53a23783d7c3	dg.4DFC/1dc683e6-9085-11ef-9b66-53a23783d7c3	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dc6b776-9085-11ef-ac0d-571d8236e2c8	dg.4DFC/1dc6b776-9085-11ef-ac0d-571d8236e2c8	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dc6ecd2-9085-11ef-98ca-c3568c109a13	dg.4DFC/1dc6ecd2-9085-11ef-98ca-c3568c109a13	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dc7212a-9085-11ef-8707-0f7ab316e0ca	dg.4DFC/1dc7212a-9085-11ef-8707-0f7ab316e0ca	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dc7542e-9085-11ef-9318-035fc5c82091	dg.4DFC/1dc7542e-9085-11ef-9318-035fc5c82091	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dc7891c-9085-11ef-99f2-775139b4d5ce	dg.4DFC/1dc7891c-9085-11ef-99f2-775139b4d5ce	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dc7bcd4-9085-11ef-ac03-63f64691471e	dg.4DFC/1dc7bcd4-9085-11ef-ac03-63f64691471e	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dc7eff6-9085-11ef-bbcf-afa4e62f68a3	dg.4DFC/1dc7eff6-9085-11ef-bbcf-afa4e62f68a3	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dc828f4-9085-11ef-83d4-3fdb1df99e9e	dg.4DFC/1dc828f4-9085-11ef-83d4-3fdb1df99e9e	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dc85cde-9085-11ef-ac6b-8be97f56b0e3	dg.4DFC/1dc85cde-9085-11ef-ac6b-8be97f56b0e3	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dc890d2-9085-11ef-b5ef-b3f09ae6217a	dg.4DFC/1dc890d2-9085-11ef-b5ef-b3f09ae6217a	Single-cells	
