type	study_link_id	citation_or_DOI	de_identification_method_type	de_identification_method_type_concept_code	file.file_id	image_modality	image_modality_concept_code	imaging_equipment_manufacturer	license	organ_or_tissue	organ_or_tissue_concept_code	species
image	dg.4DFC/0025404c-25c5-58a4-b896-187a14c2e938	https://doi.org/10.7937/K9/TCIA.2016.LXKQ47MS	Semiautomatic	C172484	dg.4DFC/0025404c-25c5-58a4-b896-187a14c2e938	CT	C17204	TOSHIBA		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/004c3298-b2fb-5a30-8856-44b126da8d7e	https://doi.org/10.7937/K9/TCIA.2016.LXKQ47MS	Semiautomatic	C172484	dg.4DFC/004c3298-b2fb-5a30-8856-44b126da8d7e	CT	C17204	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/00c46336-495e-52d3-ba19-63db6e40c883	https://doi.org/10.7937/K9/TCIA.2016.LXKQ47MS	Semiautomatic	C172484	dg.4DFC/00c46336-495e-52d3-ba19-63db6e40c883	MR	C16809	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/00c47290-2cb3-51b5-9f11-d12fe763a67f	https://doi.org/10.7937/K9/TCIA.2016.LXKQ47MS	Semiautomatic	C172484	dg.4DFC/00c47290-2cb3-51b5-9f11-d12fe763a67f	CT	C17204	Philips		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/00ca0929-4086-5b20-8e65-fc1efb758b3f	https://doi.org/10.7937/K9/TCIA.2016.LXKQ47MS	Semiautomatic	C172484	dg.4DFC/00ca0929-4086-5b20-8e65-fc1efb758b3f	CT	C17204	SIEMENS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/00d0955e-f80c-5049-b36a-e2ccb32e3977	https://doi.org/10.7937/K9/TCIA.2016.LXKQ47MS	Semiautomatic	C172484	dg.4DFC/00d0955e-f80c-5049-b36a-e2ccb32e3977	MR	C16809	SIEMENS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/00dfb10e-9075-5ebd-8893-65a22b779dac	https://doi.org/10.7937/K9/TCIA.2016.LXKQ47MS	Semiautomatic	C172484	dg.4DFC/00dfb10e-9075-5ebd-8893-65a22b779dac	CT	C17204	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/00fb81fd-dc84-5197-916f-9c1d9b2487c1	https://doi.org/10.7937/K9/TCIA.2016.LXKQ47MS	Semiautomatic	C172484	dg.4DFC/00fb81fd-dc84-5197-916f-9c1d9b2487c1	CT	C17204	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/0179a06f-88c1-5434-a4d4-8540cb9120ce	https://doi.org/10.7937/K9/TCIA.2016.LXKQ47MS	Semiautomatic	C172484	dg.4DFC/0179a06f-88c1-5434-a4d4-8540cb9120ce	CT	C17204	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/018ce200-b58e-5cfd-8af3-272232a5a333	https://doi.org/10.7937/K9/TCIA.2016.LXKQ47MS	Semiautomatic	C172484	dg.4DFC/018ce200-b58e-5cfd-8af3-272232a5a333	CT	C17204	Philips		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/01b39a4a-e55d-5721-a3f2-2d2ac5f3f2d2	https://doi.org/10.7937/K9/TCIA.2016.LXKQ47MS	Semiautomatic	C172484	dg.4DFC/01b39a4a-e55d-5721-a3f2-2d2ac5f3f2d2	MR	C16809	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/01cf13d7-a377-5408-a22a-ffd9964e1960	https://doi.org/10.7937/K9/TCIA.2016.LXKQ47MS	Semiautomatic	C172484	dg.4DFC/01cf13d7-a377-5408-a22a-ffd9964e1960	CT	C17204	TOSHIBA		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/01cf969b-4f34-565a-b943-a85d16c75cb8	https://doi.org/10.7937/K9/TCIA.2016.LXKQ47MS	Semiautomatic	C172484	dg.4DFC/01cf969b-4f34-565a-b943-a85d16c75cb8	CT	C17204	SIEMENS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/01dd3628-25c3-590e-a197-3048d9a5be4c	https://doi.org/10.7937/K9/TCIA.2016.LXKQ47MS	Semiautomatic	C172484	dg.4DFC/01dd3628-25c3-590e-a197-3048d9a5be4c	CT	C17204	TOSHIBA		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/01eaf0de-1a23-5657-9d96-2e03e2700d98	https://doi.org/10.7937/K9/TCIA.2016.LXKQ47MS	Semiautomatic	C172484	dg.4DFC/01eaf0de-1a23-5657-9d96-2e03e2700d98	CT	C17204	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/01ec2d05-1894-58cd-a6eb-ab71954308fe	https://doi.org/10.7937/K9/TCIA.2016.LXKQ47MS	Semiautomatic	C172484	dg.4DFC/01ec2d05-1894-58cd-a6eb-ab71954308fe	MR	C16809	SIEMENS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/01eca41a-44f7-5c6b-b302-c3cd5ec0e79a	https://doi.org/10.7937/K9/TCIA.2016.LXKQ47MS	Semiautomatic	C172484	dg.4DFC/01eca41a-44f7-5c6b-b302-c3cd5ec0e79a	CT	C17204	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
