id	study.id	funding_agency	funding_source_program_name	grant_id	study_funding_id	type
081ead0a-a023-5c53-bc5b-1fe35647edb5	1850c1db-ee82-5be7-8e74-a243547b2963	Alex's Lemonade Stand Foundation		Not_Available	phs002504_fund_5	study_funding
0b28c6d6-594a-5c1e-8f9f-fdeacb3cb920	1850c1db-ee82-5be7-8e74-a243547b2963	The Pediatric Cancer Research Foundation		Not_Available	phs002504_fund_7	study_funding
1f93629e-7072-5f40-9426-efafc6e476f8	1850c1db-ee82-5be7-8e74-a243547b2963	National Cancer Institute	Childhood Cancer Data Initiative	CA082103-21S9	phs002504_fund_2	study_funding
269b06ab-8e41-50ec-80f2-282abee183bc	1850c1db-ee82-5be7-8e74-a243547b2963	Cannonball Kids' Cancer		Not_Available	phs002504_fund_9	study_funding
3ccb6c11-1006-5368-9cc0-d0f8642be33c	1850c1db-ee82-5be7-8e74-a243547b2963	The Leukemia Lymphoma Society		Not_Available	phs002504_fund_4	study_funding
565e9f23-2251-5ba7-8e43-63870bcc6600	1850c1db-ee82-5be7-8e74-a243547b2963	National Heart, Lung, and Blood Institute		HL135434	phs002504_fund_3	study_funding
5edbac90-8e5a-5013-b838-24b96774b7cf	1850c1db-ee82-5be7-8e74-a243547b2963	Cookies for Kids Cancer		Not_Available	phs002504_fund_6	study_funding
774242f0-1cdc-5e22-a413-0bfd1a86a393	1850c1db-ee82-5be7-8e74-a243547b2963	National Cancer Institute		CA196519	phs002504_fund_1	study_funding
b5f88a0c-8185-5a6a-93ae-73147748b59b	1850c1db-ee82-5be7-8e74-a243547b2963	The V Foundation		Not_Available	phs002504_fund_8	study_funding
e7ea4e4b-0219-5cde-9000-d11609e0c3e3	1850c1db-ee82-5be7-8e74-a243547b2963	The Frank A. Campini Foundation		Not_Available	phs002504_fund_10	study_funding
