type	study_link_id	citation_or_DOI	de_identification_method_type	de_identification_method_type_concept_code	file.file_id	image_modality	image_modality_concept_code	imaging_equipment_manufacturer	license	organ_or_tissue	organ_or_tissue_concept_code	species
image	dg.4DFC/01acc2f9-0fa2-53e2-a0a6-91eec29d41f8	https://doi.org/10.7937/K9/TCIA.2016.L4LTD3TK	Semiautomatic	C172484	dg.4DFC/01acc2f9-0fa2-53e2-a0a6-91eec29d41f8	MR	C16809	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/01db0c0e-2698-5b46-96fa-851d1d878dfc	https://doi.org/10.7937/K9/TCIA.2016.L4LTD3TK	Semiautomatic	C172484	dg.4DFC/01db0c0e-2698-5b46-96fa-851d1d878dfc	MR	C16809	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/01e03b7a-55d6-53ab-8311-1726e479b45a	https://doi.org/10.7937/K9/TCIA.2016.L4LTD3TK	Semiautomatic	C172484	dg.4DFC/01e03b7a-55d6-53ab-8311-1726e479b45a	MR	C16809	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/01e7dd72-841c-504e-8501-87c45a4fec62	https://doi.org/10.7937/K9/TCIA.2016.L4LTD3TK	Semiautomatic	C172484	dg.4DFC/01e7dd72-841c-504e-8501-87c45a4fec62	MR	C16809	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/01f4602a-94ae-5e95-b9eb-2bd2f9016e1e	https://doi.org/10.7937/K9/TCIA.2016.L4LTD3TK	Semiautomatic	C172484	dg.4DFC/01f4602a-94ae-5e95-b9eb-2bd2f9016e1e	MR	C16809	Philips Medical Systems		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/0213280b-55b6-5c22-aeb4-ec83647f7797	https://doi.org/10.7937/K9/TCIA.2016.L4LTD3TK	Semiautomatic	C172484	dg.4DFC/0213280b-55b6-5c22-aeb4-ec83647f7797	MR	C16809	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/023d9e14-665c-5f65-bbb2-29d163383a2a	https://doi.org/10.7937/K9/TCIA.2016.L4LTD3TK	Semiautomatic	C172484	dg.4DFC/023d9e14-665c-5f65-bbb2-29d163383a2a	MR	C16809	Philips Medical Systems		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/0265f4d9-ae9d-51f1-bde2-2cc3fcb186ea	https://doi.org/10.7937/K9/TCIA.2016.L4LTD3TK	Semiautomatic	C172484	dg.4DFC/0265f4d9-ae9d-51f1-bde2-2cc3fcb186ea	MR	C16809	Philips Healthcare		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/02674abd-28ee-5ce6-947b-358b7a07fe02	https://doi.org/10.7937/K9/TCIA.2016.L4LTD3TK	Semiautomatic	C172484	dg.4DFC/02674abd-28ee-5ce6-947b-358b7a07fe02	MR	C16809	SIEMENS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/026dd566-9526-508a-a061-2b9c69f4c467	https://doi.org/10.7937/K9/TCIA.2016.L4LTD3TK	Semiautomatic	C172484	dg.4DFC/026dd566-9526-508a-a061-2b9c69f4c467	MR	C16809	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
