type	study_link_id	citation_or_DOI	de_identification_method_type	de_identification_method_type_concept_code	file.file_id	image_modality	image_modality_concept_code	imaging_equipment_manufacturer	license	organ_or_tissue	organ_or_tissue_concept_code	species
image	dg.4DFC/00061b3d-27af-5554-92b0-5a150c8958d4	https://doi.org/10.7937/K9/TCIA.2015.K0F5CGLI	Semiautomatic	C172484	dg.4DFC/00061b3d-27af-5554-92b0-5a150c8958d4	CT	C17204	SIEMENS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/00097985-e62d-56f9-b716-ff37bc417060	https://doi.org/10.7937/K9/TCIA.2015.K0F5CGLI	Semiautomatic	C172484	dg.4DFC/00097985-e62d-56f9-b716-ff37bc417060	CT	C17204	SIEMENS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/000c78e7-0c19-5fe4-a504-d362dc91a0d0	https://doi.org/10.7937/K9/TCIA.2015.K0F5CGLI	Semiautomatic	C172484	dg.4DFC/000c78e7-0c19-5fe4-a504-d362dc91a0d0	PT	C17007	SIEMENS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/00142d5b-ef89-52f3-901b-0b5b31a22a96	https://doi.org/10.7937/K9/TCIA.2015.K0F5CGLI	Semiautomatic	C172484	dg.4DFC/00142d5b-ef89-52f3-901b-0b5b31a22a96	SEG	C80146	QIICR		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/0019db13-726f-5032-ae54-010b4730cc6c	https://doi.org/10.7937/K9/TCIA.2015.K0F5CGLI	Semiautomatic	C172484	dg.4DFC/0019db13-726f-5032-ae54-010b4730cc6c	SEG	C80146	QIICR		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/002fdd82-863c-5d2c-a134-078687135738	https://doi.org/10.7937/K9/TCIA.2015.K0F5CGLI	Semiautomatic	C172484	dg.4DFC/002fdd82-863c-5d2c-a134-078687135738	CT	C17204	SIEMENS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/0039deb6-0309-56b4-8ae3-91816e2105bd	https://doi.org/10.7937/K9/TCIA.2015.K0F5CGLI	Semiautomatic	C172484	dg.4DFC/0039deb6-0309-56b4-8ae3-91816e2105bd	SEG	C80146	QIICR		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/0054c78c-46a8-5693-bce1-992eebcff7e4	https://doi.org/10.7937/K9/TCIA.2015.K0F5CGLI	Semiautomatic	C172484	dg.4DFC/0054c78c-46a8-5693-bce1-992eebcff7e4	SR	C190611	Unknown		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/005db3e4-74b4-536c-b474-d772bcd0967b	https://doi.org/10.7937/K9/TCIA.2015.K0F5CGLI	Semiautomatic	C172484	dg.4DFC/005db3e4-74b4-536c-b474-d772bcd0967b	CT	C17204	SIEMENS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/0062cf12-7eff-5184-ae2c-775e065a5deb	https://doi.org/10.7937/K9/TCIA.2015.K0F5CGLI	Semiautomatic	C172484	dg.4DFC/0062cf12-7eff-5184-ae2c-775e065a5deb	SEG	C80146	QIICR		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/00634688-9b67-559f-a2b7-6cec3995a8f7	https://doi.org/10.7937/K9/TCIA.2015.K0F5CGLI	Semiautomatic	C172484	dg.4DFC/00634688-9b67-559f-a2b7-6cec3995a8f7	SEG	C80146	QIICR		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/006f5027-b985-5ba3-aac5-e9e5a3ac7672	https://doi.org/10.7937/K9/TCIA.2015.K0F5CGLI	Semiautomatic	C172484	dg.4DFC/006f5027-b985-5ba3-aac5-e9e5a3ac7672	CT	C17204	SIEMENS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/00840392-ea54-5bab-916f-6b46b1ad4e3e	https://doi.org/10.7937/K9/TCIA.2015.K0F5CGLI	Semiautomatic	C172484	dg.4DFC/00840392-ea54-5bab-916f-6b46b1ad4e3e	CT	C17204	SIEMENS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/008b778a-9537-5c9a-8c0e-4453ac8baabf	https://doi.org/10.7937/K9/TCIA.2015.K0F5CGLI	Semiautomatic	C172484	dg.4DFC/008b778a-9537-5c9a-8c0e-4453ac8baabf	SR	C190611	PixelMed		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/008cdc64-2dba-5caf-962d-e343c43ef9eb	https://doi.org/10.7937/K9/TCIA.2015.K0F5CGLI	Semiautomatic	C172484	dg.4DFC/008cdc64-2dba-5caf-962d-e343c43ef9eb	CT	C17204	SIEMENS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/00980349-1b74-557c-890e-3a0eb8dd11f3	https://doi.org/10.7937/K9/TCIA.2015.K0F5CGLI	Semiautomatic	C172484	dg.4DFC/00980349-1b74-557c-890e-3a0eb8dd11f3	PT	C17007	SIEMENS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/00a638d1-af76-5773-ab05-435105c8b3a0	https://doi.org/10.7937/K9/TCIA.2015.K0F5CGLI	Semiautomatic	C172484	dg.4DFC/00a638d1-af76-5773-ab05-435105c8b3a0	CT	C17204	SIEMENS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/00cf8ac9-9810-5bf7-84a2-68a0f8fc897a	https://doi.org/10.7937/K9/TCIA.2015.K0F5CGLI	Semiautomatic	C172484	dg.4DFC/00cf8ac9-9810-5bf7-84a2-68a0f8fc897a	SR	C190611	Unknown		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/00e651e0-2f32-59fb-a751-c21ee15942ef	https://doi.org/10.7937/K9/TCIA.2015.K0F5CGLI	Semiautomatic	C172484	dg.4DFC/00e651e0-2f32-59fb-a751-c21ee15942ef	CT	C17204	SIEMENS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/00e6cc69-311b-52fb-bf64-bddf5d950aea	https://doi.org/10.7937/K9/TCIA.2015.K0F5CGLI	Semiautomatic	C172484	dg.4DFC/00e6cc69-311b-52fb-bf64-bddf5d950aea	PT	C17007	CPS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/00fca1b7-77f1-5bb6-b4dc-a3f2eed73f25	https://doi.org/10.7937/K9/TCIA.2015.K0F5CGLI	Semiautomatic	C172484	dg.4DFC/00fca1b7-77f1-5bb6-b4dc-a3f2eed73f25	SR	C190611	Unknown		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/0112c173-2399-5672-b34d-22f769f2fcec	https://doi.org/10.7937/K9/TCIA.2015.K0F5CGLI	Semiautomatic	C172484	dg.4DFC/0112c173-2399-5672-b34d-22f769f2fcec	PT	C17007	CPS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/01157c7b-c227-5a94-831a-43dc0040a4a1	https://doi.org/10.7937/K9/TCIA.2015.K0F5CGLI	Semiautomatic	C172484	dg.4DFC/01157c7b-c227-5a94-831a-43dc0040a4a1	SEG	C80146	QIICR		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/0122d777-9c5f-5a9a-b93e-e99e57ab5c59	https://doi.org/10.7937/K9/TCIA.2015.K0F5CGLI	Semiautomatic	C172484	dg.4DFC/0122d777-9c5f-5a9a-b93e-e99e57ab5c59	CT	C17204	SIEMENS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/01273e24-6bca-50ac-9116-84391f4bd432	https://doi.org/10.7937/K9/TCIA.2015.K0F5CGLI	Semiautomatic	C172484	dg.4DFC/01273e24-6bca-50ac-9116-84391f4bd432	PT	C17007	SIEMENS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/0138362c-f689-5677-b0c8-a5458449d610	https://doi.org/10.7937/K9/TCIA.2015.K0F5CGLI	Semiautomatic	C172484	dg.4DFC/0138362c-f689-5677-b0c8-a5458449d610	CT	C17204	SIEMENS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/0141ca2e-4678-5016-aecd-48d7efe8898e	https://doi.org/10.7937/K9/TCIA.2015.K0F5CGLI	Semiautomatic	C172484	dg.4DFC/0141ca2e-4678-5016-aecd-48d7efe8898e	SR	C190611	Unknown		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/014d040e-54ec-5bda-89ce-6ff8347e5eb9	https://doi.org/10.7937/K9/TCIA.2015.K0F5CGLI	Semiautomatic	C172484	dg.4DFC/014d040e-54ec-5bda-89ce-6ff8347e5eb9	CT	C17204	SIEMENS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/0151aeca-10ab-58c3-bffb-b6bd98577a75	https://doi.org/10.7937/K9/TCIA.2015.K0F5CGLI	Semiautomatic	C172484	dg.4DFC/0151aeca-10ab-58c3-bffb-b6bd98577a75	CT	C17204	SIEMENS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/01534f11-3097-55a9-a94c-71bc9eeb0a74	https://doi.org/10.7937/K9/TCIA.2015.K0F5CGLI	Semiautomatic	C172484	dg.4DFC/01534f11-3097-55a9-a94c-71bc9eeb0a74	CT	C17204	SIEMENS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/0161479d-6f8f-5bba-84f1-7d0109345020	https://doi.org/10.7937/K9/TCIA.2015.K0F5CGLI	Semiautomatic	C172484	dg.4DFC/0161479d-6f8f-5bba-84f1-7d0109345020	SR	C190611	Unknown		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/016eda13-ebfd-5272-ad66-87d768b50440	https://doi.org/10.7937/K9/TCIA.2015.K0F5CGLI	Semiautomatic	C172484	dg.4DFC/016eda13-ebfd-5272-ad66-87d768b50440	SEG	C80146	QIICR		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/017588cf-7533-58ca-8540-536d6a88828d	https://doi.org/10.7937/K9/TCIA.2015.K0F5CGLI	Semiautomatic	C172484	dg.4DFC/017588cf-7533-58ca-8540-536d6a88828d	CT	C17204	SIEMENS		Head, face or neck, NOS		Homo sapiens
