id	participant.id	sample.id	associated_id	data_location	domain_category	domain_description	repository_of_synonym_id	synonym_id	type
000bc21d-cfff-5f30-9fcc-c2a912f6537f	eda87d5c-5243-5555-b25c-f06ceb6dc4ca		PBBVUY	https://www.childrensoncologygroup.org/	organizational_identifier	COG USI	USI	PBBVUY_USI	synonym
001e5811-d397-5355-b330-daabcaa43e24	7ff8af36-2bf2-56ab-aeba-89b2c6e42c4b		4660503				dbGaP	4660503_dbGaP	synonym
0023ea9c-4c34-5d71-b9a7-2217f408399f	b4710d8f-cae6-5c54-805c-d0716c8ad930		PBBXFL	https://www.childrensoncologygroup.org/	organizational_identifier	COG USI	USI	PBBXFL_USI	synonym
0036dbd0-6b2d-59b9-aedb-14dc49664ea5	49e3a74f-f464-58be-87de-2603e3133d80		PBCFSF	https://www.childrensoncologygroup.org/	organizational_identifier	COG USI	USI	PBCFSF_USI	synonym
004654e4-d5f1-5456-a449-4ab84b914269	34ff10f4-e6ea-5ec7-a553-841ace827c3c		PBBYTZ	https://www.childrensoncologygroup.org/	organizational_identifier	COG USI	USI	PBBYTZ_USI	synonym
0048896f-ce5e-5ba6-9d4d-29ae36a9d691	f876744a-beb7-57f7-ac58-56a1c52e1380		4622059				dbGaP	4622059_dbGaP	synonym
00532c4b-76bf-5964-b679-c2d12e7d4205	57b91eb6-f5be-57b5-96f3-f73caa187f45		4616827				dbGaP	4616827_dbGaP	synonym
0054329e-68bd-5c28-a935-7d5d5b49fd40	64ecf134-fc4d-5c99-aefd-80da06238718		PBBSPP	https://www.childrensoncologygroup.org/	organizational_identifier	COG USI	USI	PBBSPP_USI	synonym
00567520-48c4-5bc7-a983-2db3caf03984	6085586c-8a5e-5455-b33e-a649f3c05973		PBCIED	https://www.childrensoncologygroup.org/	organizational_identifier	COG USI	USI	PBCIED_USI	synonym
0057075b-c3dc-5e21-862f-09a0394f714c	6cff6a60-bb31-5e5e-9990-fef0503d2cfc		PBBUBP	https://www.childrensoncologygroup.org/	organizational_identifier	COG USI	USI	PBBUBP_USI	synonym
006aacf9-3797-5317-8e07-515cc9a13849	ebb15639-d297-5431-92ee-8e1518631afa		PBBTCS	https://www.childrensoncologygroup.org/	organizational_identifier	COG USI	USI	PBBTCS_USI	synonym
007a6146-d97d-5e46-bf85-4bfce897ac6b	f26aef27-9ec6-5c0f-8acb-0426a0c74d21		4433498				dbGaP	4433498_dbGaP	synonym
00969018-d577-531b-b043-9a4c1c5ab01e	d260de51-4694-5592-a45f-fad85f36f9e1		PBBRIC	https://www.childrensoncologygroup.org/	organizational_identifier	COG USI	USI	PBBRIC_USI	synonym
009e6b7c-95d6-5b04-9301-c4c331308be8	5247109b-dc1f-5e13-8f3f-358f24f6e44b		PBBHPP	https://www.childrensoncologygroup.org/	organizational_identifier	COG USI	USI	PBBHPP_USI	synonym
00aa0c78-b1ab-5cdb-b750-c29b4ef38022	a45e2705-9c72-5446-bc71-28025233929e		4360236				dbGaP	4360236_dbGaP	synonym
00ace40d-f4ec-5d82-aef8-c14a7c7a83e7	4cae68d1-780c-586e-a193-f4e3b8038f76		4433511				dbGaP	4433511_dbGaP	synonym
00c12771-d0b6-5df3-85df-e5e6ac91463f	258f1fd7-0421-5245-a724-180669d972fe		4645353				dbGaP	4645353_dbGaP	synonym
00cc847d-0962-5c10-8c4b-96c02a0ecebb	d4c0154a-f7d1-575c-a1f7-8b57ef3398db		PBCHNC	https://www.childrensoncologygroup.org/	organizational_identifier	COG USI	USI	PBCHNC_USI	synonym
00cd6276-a963-5ee2-9078-ae646f2847d7	d3a75612-2cd0-5feb-8c02-b12392e27cd1		PBCALA	https://www.childrensoncologygroup.org/	organizational_identifier	COG USI	USI	PBCALA_USI	synonym
00d28e64-dc42-5d22-8e18-b0867f24ba42	90d7c19c-82aa-5935-80a5-894e13fd951c		PBBWCX	https://www.childrensoncologygroup.org/	organizational_identifier	COG USI	USI	PBBWCX_USI	synonym
00ef83f7-fd62-563d-921b-675e6f9e9261	438f48d1-974a-5e88-b4eb-62c3bddc6b9b		4414299				dbGaP	4414299_dbGaP	synonym
00f5a08a-7a0b-5962-9d0c-97945e0e7a4d	77b0aa79-b44a-525e-aad1-1cf50fd27254		PBBNIZ	https://www.childrensoncologygroup.org/	organizational_identifier	COG USI	USI	PBBNIZ_USI	synonym
00f95f8e-2e69-5a1f-a80f-04bfdd902e30	dde06d10-4aa0-5f1b-b6cd-5e5ef2ce35e0		4622016				dbGaP	4622016_dbGaP	synonym
00fca61b-d6b2-5d79-b6c1-4f0f5f31e4bc	bea11150-4666-5fcb-a536-d92cf2f7272f		PBCICP	https://www.childrensoncologygroup.org/	organizational_identifier	COG USI	USI	PBCICP_USI	synonym
00fd5566-d995-5edf-a9b3-9f3cf8f57386	ac973359-100f-5b38-8546-bd1b16e436b3		PBBLMW	https://www.childrensoncologygroup.org/	organizational_identifier	COG USI	USI	PBBLMW_USI	synonym
01012839-a193-5e56-b95b-363c2daf5881	baf2a578-8cbb-5550-b540-4572e0f7a376		4433543				dbGaP	4433543_dbGaP	synonym
010cd8b6-a10c-5c20-ba16-c6b909d21b22	8d7ca1fb-e0fa-58c0-916d-3839cd3a9d77		PBCFZF	https://www.childrensoncologygroup.org/	organizational_identifier	COG USI	USI	PBCFZF_USI	synonym
01242d24-af56-5638-846b-a867fd0e683e	35fd1149-9d59-5653-9993-17ba5678e3b9		4686478				dbGaP	4686478_dbGaP	synonym
0126bb92-27bd-55d1-b8be-9180de6136e9	7ac6f436-a6b7-50cb-afc2-e524b7f20b21		4360298				dbGaP	4360298_dbGaP	synonym
0129b7b8-2958-55ee-a018-b8653b3116e7	7ae0c34c-5ad1-5be7-ab19-763249932b11		PBBMJN	https://www.childrensoncologygroup.org/	organizational_identifier	COG USI	USI	PBBMJN_USI	synonym
012c5bf3-ca27-54a9-91d5-f381045540b6	840606ba-b6aa-5893-a292-2770ee442767		PBCAHC	https://www.childrensoncologygroup.org/	organizational_identifier	COG USI	USI	PBCAHC_USI	synonym
012ce491-c4ac-5b0e-a377-3c5f360e52c3	ce4e4621-967e-55f2-a120-771f62ef19e2		PBBVMB	https://www.childrensoncologygroup.org/	organizational_identifier	COG USI	USI	PBBVMB_USI	synonym
0130db16-66d5-5215-ae32-f7395234ed30	9d1cbead-7101-5fb1-a54d-b28193780d1c		PBCJIE	https://www.childrensoncologygroup.org/	organizational_identifier	COG USI	USI	PBCJIE_USI	synonym
016d85f7-45f5-5e6f-ad2f-89e91ff5c426	6a68eaf1-fb11-5caa-8ea4-1ed4e6d0f2e1		PBBTND	https://www.childrensoncologygroup.org/	organizational_identifier	COG USI	USI	PBBTND_USI	synonym
016db569-1d94-5e95-9e66-feeab4803de3	b527b4d3-0859-511c-b832-00362b9a392a		PBCGGS	https://www.childrensoncologygroup.org/	organizational_identifier	COG USI	USI	PBCGGS_USI	synonym
0172f139-3dca-5c71-a521-d31a3d7928e8	8e2b9f33-0134-5094-a147-187d8c7ab842		PBBVIA	https://www.childrensoncologygroup.org/	organizational_identifier	COG USI	USI	PBBVIA_USI	synonym
01744e8d-a547-5ba7-a985-2839cecb1069	a1613c5e-d2ce-543e-8af9-b7e60630c6fb		PBBZEF	https://www.childrensoncologygroup.org/	organizational_identifier	COG USI	USI	PBBZEF_USI	synonym
01a3b823-547c-56af-9be8-c3f70048b8c9	adde758c-f21b-51f3-b849-0c0ecd6e633d		4686449				dbGaP	4686449_dbGaP	synonym
01b062fc-b904-5d28-9d65-de0db4054a5b	a65f869a-83d0-51b7-a41d-ab08568a7154		PBBIXX	https://www.childrensoncologygroup.org/	organizational_identifier	COG USI	USI	PBBIXX_USI	synonym
01b169ac-7685-5b7a-9325-940543452229	e9563bfd-849d-5a46-8148-ae39636a9fe9		4616781				dbGaP	4616781_dbGaP	synonym
