reference_genome_assembly	library_layout	library_source	library_selection	platform	instrument_model	type	genomic_info_id	file.file_id	library_strategy
Not specified in data	Paired-End	Not specified in data	Hybrid Selection	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/48c12b06-f4ad-4355-8a68-1b74518dd9ab	dg.4DFC/48c12b06-f4ad-4355-8a68-1b74518dd9ab	Not specified in data
Not specified in data	Not specified in data	Single Nucleus	Not specified in data	Illumina	Illumina HiSeq X Ten	genomic_info	dg.4DFC/0e2f9901-9c2d-4770-a2d5-06046308b9ef	dg.4DFC/0e2f9901-9c2d-4770-a2d5-06046308b9ef	Not specified in data
Not specified in data	Not specified in data	Single Nucleus	Not specified in data	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/8a1bc6ef-4754-4ea8-a0c8-c3d6ae854410	dg.4DFC/8a1bc6ef-4754-4ea8-a0c8-c3d6ae854410	Not specified in data
Not specified in data	Not specified in data	Single Nucleus	Not specified in data	Illumina	Illumina HiSeq X Ten	genomic_info	dg.4DFC/41878ff6-b08b-4e12-b0b0-0065da124e98	dg.4DFC/41878ff6-b08b-4e12-b0b0-0065da124e98	Not specified in data
Not specified in data	Not specified in data	Single Nucleus	Not specified in data	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/e889ff2b-d77b-4057-bab0-f4a829b17a22	dg.4DFC/e889ff2b-d77b-4057-bab0-f4a829b17a22	Not specified in data
Not specified in data	Paired-End	Bulk Whole Cell	Poly-A Enriched Genomic Librar	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/32df3879-ebca-419b-9f7e-94316377ebeb	dg.4DFC/32df3879-ebca-419b-9f7e-94316377ebeb	Not specified in data
Not specified in data	Not specified in data	Single Nucleus	Not specified in data	Illumina	Illumina HiSeq X Ten	genomic_info	dg.4DFC/b0d06d17-42da-4870-8dfc-bd44ec2364ab	dg.4DFC/b0d06d17-42da-4870-8dfc-bd44ec2364ab	Not specified in data
Not specified in data	Not specified in data	Single Nucleus	Not specified in data	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/02945dad-fd7c-4127-8d63-2967037b0fff	dg.4DFC/02945dad-fd7c-4127-8d63-2967037b0fff	Not specified in data
Not specified in data	Not specified in data	Single Nucleus	Not specified in data	Illumina	Illumina HiSeq X Ten	genomic_info	dg.4DFC/1c33e075-68dd-49a7-b70c-86283e3716ea	dg.4DFC/1c33e075-68dd-49a7-b70c-86283e3716ea	Not specified in data
Not specified in data	Paired-End	Bulk Whole Cell	Poly-A Enriched Genomic Librar	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/33aecaba-3a8e-4e4e-86fa-d389d5fc9dc6	dg.4DFC/33aecaba-3a8e-4e4e-86fa-d389d5fc9dc6	Not specified in data
Not specified in data	Paired-End	Not specified in data	PCR	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/90385157-d8ae-41cf-9a83-200e90b0d813	dg.4DFC/90385157-d8ae-41cf-9a83-200e90b0d813	Not specified in data
