type	 study.clinical_study_designation	publication_title	authorship	year_of_publication	journal_citation	digital_object_id	pubmed_id
publication		Transcriptomic Analysis of Canine Osteosarcoma from a Precision Medicine Perspective Reveals Limitations of Differential Gene Expression Studies	Nance Rebecca et al	2022	Genes; 13(4)	10.3390/genes13040680	35456486
publication		Single-Nuclei Multiome (ATAC+ Gene Expression) Sequencing of a Primary Canine Osteosarcoma Elucidates Intra-Tumoral Heterogeneity and Characterizes the Tumor Microenvironment	Nance Rebecca et al	2023	Int J Mol Sci; 24(22)	10.3390/ijms242216365	38003552
