type	publication_id	pubmed_id	id	study.id
publication	pub_1	39143224	2e05c7d6-745e-54c9-aad4-1e85248a810c	415102c7-a9e2-5f2d-8656-ab98b2a1af96
publication	pub_2	38916500	348ade9b-dc5c-5e7c-8425-2b21335dec9f	415102c7-a9e2-5f2d-8656-ab98b2a1af96
