id	participant.id	sample.id	repository_of_synonym_id	synonym_id	type
4e756c57-f3c7-596e-8bce-db7789381681	97fcf0db-f3b1-56ef-9825-4cab5afa5375		GENIE_15.0	GENIE-UCSF-12088	synonym
50d0b95c-90ba-54a3-9674-26156709960e	7eb06de2-e574-580c-82ba-7e8e8d92b192		NCCR	4807044	synonym
52ebc0f7-77b9-5a9b-8822-30b6f2ed62c6	57fd0edc-8502-5a5b-bf25-9a90f167dc95		NCCR	5416158	synonym
5446aad5-6220-5e95-8190-5843dd80e74d	56a500c8-016f-56db-9334-36ac9cd6c6f0		NCCR	4965986	synonym
570010a0-4c24-5bc1-8f98-ab39d4ce8506	f5375423-13ad-5e0e-bd1d-0a1014f9dcac		GENIE_15.0	GENIE-UCSF-2505	synonym
5b2035af-b564-5fdc-9ee9-ca275f59c4c7	345884f9-7c36-57c1-89e6-6d8fbbf1ebb9		GENIE_15.0	GENIE-UCSF-14135	synonym
5b9ed9da-56f6-5878-9a23-e94aa76b06e8	68e95d73-e4f0-5cdc-b549-0a8fa5bddd53		NCCR	5249648	synonym
5c48b411-2031-50be-a433-88d663d16ab8	0109e082-ebb8-5754-9ff6-acce2ffbd0af		NCCR	5410299	synonym
5caadcae-ff98-5c45-b3cd-8d0cae42f694	689122de-f31d-53b0-a494-1d0ca116a5ed		GENIE_15.0	GENIE-UCSF-1153	synonym
5ebf077f-d930-53f7-b0b4-76c33c0715bb	c0585807-5fe9-5cc6-a5e7-550c070a34bf		GENIE_15.0	GENIE-UCSF-263	synonym
61e6ce30-bf0c-5bd1-8b98-25773b2dc0a4	71464159-cfea-5dae-949e-d17160b28589		GENIE_15.0	GENIE-UCSF-17228	synonym
64474a44-4b1d-5a6b-83ef-67615c4544b0	ca583f5b-acd7-54dd-90f4-f49195b21164		GENIE_15.0	GENIE-UCSF-2380	synonym
6889786e-4179-5d1b-91ca-ab6958daca7e	9963b36a-4313-5f2a-9775-31ac53e7b593		GENIE_15.0	GENIE-UCSF-2373	synonym
697948eb-0a20-5160-8d52-da5a7e7b9e86	9aa5c19a-2c69-54b2-9dc4-b6fabc9dfd36		GENIE_15.0	GENIE-UCSF-11316	synonym
69856f6b-7d94-5401-866f-72bbcc94e8e8	420b1d55-7e18-506d-8ade-6a3d18c2ed8a		GENIE_15.0	GENIE-UCSF-12039	synonym
6a07e8f2-4cce-5721-a2d3-264bd6df099c	2d586fbf-894d-57b8-9245-2dcc894e50f6		NCCR	5424837	synonym
6b49f3c9-0d13-52ec-b4da-30ebbe3258be	5f4d4cc4-3e52-598c-9ac4-0f283f424beb		GENIE_15.0	GENIE-UCSF-11579	synonym
6cabad61-26f8-57ac-b47d-0aa5d82fb12a	2d5da197-4105-5d0e-8da1-2e766ce7742b		NCCR	5517043	synonym
6d5db8ab-4721-59da-a28a-4db393fdc4f6	5a9b2beb-1e9d-5e88-8628-aecc4abe7e58		GENIE_15.0	GENIE-UCSF-1931	synonym
6ff491e8-858b-5a59-ac35-88c1f284d0aa	f9d791c6-b5f0-58bc-8348-3e687bd4a707		GENIE_15.0	GENIE-UCSF-11137	synonym
7003e344-4c43-5ae3-aea9-962327ceb846	86fd81ee-9c77-5e4a-ba47-51c95a466774		GENIE_15.0	GENIE-UCSF-2531	synonym
70dfe426-f78a-514b-b02e-bffca9da83f6	23e3ed60-05d0-5589-bc65-8a1e01e66bbc		NCCR	4801301	synonym
71c09dd6-a1e9-51d8-85e0-6a446ee6cf0d	0328ace8-5ea8-590d-9674-4cda315e1036		NCCR	5416745	synonym
71f7a761-7fa3-5faa-a569-1ad07df4b42f	f5375423-13ad-5e0e-bd1d-0a1014f9dcac		NCCR	5451802	synonym
7239cabd-3f6e-5002-93c2-03f962254f26	f922e086-dcad-58e9-a625-8d113b51e464		NCCR	5417086	synonym
73433109-64f6-5ee9-8810-1eb925690945	86fd81ee-9c77-5e4a-ba47-51c95a466774		NCCR	5417188	synonym
74085721-358c-5081-8a63-e4bbbdbca0e2	731c3831-1327-5fa9-9fb2-947a02a0aaeb		GENIE_15.0	GENIE-UCSF-12230	synonym
74578d2c-8533-5db8-807c-a97791005437	d18ad615-1cce-50c9-8b4c-f59467ad212f		NCCR	5171832	synonym
7473d575-b5fe-5f1b-909e-00e3a4c7f647	3157264a-1ed3-5048-864a-fde5eb561f13		GENIE_15.0	GENIE-UCSF-13210	synonym
77557de8-c069-56bb-a8e3-57ff256fd07d	bf99dd2b-ce5c-5a24-918f-2e7852daf439		GENIE_15.0	GENIE-UCSF-11199	synonym
7898c03b-f855-5a1c-8e5a-ed235532d642	e0c82573-714f-5e1e-be71-62a99778bd5a		GENIE_15.0	GENIE-UCSF-1233	synonym
789aad76-abb4-5490-9712-fb7ce1347753	fc6bc80c-e628-5ff5-aa48-4782f9e82e1d		GENIE_15.0	GENIE-UCSF-1404	synonym
7e0482d6-17d4-5764-8205-de8221bd2635	d18ad615-1cce-50c9-8b4c-f59467ad212f		GENIE_15.0	GENIE-UCSF-760	synonym
7e6265b9-45f6-58f0-b771-dae2f0530130	5b94c4fe-5d78-5117-825c-1a65ade7293f		NCCR	5263675	synonym
7f900895-fdef-56c5-af9e-920aaba5b0ff	fe60aaf2-6d62-5811-a6ef-46e675e229c3		NCCR	5417189	synonym
7f93c7a0-25dc-5005-9de0-a2ea3e8699df	e3821dc8-a30a-52ad-97d3-57ba3e98ed78		GENIE_15.0	GENIE-UCSF-13375	synonym
807a065a-e79e-5429-8634-70150ab20e4a	ec105d92-7da8-528d-a0ba-1f79dea729e7		NCCR	5533649	synonym
824a0be7-3c48-5591-9179-a78b517714c9	91231c3c-1840-5611-80ab-bb759104590f		NCCR	4798106	synonym
8273bd77-8051-5daf-8f7d-f756bf788474	99605f4d-7b0a-5305-9c7f-11b2a778cedd		NCCR	5478633	synonym
83a23d73-a1af-542c-af08-d83aeb4cbd3c	98d8433c-831b-5a8f-b456-4d6e26034a71		NCCR	5664962	synonym
83f71deb-3137-520b-894e-2084a2cd78ac	68e95d73-e4f0-5cdc-b549-0a8fa5bddd53		GENIE_15.0	GENIE-UCSF-1191	synonym
83fc0bd6-0bda-5265-8958-b0b6eb75680c	232d3a59-adf7-5dba-967e-88922573a3db		NCCR	5476002	synonym
872cb197-44bc-5cf8-b75f-a0d24b3dc287	72d92c51-2b04-5800-901c-de34f4007263		GENIE_15.0	GENIE-UCSF-1671_1	synonym
875c8de9-04ec-5898-9cd2-011981a3ccbc	0152e961-0cab-58bc-9420-432e5d11526d		GENIE_15.0	GENIE-UCSF-2098	synonym
8a73704d-eeae-5737-bfd4-db0a03df33dc	64283fb1-c330-5ffa-9fa2-328e685d7114		GENIE_15.0	GENIE-UCSF-90	synonym
8d2537f5-f8f1-59a4-9630-9a510865a695	5b94c4fe-5d78-5117-825c-1a65ade7293f		GENIE_15.0	GENIE-UCSF-1952	synonym
8d32ba55-7f7f-511a-8048-a626a02ea033	a85e225c-11cd-5c29-9426-cee8a1713457		GENIE_15.0	GENIE-UCSF-14423	synonym
8e042d58-acc5-554b-beff-1580869f55d6	6b2982e1-92e5-5b53-8671-fc1a3eedf60f		GENIE_15.0	GENIE-UCSF-3155	synonym
925053b3-4cbd-5f53-907d-a3f6af3f6815	7eb06de2-e574-580c-82ba-7e8e8d92b192		GENIE_15.0	GENIE-UCSF-696	synonym
94f5825b-a64d-5f52-8994-87714e8ede7a	b5888711-f238-5487-b1f7-7335c50d4b9e		GENIE_15.0	GENIE-UCSF-12990	synonym
95cac320-2cb6-5ea6-a5b3-3a3f1941dd5f	5901e96a-a37d-56e7-b031-50d7d00ac16b		GENIE_15.0	GENIE-UCSF-3695	synonym
9df8c18a-6960-5610-b959-8837822c79a7	a9b7ec63-4c44-52ca-8130-e57917c82d54		NCCR	5470676	synonym
a3e992e4-754a-5bd6-8ce1-9018c7aaeb73	8a718e69-3299-5a7e-88de-0d62c5f764f7		NCCR	5534370	synonym
a40a731a-3807-5f18-aa2f-2003ebb2797d	1a85dda1-0173-5ce1-be5c-94553aa3441c		NCCR	4807023	synonym
a5305a67-5064-57f2-b670-76725f7afacf	e3cd0597-3822-5f2e-b0f9-30281eebfeb1		NCCR	5417120	synonym
a53a86cd-4ebd-5c58-ace2-a1c7d22581ff	8f78f742-4fca-5000-baeb-27a75e117a91		GENIE_15.0	GENIE-UCSF-12696	synonym
a5db00ec-ec9d-593b-8440-e43afb49a247	02885a13-0ed2-5a73-86a3-b7c15ec2e67d		GENIE_15.0	GENIE-UCSF-10571	synonym
a6972886-ea8c-5657-8bb6-a904c865d0ec	b0c31c92-fa73-5199-8da8-83f05875afc9		GENIE_15.0	GENIE-UCSF-2586	synonym
a7790718-5070-59e4-835a-5ca866952954	4a71ff10-6155-5b31-b253-b03848f41822		NCCR	5467855	synonym
a9380f72-8386-5bc6-b928-65ece34662b6	c747f12a-b281-5406-b549-6e04b6f58919		NCCR	5019733	synonym
a98458f4-ca33-5bec-91e0-6da29b59742b	4a71ff10-6155-5b31-b253-b03848f41822		GENIE_15.0	GENIE-UCSF-3360	synonym
aa2b6461-c600-535d-9535-addb17573cff	8d26e85c-9b86-5bc5-a2f4-624b0d2d4eed		GENIE_15.0	GENIE-UCSF-2208	synonym
ab8c34c4-d408-5382-8701-b25580f087da	b51f606a-9ccf-59e8-9a07-6e78ce55daee		GENIE_15.0	GENIE-UCSF-10497	synonym
b23831f3-da5b-5e08-9b8d-80294b3ada0a	57fd0edc-8502-5a5b-bf25-9a90f167dc95		GENIE_15.0	GENIE-UCSF-2727	synonym
b45942a9-d5c8-5fea-be71-a2eb44faeb99	aaed3d75-f42b-56b2-a6fa-102534ed30af		GENIE_15.0	GENIE-UCSF-15320	synonym
b4e03f52-3a2b-520b-95b9-10df483b6318	9f337e17-18af-5969-aa2c-739153540766		NCCR	5053753	synonym
b68ef78d-663b-5849-a86a-397775890210	00a7ee10-c2b7-5daf-824c-29755d1cfba6		GENIE_15.0	GENIE-UCSF-13978	synonym
b85f55b4-065e-508f-880d-e9880f3498ad	6a5bd576-e7cf-536e-a4d9-88a5376d6664		GENIE_15.0	GENIE-UCSF-13377	synonym
b8ae7411-54d2-50ca-b989-2360007b6943	127062b0-ece1-5731-9e8e-cf84afa0c1ff		NCCR	5219353	synonym
bd8fc4b9-779e-5461-b335-5c590721c003	4b7c682f-ef66-526a-93e5-4e0a70d1ceed		NCCR	5474004	synonym
be241d1d-0c89-51fc-81a2-1646fe19a21e	cea395dc-e333-535a-89eb-32791a6db1bb		GENIE_15.0	GENIE-UCSF-11766	synonym
bf28ad5b-7391-52ef-b809-9d39c0040207	40f65dfd-73ca-5b4b-9d55-8815ffe65031		NCCR	5118316	synonym
c23a5988-35ca-5c8f-ab79-1a92dbbf6bbb	0385ade9-8824-56f5-af9a-b2d3ad3e4989		NCCR	5130062	synonym
c56afd42-f350-5395-b0f1-1bf6e1a19fe9	0152e961-0cab-58bc-9420-432e5d11526d		NCCR	5503490	synonym
c80d1605-97f8-507d-a6f3-be2b062afae5	a383e430-2125-5b8e-8118-849d76e7e4e4		NCCR	4638757	synonym
c85cbcb0-0d27-571d-a03a-4a417d66967f	e0c82573-714f-5e1e-be71-62a99778bd5a		NCCR	5305374	synonym
c919385e-fa45-5ed5-b7b5-4ef7d112d841	a1015087-f787-5844-b852-096efeb3ba42		NCCR	5304009	synonym
cc1ed717-daeb-5249-a138-764a8cb8814c	829ac5de-75fa-5998-a3a9-728aa6d1aa66		GENIE_15.0	GENIE-UCSF-1796	synonym
cc822469-5ab7-5bf8-ac8a-074f343132cc	e3cd0597-3822-5f2e-b0f9-30281eebfeb1		GENIE_15.0	GENIE-UCSF-2182	synonym
ce170d74-4936-5f17-bf1b-d81c67904e26	8aa748c4-154b-526c-90e3-099b41eb769e		GENIE_15.0	GENIE-UCSF-12499	synonym
ce265b71-2dee-5eb5-928f-c68f59e77efd	9cb95f47-1c41-5541-bf84-d7b8a15a4618		NCCR	5470789	synonym
d2e47b28-23b6-5c98-815d-d3c988aa1151	91231c3c-1840-5611-80ab-bb759104590f		GENIE_15.0	GENIE-UCSF-3643	synonym
d3df95de-114c-5e4e-9c5c-c32ea5729d60	0915d7f3-5b86-526b-8340-882191f29a26		GENIE_15.0	GENIE-UCSF-983	synonym
d5c3843e-c8fb-59dc-89d3-783d673138c0	453d688e-6f83-57c6-9a68-365ec6bb526c		GENIE_15.0	GENIE-UCSF-1044	synonym
db237558-781e-5366-b9c2-117fc7a789ce	8aa748c4-154b-526c-90e3-099b41eb769e		NCCR	4920509	synonym
dba11528-e0f9-5915-b345-bec35f759b47	fe242b59-c952-5e29-a640-90cf91d4cebc		GENIE_15.0	GENIE-UCSF-10548	synonym
dd041b78-4c24-5e2e-b0f6-0f5ba9ada0f1	cf5c7955-f34f-500e-be9f-02fe42deb077		GENIE_15.0	GENIE-UCSF-2547	synonym
dda901fd-80c8-5466-b283-616fe5cd79b7	aeecb91a-77ac-5a66-abae-271f71f11aac		NCCR	4889241	synonym
ddccfb93-65d5-59c7-8882-1f2f9c94509a	18aa6f96-e7c4-58c3-b2d3-cb919c092ae8		GENIE_15.0	GENIE-UCSF-12968	synonym
ddd0bd86-4050-5a6e-8432-b9f77f2fe0e6	ab695af5-1b66-50af-86bc-5767ded010a5		GENIE_15.0	GENIE-UCSF-1172	synonym
defd9086-1f2b-53f8-ba7a-a1c178fb9780	ca583f5b-acd7-54dd-90f4-f49195b21164		NCCR	5426441	synonym
dfeeaa0b-93d8-5bdd-900e-21f12f9fcac0	77ab97f5-8a9f-50f5-8176-7f1f88b7f7bc		NCCR	5466762	synonym
e08fb49c-a83d-5908-8fb0-7881ad13120d	fc6bc80c-e628-5ff5-aa48-4782f9e82e1d		NCCR	4858761	synonym
e10a6505-3814-5ac8-a191-0f1ffa622558	97fcf0db-f3b1-56ef-9825-4cab5afa5375		NCCR	5463492	synonym
e2e79dba-18f0-59e1-aad6-48af380d7cad	aff7af93-81ea-5256-af30-197146304a7a		GENIE_15.0	GENIE-UCSF-3274	synonym
e425e5ce-d736-566c-b62b-96bcb859d9d3	b0c31c92-fa73-5199-8da8-83f05875afc9		NCCR	5304015	synonym
e4b0171d-318c-5ef1-b6cd-30f72aa2889c	32476b26-8daa-5697-ab97-3f4bed9253ba		GENIE_15.0	GENIE-UCSF-12688	synonym
e60789ad-3fca-57c5-8ada-d94df74a3d02	64283fb1-c330-5ffa-9fa2-328e685d7114		NCCR	4939550	synonym
e703c9d1-1617-52d6-8cfe-ad45527995d2	ab695af5-1b66-50af-86bc-5767ded010a5		NCCR	5238662	synonym
e9d70e00-71c0-5b41-8396-3de6d4fa0bca	72d92c51-2b04-5800-901c-de34f4007263		GENIE_15.0	GENIE-UCSF-1671_2	synonym
eb199f39-224d-5075-a885-9ba907faa3d7	a72dfa57-d92a-5ea4-ad85-b852a9d6df7f		NCCR	5226696	synonym
efbd5b87-f027-56f7-adc9-eec0ef2490c5	0915d7f3-5b86-526b-8340-882191f29a26		NCCR	5355239	synonym
f105a298-5a63-5e68-888d-3951b9b7f91d	0d97f563-ac3d-5003-b65e-e878c045308b		NCCR	3055167	synonym
f39aba4d-a590-5059-8eca-3bee352050a4	1f813ee9-3b29-5dbd-b7f3-9d3b4edb9cd3		NCCR	4341591	synonym
f3c3b608-e18f-5e76-9645-e442d429c457	a43d6592-42c1-5e8b-a73f-29b2e684b149		NCCR	5527070	synonym
f4e54cd0-d713-559e-a5fb-464b0881d458	f922e086-dcad-58e9-a625-8d113b51e464		GENIE_15.0	GENIE-UCSF-1979	synonym
f5683383-ea4a-5774-be3c-d1ed01e3a352	443e6709-7369-5e16-9ee5-8298e3bfdb51		GENIE_15.0	GENIE-UCSF-2975	synonym
f5c98c8a-bf5c-582b-abdd-e2eddf119dc2	b51f606a-9ccf-59e8-9a07-6e78ce55daee		NCCR	5463833	synonym
f8056ecb-667e-50bd-bc8d-ab0d706d2ed8	111ca2d5-ce1d-545a-8c27-c6c1248477a9		GENIE_15.0	GENIE-UCSF-12152	synonym
fae5cdbf-b6f1-56da-a290-2ae9a4b98792	6d4c5493-ba99-50cc-8e5a-0010a16cc512		NCCR	4317349	synonym
fc04844b-895c-5285-be34-f3fd4df74464	a43d6592-42c1-5e8b-a73f-29b2e684b149		GENIE_15.0	GENIE-UCSF-11144	synonym
fd9d639a-f56a-526d-bb18-d221230a0874	d73f90f8-c6fc-5ce4-b8fb-c70a3b42b5b5		NCCR	4604265	synonym
fdfee2de-d2de-5984-8b75-2034ddea9fe6	a43028b4-7aba-568f-b7ad-a89649e71ca7		NCCR	5416347	synonym
fe2d5ec3-b882-5f38-8c6c-0e44f2e95169	c0585807-5fe9-5cc6-a5e7-550c070a34bf		NCCR	4986430	synonym
fe2e1d69-0775-55a3-a48d-432ca078cb9f	894e5a50-9106-5c00-b4bc-e1e9af22b1ac		GENIE_15.0	GENIE-UCSF-12243	synonym
ff30adef-ede0-5a87-a29a-5edc5525bb1a	24f9c948-36bd-567a-a1a3-0c54254b99ec		NCCR	5479586	synonym
ff7da459-6717-5292-aab7-31bd89adc263	77afefdf-b810-52ec-8710-c9f4e2ee2b9b		GENIE_15.0	GENIE-UCSF-2681	synonym
