type	uuid	crdc_id	file_description	file_format	file_name	file_size	file_type	md5sum	sample.sample_id
file	37f7ae64-3a63-5801-88df-6febc26b3f30	dg.4DFC/37f7ae64-3a63-5801-88df-6febc26b3f30	Low Pass WGS: Primary Tumor	bai	COTC026_0345_T.bam.bai	2546208	Whole Genome Sequence File	1c8c9e9324ff648805483dfa1fcbc6aa	COTC026-0345-T
file	381b9d19-0d4b-51f5-92b9-2083defb7cc1	dg.4DFC/381b9d19-0d4b-51f5-92b9-2083defb7cc1	Low Pass WGS: Primary Tumor	bam	COTC026_0530_T.bam	7255491413	Whole Genome Sequence File	3575c40898796b8b58698f06921da013	COTC026-0530-T
file	393e293a-44b6-509f-b67f-6de61007168c	dg.4DFC/393e293a-44b6-509f-b67f-6de61007168c	Low Pass WGS: Primary Tumor	bai	COTC026_1124_T.bam.bai	2295168	Whole Genome Sequence File	e22e6c65d63998eb0d38d1b6bf7dcedb	COTC026-1124-T
file	3d98bef0-2dc6-5e98-87cf-ed0d546de582	dg.4DFC/3d98bef0-2dc6-5e98-87cf-ed0d546de582	Low Pass WGS: Primary Tumor	bai	COTC026_1031_T.bam.bai	3384896	Whole Genome Sequence File	69df7b8c708dd1bc39d6b0e19d2346b2	COTC026-1031-T
file	41c77138-7a45-5326-b8e3-d799b1a309fb	dg.4DFC/41c77138-7a45-5326-b8e3-d799b1a309fb	Low Pass WGS: Primary Tumor	bam	COTC026_0341_T.bam	7987854996	Whole Genome Sequence File	93578765697a8dd96da7a6ad0200d3fe	COTC026-0341-T
file	42558688-085e-5f0f-91f7-d0f6ba283c20	dg.4DFC/42558688-085e-5f0f-91f7-d0f6ba283c20	Low Pass WGS: Primary Tumor	bam	COTC026_0653_T.bam	8111714931	Whole Genome Sequence File	d5ce7e41fd431c130ec7dd477706b52d	COTC026-0653-T
file	46b4fb45-fce4-5ed6-8fbf-fc148b912a70	dg.4DFC/46b4fb45-fce4-5ed6-8fbf-fc148b912a70	Low Pass WGS: Primary Tumor	bai	COTC026_1030_T.bam.bai	2327216	Whole Genome Sequence File	99727e1613c42a15e72bfe106cec04a0	COTC026-1030-T
file	48ae416c-0cc8-5462-83ab-8774e9abf3ff	dg.4DFC/48ae416c-0cc8-5462-83ab-8774e9abf3ff	Low Pass WGS: Primary Tumor	bai	COTC026_0935_T.bam.bai	2170768	Whole Genome Sequence File	72ae5459f0149e592638e98908941fc5	COTC026-0935-T
file	4c3f14fa-64c4-570b-b810-d7583a8d746f	dg.4DFC/4c3f14fa-64c4-570b-b810-d7583a8d746f	Low Pass WGS: Primary Tumor	bai	COTC026_1033_T.bam.bai	2185416	Whole Genome Sequence File	520dbfc5cda64b890a6ad5292bfc6efa	COTC026-1033-T
file	54fed3a4-70c4-564f-90d1-d5f51c5ac79d	dg.4DFC/54fed3a4-70c4-564f-90d1-d5f51c5ac79d	Low Pass WGS: Primary Tumor	bai	COTC026_0823_T.bam.bai	3289520	Whole Genome Sequence File	9405e860f1e314d75477eea4db1343e2	COTC026-0823-T
file	556c4ca3-5336-531c-a1f0-6779453157b4	dg.4DFC/556c4ca3-5336-531c-a1f0-6779453157b4	Low Pass WGS: Primary Tumor	bam	COTC026_0935_T.bam	5288025402	Whole Genome Sequence File	184688e4fc00244cc89ce17496f13a0d	COTC026-0935-T
file	55b55a7a-9ebd-5bda-ae21-4984f818837d	dg.4DFC/55b55a7a-9ebd-5bda-ae21-4984f818837d	Low Pass WGS: Primary Tumor	bai	COTC026_0231_T.bam.bai	2493048	Whole Genome Sequence File	09ee6e887b30d927a78daa9db27bd3f5	COTC026-0231-T
file	56a2c561-00ec-574d-8de2-bb8227734b42	dg.4DFC/56a2c561-00ec-574d-8de2-bb8227734b42	Low Pass WGS: Primary Tumor	bam	COTC026_2021_T.bam	7258630238	Whole Genome Sequence File	f4d426e46ff9bd7cd0a7006e291934d7	COTC026-2021-T
file	5a56f45a-71f2-5b34-9173-e0845e34981b	dg.4DFC/5a56f45a-71f2-5b34-9173-e0845e34981b	Low Pass WGS: Primary Tumor	bam	COTC026_1122_T.bam	8035368905	Whole Genome Sequence File	21d63b90b06fcb04239690e0cf3218aa	COTC026-1122-T
file	5ec75b5b-81b9-5d90-aa4d-75df9e0c59e5	dg.4DFC/5ec75b5b-81b9-5d90-aa4d-75df9e0c59e5	Low Pass WGS: Primary Tumor	bam	COTC026_1035_T.bam	6649683326	Whole Genome Sequence File	09b6e505f562bca83e06fefd981fae81	COTC026-1035-T
file	66ea5743-0914-51cc-a2a4-4985d103110d	dg.4DFC/66ea5743-0914-51cc-a2a4-4985d103110d	Low Pass WGS: Primary Tumor	bam	COTC026_1031_T.bam	8918216574	Whole Genome Sequence File	426661b9ca7dd5aae5bbe56aa178786f	COTC026-1031-T
file	675ee5ea-7b79-5cd2-acaf-86fb04f3fafd	dg.4DFC/675ee5ea-7b79-5cd2-acaf-86fb04f3fafd	Low Pass WGS: Primary Tumor	bam	COTC026_0936_T.bam	6392621044	Whole Genome Sequence File	8841dd8d5ce554a7d96f6ed4ade5561f	COTC026-0936-T
file	68d033d6-f8d6-5fdc-af71-ec6ce765cbb0	dg.4DFC/68d033d6-f8d6-5fdc-af71-ec6ce765cbb0	Low Pass WGS: Primary Tumor	bam	COTC026_0232_T.bam	7844110189	Whole Genome Sequence File	d41bfdd29cc0dee6b7eff6e2d2e4fde3	COTC026-0232-T
file	6ad1edd8-273c-56c4-9f91-f8e56502f44f	dg.4DFC/6ad1edd8-273c-56c4-9f91-f8e56502f44f	Low Pass WGS: Primary Tumor	bam	COTC026_2023_T.bam	8073292390	Whole Genome Sequence File	5e4fb0fc89dd50458200c88b3c701660	COTC026-2023-T
file	6bd6de91-f091-5c32-9b25-d07112a70e37	dg.4DFC/6bd6de91-f091-5c32-9b25-d07112a70e37	Low Pass WGS: Primary Tumor	bai	COTC026_0230_T.bam.bai	2635728	Whole Genome Sequence File	c52ef52b9369fda7a0bdd22d7fc70e77	COTC026-0230-T
file	6bd8246f-4d50-53f1-b729-3d3898755771	dg.4DFC/6bd8246f-4d50-53f1-b729-3d3898755771	Low Pass WGS: Primary Tumor	bai	COTC026_0430_T.bam.bai	2318624	Whole Genome Sequence File	1897a06bf767d5acd7890c0cbd05caa7	COTC026-0430-T
file	6c28ca62-ee8d-541a-ad29-6916a63d6473	dg.4DFC/6c28ca62-ee8d-541a-ad29-6916a63d6473	Low Pass WGS: Primary Tumor	bam	COTC026_1030_T.bam	7015434321	Whole Genome Sequence File	4338c0d4ef8490e2e9f2fb49b31d8c7a	COTC026-1030-T
file	712ac2b5-2e2c-5b14-ac7f-30fefb8262a4	dg.4DFC/712ac2b5-2e2c-5b14-ac7f-30fefb8262a4	Low Pass WGS: Primary Tumor	bam	COTC026_0823_T.bam	8476613566	Whole Genome Sequence File	e16a56e2eb323e7de0b04dd2a628484e	COTC026-0823-T
file	7384e4b1-3ac3-5a43-98cf-e0adc8828816	dg.4DFC/7384e4b1-3ac3-5a43-98cf-e0adc8828816	Low Pass WGS: Primary Tumor	bam	COTC026_0651_T.bam	9398444615	Whole Genome Sequence File	b1eb40b4fd776937b4207ca14147aec2	COTC026-0651-T
file	74173d99-4c7b-5975-be36-838a2f295358	dg.4DFC/74173d99-4c7b-5975-be36-838a2f295358	Low Pass WGS: Primary Tumor	bam	COTC026_2020_T.bam	6747167134	Whole Genome Sequence File	72276fbe3f55cf922bdb85e1129f8891	COTC026-2020-T
