type	person_record_id	pi_first_name	pi_last_name	pi_middle_initial	study.clinical_study_designation
principal_investigator	COTC026-LeBlanc	Amy	LeBlanc	K	COTC026
principal_investigator	COTC026-Mason	Nicola	Mason	J	COTC026
