guid	md5	size	acl	authz	urls
dg.4DFC/9fdccc72-11d5-5a26-8bbf-68fb4aaf24b4	5a51c27a6e56c423ef12ca3c933a8299	2367448	['*']	['/open']	s3://nci-crdc-data-bucket-prod/78ccc086-5327-4be3-b636-06bd9bef4db3/COTC030_0505_T.bam.bai
dg.4DFC/a1db12ca-7b0a-5053-8307-7ca0eba3091c	86e0d83c92705766649d6673cd0689b4	5405560474	['*']	['/open']	s3://nci-crdc-data-bucket-prod/78ccc086-5327-4be3-b636-06bd9bef4db3/COTC030_1014_T.bam
dg.4DFC/a7de4ba4-4ada-5820-a283-a261c0136474	c86bfa4f787fe8c1c433f3982c7a4e2b	3315840	['*']	['/open']	s3://nci-crdc-data-bucket-prod/78ccc086-5327-4be3-b636-06bd9bef4db3/COTC030_1027_T.bam.bai
dg.4DFC/acd816d7-a037-5933-9a8a-3d30bf7a9a11	fe5c314c663dd96028147ce081e4f9cc	6081788031	['*']	['/open']	s3://nci-crdc-data-bucket-prod/78ccc086-5327-4be3-b636-06bd9bef4db3/COTC030_1024_T.bam
dg.4DFC/b3750ab6-1f83-5174-b959-be7efecb28d5	b75d997259756f729f72f9c0f6cfff76	2271176	['*']	['/open']	s3://nci-crdc-data-bucket-prod/78ccc086-5327-4be3-b636-06bd9bef4db3/COTC030_1006_T.bam.bai
dg.4DFC/b80cd1fc-cd62-5072-88fa-1be48b376479	96b7500d23392f8edc5b90b76ea3352e	2568272	['*']	['/open']	s3://nci-crdc-data-bucket-prod/78ccc086-5327-4be3-b636-06bd9bef4db3/COTC030_1022_T.bam.bai
dg.4DFC/b81ad1c0-ffa7-53e0-a5c6-b5ea6d668924	577810326c0494ff30916fbaf8a6c84f	2662496	['*']	['/open']	s3://nci-crdc-data-bucket-prod/78ccc086-5327-4be3-b636-06bd9bef4db3/COTC030_1003_T.bam.bai
dg.4DFC/bb7dfa45-0cb8-50e5-bc09-02355f08ac85	76680b0fa2202544594c47fe5ef79a4d	7327385082	['*']	['/open']	s3://nci-crdc-data-bucket-prod/78ccc086-5327-4be3-b636-06bd9bef4db3/COTC030_1007_T.bam
dg.4DFC/be448239-22f0-5280-b430-ed07e9d40268	9dd8d06c95fb67d0de4823058ef9b7d2	7685468787	['*']	['/open']	s3://nci-crdc-data-bucket-prod/78ccc086-5327-4be3-b636-06bd9bef4db3/COTC030_1012_T.bam
dg.4DFC/c38b466f-6ed3-5544-9b6d-b142e5eb8a5f	a4f194d4bd8119fc9a138b77511030a1	2792256	['*']	['/open']	s3://nci-crdc-data-bucket-prod/78ccc086-5327-4be3-b636-06bd9bef4db3/COTC030_1019_T.bam.bai
dg.4DFC/c8962c89-f1c1-554c-8608-dab6f35ff059	69f6a7bbab0ed31a6561483612a6b00d	2457512	['*']	['/open']	s3://nci-crdc-data-bucket-prod/78ccc086-5327-4be3-b636-06bd9bef4db3/COTC030_1018_T.bam.bai
dg.4DFC/d56b21e5-f813-5bfe-8ca0-fbb6ef65679c	ffb3b6b4dd9838732d3871b50abb3145	2309992	['*']	['/open']	s3://nci-crdc-data-bucket-prod/78ccc086-5327-4be3-b636-06bd9bef4db3/COTC030_1009_T.bam.bai
dg.4DFC/d59697ad-6d29-56be-ac71-baa33f88edb2	1a777c2ad00f9c2a0fdc64e694be0242	2905024	['*']	['/open']	s3://nci-crdc-data-bucket-prod/78ccc086-5327-4be3-b636-06bd9bef4db3/COTC030_0203_T.bam.bai
dg.4DFC/d9c54296-5a4d-502d-8940-a1bed3ef4a6a	8eae211c040bf8e7a74e12fc56e043ee	8298264358	['*']	['/open']	s3://nci-crdc-data-bucket-prod/78ccc086-5327-4be3-b636-06bd9bef4db3/COTC030_1015_T.bam
dg.4DFC/dc89306f-f565-5484-a11b-86bbccd508d9	b6c8ec1749e71df21e6f1b3fdb65ee40	2322368	['*']	['/open']	s3://nci-crdc-data-bucket-prod/78ccc086-5327-4be3-b636-06bd9bef4db3/COTC030_1001_T.bam.bai
dg.4DFC/dea291a9-d917-5a6f-961f-7b22fff0fcb9	cc41d3255a598214924f5a945dd304b4	2202704	['*']	['/open']	s3://nci-crdc-data-bucket-prod/78ccc086-5327-4be3-b636-06bd9bef4db3/COTC030_0504_T.bam.bai
dg.4DFC/e6b13f6a-8b96-5340-ac3c-10f2ae72e089	0b390402aa1d2a38fd132f53318f99b4	2935088	['*']	['/open']	s3://nci-crdc-data-bucket-prod/78ccc086-5327-4be3-b636-06bd9bef4db3/COTC030_1016_T.bam.bai
dg.4DFC/f014c421-18bb-5414-a914-d8e8215e5489	ac216748fce6f0f895a03af00863fc7e	2420984	['*']	['/open']	s3://nci-crdc-data-bucket-prod/78ccc086-5327-4be3-b636-06bd9bef4db3/COTC030_1028_T.bam.bai
dg.4DFC/f15604b8-9d0d-5aef-b89d-376e97e57fd5	e8c98f771fdfcb54af474f1b6b666c67	6853347829	['*']	['/open']	s3://nci-crdc-data-bucket-prod/78ccc086-5327-4be3-b636-06bd9bef4db3/COTC030_0505_T.bam
dg.4DFC/f8a19f45-3f99-5f4a-8189-1ed6b4068602	36631a7abdf0f6d88eff374eb23d5d9e	2198064	['*']	['/open']	s3://nci-crdc-data-bucket-prod/78ccc086-5327-4be3-b636-06bd9bef4db3/COTC030_0701_T.bam.bai
dg.4DFC/f8bd0760-45c6-5c76-bc1e-c2169920f56c	02752d9ad3521f8e7ef8afdd85020dcb	8329660155	['*']	['/open']	s3://nci-crdc-data-bucket-prod/78ccc086-5327-4be3-b636-06bd9bef4db3/COTC030_0703_T.bam
dg.4DFC/fa623d47-924e-5328-9f26-b25d4c6c13a6	cd75de98805ce68b33aa14c695a91df8	2410264	['*']	['/open']	s3://nci-crdc-data-bucket-prod/78ccc086-5327-4be3-b636-06bd9bef4db3/COTC030_0503_T.bam.bai
dg.4DFC/fb725bb2-5138-53bd-a014-565996544591	a76b3686b27faf73453ca16d0a7738e5	7811778603	['*']	['/open']	s3://nci-crdc-data-bucket-prod/78ccc086-5327-4be3-b636-06bd9bef4db3/COTC030_1019_T.bam
dg.4DFC/fd60984f-1759-541b-aca6-8555319afe1e	6653fc68a1e30b1c45656f5c79ab528d	6564656377	['*']	['/open']	s3://nci-crdc-data-bucket-prod/78ccc086-5327-4be3-b636-06bd9bef4db3/COTC030_1028_T.bam
