GUID	md5	size	acl	url
dg.4DFC/dc623321-6caa-5008-8c4c-2eb152319a17	a0d322bbdf0f9a2c4b0fd92b6836defe	5313392.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/N1923_recal_reads.bai
dg.4DFC/017480c5-31f7-5e76-924d-8161e603375c	3999938947589f34880a4f3099f9e15c	18070107527.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/N1923_recal_reads.bam
dg.4DFC/d2187368-60d2-56f3-bc50-e7c32a871817	c226c5d972e58405e150227d284d3c3b	5250760.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/N1989_recal_reads.bai
dg.4DFC/bf874a56-d227-55dd-89f2-f6c2399d69c3	16185c3cfb6850eb90fcd047bae0265a	8674069613.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/N1989_recal_reads.bam
dg.4DFC/e2ab26ed-bf45-5cbb-8136-a3c6a0cd172d	206ab3d873aa9868582e40f195726e20	5197920.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/N2063_recal_reads.bai
dg.4DFC/7beb89f5-25fb-53b8-a05e-a98f114950fd	1401a5bd007802d1d21a7bbf967389c5	7899992145.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/N2063_recal_reads.bam
dg.4DFC/f0840b59-3b2b-5283-8008-feb76b527909	08479092b469f2f8223f63f77840dd92	5389088.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/N212343_recal_reads.bai
dg.4DFC/46ae2773-c6ba-52e4-bfab-cf21845ab22b	ab55efd1c9f29b82158ce55ed9f5c0c5	19442826783.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/N212343_recal_reads.bam
dg.4DFC/c2f4f255-ebc0-572a-9535-14bc77bc7f81	2802eec7005180ac52d60ff9d9461976	5217152.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/N218_recal_reads.bai
dg.4DFC/4a51e780-991a-5e39-b2f2-6900a2a27704	a0af49e74e5cbb0b1b4a3f0b4bf50d31	19126627027.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/N218_recal_reads.bam
dg.4DFC/1dc34941-79c0-5c5d-9c55-926fdf434c9a	f8f0a9ae9b08c49cbf00eff824e959e5	5209896.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/N230_recal_reads.bai
dg.4DFC/6abc8d28-58ee-5491-a4e3-4b18652c927c	85eff512b1639044058c27a567869304	8004090647.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/N230_recal_reads.bam
dg.4DFC/cfec875b-4a2b-52d9-bedd-57de2c63949e	0a7d54b107aa4ffeba0b17ffdc0a6ed1	5232504.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/N232_recal_reads.bai
dg.4DFC/e2523b02-9d2f-5820-8cfd-07658cfef172	5c6e85e62f3ac4dfdd17da973ce88f3f	8600762186.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/N232_recal_reads.bam
dg.4DFC/edf5f33b-c166-5f7b-bf8e-a414481cc5bd	540dfe59e4e0cb73a52f3b08399f47a7	5198816.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/N282_recal_reads.bai
dg.4DFC/eaad6a89-20b8-5164-8105-d431dd6d8dd2	ef952a71f74c3f8446fd94913fd8fb8a	15336324131.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/N282_recal_reads.bam
dg.4DFC/8a9922f4-5627-5432-8cdd-ee973a71dad9	71d2dce079863a3879b2d13dbdbf6c9e	5432000.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/N311_recal_reads.bai
dg.4DFC/7f2f3a19-06d9-508b-bde9-93d84d1a2521	01e992073b38fa65fe2640ea14d19c19	9409456275.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/N311_recal_reads.bam
dg.4DFC/f264ddb6-b8e3-5a42-89cc-88afc2c8bda6	4655978023431be44d4937fc093ccdd2	5295416.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/N320_recal_reads.bai
dg.4DFC/fcd7eddf-4d8c-5b33-a558-b38d948a1de0	b31904e01d35fa2b05178eedfb4d3388	7691085273.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/N320_recal_reads.bam
dg.4DFC/d08d2cb0-7822-55a2-a436-38ed83bdf4e2	5923083637f0a14abdcfa6c8cbe99e25	5618512.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/N336_recal_reads.bai
dg.4DFC/ba7915e6-6dc0-53c0-adfa-8ebbe23671ce	4cfb96b671899729ffb94f7c1823491a	17373673686.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/N336_recal_reads.bam
dg.4DFC/2800291d-0ef6-561b-a766-938b48675ef6	23526231c2d5d7ae3ad48fa5243cf22d	5283232.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/N344_recal_reads.bai
dg.4DFC/10fc1dc8-5f44-5b50-9456-1dc3aaad46c9	01041787feffcb7827159b00cc24d0e6	8141275405.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/N344_recal_reads.bam
dg.4DFC/033a253f-c2a0-5fd1-a9b0-d8825b5e31f6	2f385096651d5148d49d8eeecb5535b5	5257760.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/N416_recal_reads.bai
dg.4DFC/cd02b3f0-bbbf-5803-b619-d235649cf2d9	e98d1efb974bfd6477c30640dfb54ee7	15924752306.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/N416_recal_reads.bam
dg.4DFC/e3b69a77-bc8c-5c8e-b695-e725685e22f2	5c25a12a510059e6df02634793696c3c	5062904.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/N479_recal_reads.bai
dg.4DFC/9198182d-2564-59dc-acbc-035cf755078f	afa85f344e860610027b040a049c036f	18132152889.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/N479_recal_reads.bam
dg.4DFC/f5f50148-8d64-5484-9658-dc28b731b58f	bbaea8c606a188a6b614fba4983c2a25	5236608.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/N485_recal_reads.bai
dg.4DFC/4425c036-f249-583e-a832-d5b276015e1a	c27f76889d2e3c801601f4883968e47a	16702765864.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/N485_recal_reads.bam
dg.4DFC/269c78ce-e80a-59f2-8b86-d9a460e178c8	01fe316d07ca24b519c8d3b028a9c7f8	5010848.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/N697_recal_reads.bai
dg.4DFC/7171954e-5311-59f8-b053-306ca373ea55	57ec661649e37a9d3036e2e97e2955ab	16797134632.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/N697_recal_reads.bam
dg.4DFC/f4381115-b45c-54f4-8004-6e761116dfa1	cf6d4a423874d0d7b5a816fa1d11de9a	5431216.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/N738_recal_reads.bai
dg.4DFC/1792cde4-2d47-55d2-9f64-30ca8244d9c7	78ceb64ad324b6b75394c1c3710bd999	19450053547.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/N738_recal_reads.bam
dg.4DFC/46413727-d73f-564f-a754-3285836b48d7	230a4b7cf8322b7efa2e7e45f89604c7	5254072.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/T1124_recal_reads.bai
dg.4DFC/ad1f59f9-6ef2-5de2-87ce-0eb81a2a98d8	393ca526afd0f1c4d38a0280d64ced98	18680785523.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/T1124_recal_reads.bam
dg.4DFC/8a3a6865-13a3-560d-ae13-ea4b46519a79	d47ed81c76c48d051f1eddcd305045c0	5249256.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/T1238_recal_reads.bai
dg.4DFC/b165ef6e-684c-5ce1-8aa7-4318e4d903d6	c9d5d80e69b121f45fdb8dc15568b6c1	8188631833.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/T1238_recal_reads.bam
dg.4DFC/5de88d98-4095-57bf-bc88-5a7ea24ac542	bd78791251a13efe3002bf50fcfde73d	5118736.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/T1292_recal_reads.bai
dg.4DFC/191d81c9-2ee3-50af-a7ab-54844d58cd6c	102dbf579fc850101d106f40e7942907	7495400719.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/T1292_recal_reads.bam
dg.4DFC/596658fb-6f3d-5600-bd2a-5358a2825d04	c3b563b678ade060278c22a2208c373c	5171520.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/T1407_recal_reads.bai
dg.4DFC/bc1a3891-8ccd-5399-b4ac-78167690066a	582f495ec2deb429c306641721a7fa23	17733204909.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/T1407_recal_reads.bam
dg.4DFC/7bde9073-9582-52ba-8b3c-f50c238c5e49	de30d9b3d57079fba6694393dd9dba25	5274048.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/T1462_recal_reads.bai
dg.4DFC/30b5f40b-24ca-58ed-9971-ea6e3311bc1a	8c1282115af67379a6e8d18c32fcdaf8	8495035438.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/T1462_recal_reads.bam
dg.4DFC/500860fd-e740-5404-94d4-08ba9245c6ee	69a647d2291c2899738deff8e1b6a2cb	5125064.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/T1490_recal_reads.bai
dg.4DFC/4673d6eb-eb0b-5edf-b873-7179ca3cf9d0	1053c6d7b4aa4a41c68a062b2f2a632b	20867305781.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/T1490_recal_reads.bam
dg.4DFC/74d42a97-352f-53e8-b7d3-d39ac00e6efe	83c0023a5a8944974c078568097369be	5299272.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/T1585_recal_reads.bai
dg.4DFC/92517255-faef-5f3c-aa35-cbdd7ea23f7b	e2917ad60a7b61fac031d0a0d70d1913	8783130911.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/T1585_recal_reads.bam
dg.4DFC/f2316ad4-d4bd-50aa-a894-10dc0725c278	5a275841ef5b2d8e3db7643cfa08d355	5158536.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/T167_recal_reads.bai
dg.4DFC/4f9ffffc-106c-5eb3-bb61-f1bc2f1584bb	e7038767321ade12cf00f15742e1a925	8417691451.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/T167_recal_reads.bam
dg.4DFC/56eeac70-24e5-5531-8a14-9a967c46d93c	d72fad950a165b8a1a94c2a0bfb74c6d	5120304.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/T1834_recal_reads.bai
dg.4DFC/e2348f60-7225-558b-b571-5537bf9e5347	1809be130e1232d45a0ef0a1c705828b	8365134268.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/T1834_recal_reads.bam
