name,drs_uri,Study Code,Case ID,File Type,File Description,File Format,File Size,md5sum,File UUID,File Location,Patient ID,Case Name,Cohort,Cohort Dose,Cohort ID,Demographic ID,Breed,Additional Breed Detail,Age (years),Date of Birth,Sex,Weight (kg),Neutered Status,Diagnosis ID,Disease Term,Stage of Disease,Histology,Histology Date,Histological Grade,Best Response,Pathology Report,Treatment Data,Follow Up Data,Concurrent Disease,Concurrent Disease Type,Sample ID,Sample Site,Physical Sample Type,Sample Pathology,Tumor Sample Origin,Sample Type,Molecular Subtype,Pathology/Morphology,Date of Sample Collection,Sample Chronology,Necropsy Sample,Tumor Grade,Tumor Length,Tumor Width,Tumor Volume,Percentage Tumor,Sample Preservation
01-T-KPT-LN-D.RCC,drs://nci-crdc.datacommons.io/dg.4DFC/78c58696-f548-4740-9435-7e01775054d3,PRECINCT02,PRECINCT02-01-T-KPT9274,NanoString nCounter Canine IO Analysis File,NanoString RCC (tumor); timepoint: Relapse; Relapse N; title: 01-T-KPT-LN-D,RCC,29619,00f74c7d1234404b4e33af8d4b3a35d5,78c58696-f548-4740-9435-7e01775054d3,,01-T-KPT9274,Annie,1E4-cIgGB/Doxorubicin/KPT-9274,"1E4-cIgGB: 20 mg/kg for the first dose, then 10 mg/kg) q3w x4/ Doxorubicin: 20-25 mg/m2 IV q3w x4/KPT-9274: 4-4.5 mg/kg PO with doxorubicin",,,Mixed Breed,,7.8,2011-06-27,Female,10.4,Yes,,B Cell Lymphoma,Not Determined,Cellularity is high consisting predominantly of large immature lymphoid cells admixed with a few small lymphocytes.,2019-05-30,,Complete Response,Yes,Yes,Yes,Unknown,Unknown,PRECINCT02-01-T-KPT9274-T,Lymph Node,Tissue,Malignant,Primary,Primary Malignant Tumor Tissue,,B Cell Lymphoma,2019-04-04,Before Treatment,No,High,,,,Not Determined,Snap Frozen
01-T-KPT9274-LN-A.RCC,drs://nci-crdc.datacommons.io/dg.4DFC/9cc8f509-a3b6-4934-a1d5-5b9bb6a99dae,PRECINCT02,PRECINCT02-01-T-KPT9274,NanoString nCounter Canine IO Analysis File,NanoString RCC (tumor); timepoint: D0; Baseline N; title: 01-T-KPT9274-LN-A,RCC,29639,0d1a63b98287f2756e1df931bb85ca6d,9cc8f509-a3b6-4934-a1d5-5b9bb6a99dae,,01-T-KPT9274,Annie,1E4-cIgGB/Doxorubicin/KPT-9274,"1E4-cIgGB: 20 mg/kg for the first dose, then 10 mg/kg) q3w x4/ Doxorubicin: 20-25 mg/m2 IV q3w x4/KPT-9274: 4-4.5 mg/kg PO with doxorubicin",,,Mixed Breed,,7.8,2011-06-27,Female,10.4,Yes,,B Cell Lymphoma,Not Determined,Cellularity is high consisting predominantly of large immature lymphoid cells admixed with a few small lymphocytes.,2019-05-30,,Complete Response,Yes,Yes,Yes,Unknown,Unknown,PRECINCT02-01-T-KPT9274-T,Lymph Node,Tissue,Malignant,Primary,Primary Malignant Tumor Tissue,,B Cell Lymphoma,2019-04-04,Before Treatment,No,High,,,,Not Determined,Snap Frozen
