type	digital_object_id	authorship	journal_citation	publication_title	pubmed_id	study.clinical_study_designation	year_of_publication
publication	10.1038/s41598-025-89245-0	van der Heiden AD, et al.	Sci Rep. 2025 Feb 8;15(1):4724	Characterization of the genomic landscape of canine diffuse large B-cell lymphoma reveals recurrent H3K27M mutations linked to progression-free survival.	39922874	PRECINCT02	2025
publication	10.1038/s44161-024-00507-y	Bayer AL, et al.	Nat Cardiovasc Res. 2024 Aug;3(8):970-986	Cytotoxic T cells drive doxorubicin-induced cardiac fibrosis and systolic dysfunction	39196030	PRECINCT02	2024
publication	10.1111/jvim.17080	McLinden GP, et al.	J Vet Intern Med. 2024 May-Jun;38(3)	Safety and biologic activity of a canine anti-CD20 monoclonal antibody in dogs with diffuse large B-cell lymphoma.	38662527	PRECINCT02	2024
publication	10.1371/journal.pone.0290428	Dittrich K, et al.	PLoS One. 2023 Aug 25;18(8)	Baseline tumor gene expression signatures correlate with chemoimmunotherapy treatment responsiveness in canine B cell lymphoma.	37624862	PRECINCT02	2023
