type	uuid	crdc_id	file_description	file_format	file_name	file_size	file_type	md5sum	sample.sample_id
file	93c39f0f-61a8-5e8f-a3ea-b265a31abf71	dg.4DFC/93c39f0f-61a8-5e8f-a3ea-b265a31abf71	WGS FASTQ - Tumor - Canine DLBCL - PRECINCT02	fastq	ERR14102108_2.fastq.gz	6700974980	Whole Genome Sequence File	cebabfb9596d79999d2989313f322c30	PRECINCT02-10-T-RVKPT-T
file	940dbf52-1b87-5006-920f-5caa3afaf8e2	dg.4DFC/940dbf52-1b87-5006-920f-5caa3afaf8e2	WGS FASTQ - Tumor - Canine DLBCL - PRECINCT02	fastq	ERR14099606_1.fastq.gz	20312834080	Whole Genome Sequence File	71e265174735fce6a56774c237b147d1	PRECINCT02-02-T-TAK981-T
file	944a6531-2803-51af-8abc-6de5a4e691ed	dg.4DFC/944a6531-2803-51af-8abc-6de5a4e691ed	WGS FASTQ - Normal Blood (cfDNA) - Canine DLBCL - PRECINCT02	fastq	ERR14102151_2.fastq.gz	6799251523	Whole Genome Sequence File	81ad43657277614b0171c3c5d5e78753	PRECINCT02-14-T-RVKPT-N
file	94a66525-ae3d-59d4-b431-89d260cde20d	dg.4DFC/94a66525-ae3d-59d4-b431-89d260cde20d	WGS FASTQ - Tumor - Canine DLBCL - PRECINCT02	fastq	ERR14098089_1.fastq.gz	4130858625	Whole Genome Sequence File	7624ed1da7847445615938f7725f86d8	PRECINCT02-05-T-KPT9274-T
file	94e1b67b-5a07-5f24-b609-fafe6065c994	dg.4DFC/94e1b67b-5a07-5f24-b609-fafe6065c994	WGS FASTQ - Normal Blood (cfDNA) - Canine DLBCL - PRECINCT02	fastq	ERR14102987_1.fastq.gz	6888067565	Whole Genome Sequence File	31d181444007fcdeea4e30fe3ff79f6c	PRECINCT02-09-T-DOXTAK-N
file	94f978b4-194b-57b5-83a9-10ccfc410bf3	dg.4DFC/94f978b4-194b-57b5-83a9-10ccfc410bf3	WGS FASTQ - Tumor - Canine DLBCL - PRECINCT02	fastq	ERR14096167_1.fastq.gz	2085207210	Whole Genome Sequence File	c6193d9a360650a2d78949cec7145241	PRECINCT02-03-T-RV1001-T
file	9518da69-991c-545f-bc21-35bece0ec307	dg.4DFC/9518da69-991c-545f-bc21-35bece0ec307	WGS FASTQ - Tumor - Canine DLBCL - PRECINCT02	fastq	ERR14099601_2.fastq.gz	19375564113	Whole Genome Sequence File	19de88d90618fba31d9e41e74639be41	PRECINCT02-01-T-TAK981-T
file	95374e18-3b56-507e-baf4-d73e175fb16f	dg.4DFC/95374e18-3b56-507e-baf4-d73e175fb16f	WGS FASTQ - Normal Blood (cfDNA) - Canine DLBCL - PRECINCT02	fastq	ERR14102932_1.fastq.gz	6036291835	Whole Genome Sequence File	6b0e0d6954d2f750e18dd4300625ac16	PRECINCT02-05-T-DOXTAK-N
file	95ace7bc-77df-558f-83da-4a8d857ff416	dg.4DFC/95ace7bc-77df-558f-83da-4a8d857ff416	WGS FASTQ - Tumor - Canine DLBCL - PRECINCT02	fastq	ERR14102983_1.fastq.gz	5477076475	Whole Genome Sequence File	2a0270fb7c2d978bfedf0ce02332ee95	PRECINCT02-09-T-DOXTAK-T
file	95bea879-d96e-5d8b-a051-7286e275a59c	dg.4DFC/95bea879-d96e-5d8b-a051-7286e275a59c	WGS FASTQ - Tumor - Canine DLBCL - PRECINCT02	fastq	ERR14102878_2.fastq.gz	7080552469	Whole Genome Sequence File	1d98c7d695f88521a21c573a99c17583	PRECINCT02-01-T-DOXTAK-T
file	95e7ec65-8e85-5895-88df-89d159f7223a	dg.4DFC/95e7ec65-8e85-5895-88df-89d159f7223a	WGS FASTQ - Tumor - Canine DLBCL - PRECINCT02	fastq	ERR14096195_2.fastq.gz	3576465130	Whole Genome Sequence File	8b61125c410e13b49cad4f5d1a21b7b4	PRECINCT02-01-T-RV1001-T
