guid	md5	size	acl	authz	urls
dg.4DFC/001a5427-0027-46df-8f2e-0f53d07b80e6	b994b8496b17430501586a582e17a2b1	29686	['*']	['/open']	s3://nci-crdc-data-bucket-prod/1bb2565c-09cb-4430-b691-bfb3aaf140b2/05-T-KPT9274-LN-A.RCC
dg.4DFC/011396b7-a5cc-53c6-ae0b-45c865b9211b	9f17ee7f9c8b2a0f5a147b245bf936f7	2661171598	['*']	['/open']	s3://nci-crdc-data-bucket-prod/1bb2565c-09cb-4430-b691-bfb3aaf140b2/ERR14096158_1.fastq.gz
dg.4DFC/01269e9a-5ae7-5bb6-87dd-3f64f3abe958	e3e2d89a5d3cd9e7bea547be46dfb043	7066376189	['*']	['/open']	s3://nci-crdc-data-bucket-prod/1bb2565c-09cb-4430-b691-bfb3aaf140b2/ERR14102972_1.fastq.gz
dg.4DFC/0162a962-e037-4e56-adbe-aac4c3be7967	9022ba79ada3ac53d74499ffa5f24c49	29726	['*']	['/open']	s3://nci-crdc-data-bucket-prod/1bb2565c-09cb-4430-b691-bfb3aaf140b2/06-T-KPT9274-LN-A.RCC
dg.4DFC/024315b1-9202-5273-beff-459481264129	466e6fb0d689a84bf3acbf874f3446de	4283578751	['*']	['/open']	s3://nci-crdc-data-bucket-prod/1bb2565c-09cb-4430-b691-bfb3aaf140b2/ERR14102927_2.fastq.gz
dg.4DFC/02f3f89e-aa37-522e-a51b-51ce0d9a96a2	ecff7a71713b6a6d77d58f66497bed1c	3971644955	['*']	['/open']	s3://nci-crdc-data-bucket-prod/1bb2565c-09cb-4430-b691-bfb3aaf140b2/ERR14102056_1.fastq.gz
dg.4DFC/0305c86d-a243-5f1a-b911-6248fc5a9bf4	c0e961705b0b27382792aa66610aa569	6740561878	['*']	['/open']	s3://nci-crdc-data-bucket-prod/1bb2565c-09cb-4430-b691-bfb3aaf140b2/ERR14102935_1.fastq.gz
dg.4DFC/0326f5e7-61b3-445c-a8aa-822bc02f955c	72ded73441f8c100ec85dbce24e05dd9	29628	['*']	['/open']	s3://nci-crdc-data-bucket-prod/1bb2565c-09cb-4430-b691-bfb3aaf140b2/06-T-DOXRV-LN-D.RCC
dg.4DFC/0338baf2-967c-5806-bd1e-c6dc4b3fb8f9	eaf3518357e1a981ee6adee22cf48cfb	4842363484	['*']	['/open']	s3://nci-crdc-data-bucket-prod/1bb2565c-09cb-4430-b691-bfb3aaf140b2/ERR14098061_1.fastq.gz
dg.4DFC/03390ec2-deb0-503f-a1eb-01b751196c38	7e043e5fb8832fa06b70d33b71a0ce26	7092100861	['*']	['/open']	s3://nci-crdc-data-bucket-prod/1bb2565c-09cb-4430-b691-bfb3aaf140b2/ERR14098086_2.fastq.gz
dg.4DFC/0360f37f-6fdf-5f48-8db3-2b76808effe4	d544f0e5446c99fb3ddac4699d2cdfbd	5710553481	['*']	['/open']	s3://nci-crdc-data-bucket-prod/1bb2565c-09cb-4430-b691-bfb3aaf140b2/ERR14102139_1.fastq.gz
dg.4DFC/03bb9c75-0cf8-5f7c-8dd9-63e172dce2c7	d300ed673c1df0eb5e3791317c3d1605	4929174951	['*']	['/open']	s3://nci-crdc-data-bucket-prod/1bb2565c-09cb-4430-b691-bfb3aaf140b2/ERR14098059_1.fastq.gz
dg.4DFC/03bcbbf2-0ca6-5b40-b014-73a0cf18ae18	dbd9d0d9256c3860fb5e6671883e707c	24707851717	['*']	['/open']	s3://nci-crdc-data-bucket-prod/1bb2565c-09cb-4430-b691-bfb3aaf140b2/ERR14099614_2.fastq.gz
dg.4DFC/03d6b7f5-7c31-5a79-8d35-c74270e50ec6	523670a1b7b297283f44ae0d546910dd	5552620894	['*']	['/open']	s3://nci-crdc-data-bucket-prod/1bb2565c-09cb-4430-b691-bfb3aaf140b2/ERR14102081_2.fastq.gz
dg.4DFC/03f91527-441d-5a96-a181-0c2b19b8f6ca	46ab6dd38716a28c97e7c95d06d000c1	7648220371	['*']	['/open']	s3://nci-crdc-data-bucket-prod/1bb2565c-09cb-4430-b691-bfb3aaf140b2/ERR14099669_2.fastq.gz
dg.4DFC/049547a6-8c78-57d3-a4db-11900b9f845c	6fe923a2c69b3e6d9336815ca395d4be	5648476174	['*']	['/open']	s3://nci-crdc-data-bucket-prod/1bb2565c-09cb-4430-b691-bfb3aaf140b2/ERR14102035_1.fastq.gz
dg.4DFC/04c34e35-c440-5a1f-b549-772189f0c78b	895b546419c56f2ea5d4217ca4951b34	9146717915	['*']	['/open']	s3://nci-crdc-data-bucket-prod/1bb2565c-09cb-4430-b691-bfb3aaf140b2/ERR14102083_2.fastq.gz
dg.4DFC/04cd5ef6-7619-5071-91f9-e21280d57b5d	a4d34a77c8af59c5be8604e3d8d3c50c	7497617111	['*']	['/open']	s3://nci-crdc-data-bucket-prod/1bb2565c-09cb-4430-b691-bfb3aaf140b2/ERR14099668_2.fastq.gz
dg.4DFC/04eb907b-6106-53b7-b5d0-a75a29dfc087	8027a88ac6fdaf5b8802568875829025	5726342776	['*']	['/open']	s3://nci-crdc-data-bucket-prod/1bb2565c-09cb-4430-b691-bfb3aaf140b2/ERR14098096_1.fastq.gz
dg.4DFC/06118f8d-8687-5b95-8296-5035b09db1f4	d3aad5dc777d05911b84aa1ba360bd1a	4767626073	['*']	['/open']	s3://nci-crdc-data-bucket-prod/1bb2565c-09cb-4430-b691-bfb3aaf140b2/ERR14102115_1.fastq.gz
dg.4DFC/066afbe8-c814-50d6-b812-0478badb2b9c	b7acfd17d777a2245cf09fd84438457f	5449038434	['*']	['/open']	s3://nci-crdc-data-bucket-prod/1bb2565c-09cb-4430-b691-bfb3aaf140b2/ERR14102970_1.fastq.gz
dg.4DFC/06823684-d3b9-54df-ad44-2c258b25e445	c9ad0cd89dc0d7d00c7373207d82a26f	4397333247	['*']	['/open']	s3://nci-crdc-data-bucket-prod/1bb2565c-09cb-4430-b691-bfb3aaf140b2/ERR14102118_1.fastq.gz
dg.4DFC/069134df-262e-5c72-b85d-50a6940ed540	2870d5e7ba781bb1d4c31bdbf961c5fb	3374676507	['*']	['/open']	s3://nci-crdc-data-bucket-prod/1bb2565c-09cb-4430-b691-bfb3aaf140b2/ERR14096188_1.fastq.gz
dg.4DFC/06b25a40-f5ae-5456-b12c-3128c6c378ed	b4a5247020fe93afd5ea6575961dc54c	4858702681	['*']	['/open']	s3://nci-crdc-data-bucket-prod/1bb2565c-09cb-4430-b691-bfb3aaf140b2/ERR14098105_2.fastq.gz
dg.4DFC/0727f203-5e36-525b-bc5b-1d9d0a00cf6c	d24d007edaed807fcc4d8938660b9718	6778202110	['*']	['/open']	s3://nci-crdc-data-bucket-prod/1bb2565c-09cb-4430-b691-bfb3aaf140b2/ERR14098093_2.fastq.gz
dg.4DFC/07329d4f-4a2a-49ba-8573-59b458c9ddf5	b9f253f41d3f20b76b62416883ac2cd1	29750	['*']	['/open']	s3://nci-crdc-data-bucket-prod/1bb2565c-09cb-4430-b691-bfb3aaf140b2/06-T-KPTT9274-LN-D.RCC
dg.4DFC/075fd406-fdae-59cc-a751-98883cd7f555	8f894fe46231e7d4990127fcb5be75c0	5784206998	['*']	['/open']	s3://nci-crdc-data-bucket-prod/1bb2565c-09cb-4430-b691-bfb3aaf140b2/ERR14102880_1.fastq.gz
dg.4DFC/078ea5af-7b72-5740-b08f-5551024e1c9b	def4c65c7928dfee962eea1d7af72014	6025266761	['*']	['/open']	s3://nci-crdc-data-bucket-prod/1bb2565c-09cb-4430-b691-bfb3aaf140b2/ERR14102093_2.fastq.gz
dg.4DFC/07ba0021-052c-5f64-83a6-46cf9a74eb24	5aaace989757efb84777b6a241cc6a2f	4403118931	['*']	['/open']	s3://nci-crdc-data-bucket-prod/1bb2565c-09cb-4430-b691-bfb3aaf140b2/ERR14098065_2.fastq.gz
dg.4DFC/08472bdd-1dcd-5b4f-b7bb-0f014f3a384c	c998cc1ab336a4c04232d4e08e7bde9a	7886858592	['*']	['/open']	s3://nci-crdc-data-bucket-prod/1bb2565c-09cb-4430-b691-bfb3aaf140b2/ERR14102059_2.fastq.gz
dg.4DFC/084924fb-ee15-589a-a5fa-31b0e7dcdc32	093a03d5f446def88df5d544acef215e	4873993035	['*']	['/open']	s3://nci-crdc-data-bucket-prod/1bb2565c-09cb-4430-b691-bfb3aaf140b2/ERR14098062_1.fastq.gz
dg.4DFC/08716e6c-20b6-52a5-8cb0-8ceee144e21e	107827e24136aec70560adb2f78ecd0a	6251928526	['*']	['/open']	s3://nci-crdc-data-bucket-prod/1bb2565c-09cb-4430-b691-bfb3aaf140b2/ERR14098100_2.fastq.gz
dg.4DFC/088059ac-fe09-5dca-9528-a9626f869ee8	7ec93768683610ab8e89e64bd0401c79	5898120856	['*']	['/open']	s3://nci-crdc-data-bucket-prod/1bb2565c-09cb-4430-b691-bfb3aaf140b2/ERR14102025_1.fastq.gz
dg.4DFC/08b7d556-e8bd-519e-adf9-f73a1d591e0b	4427c209a9d0089d8d74a5551192ae13	4807092057	['*']	['/open']	s3://nci-crdc-data-bucket-prod/1bb2565c-09cb-4430-b691-bfb3aaf140b2/ERR14102928_2.fastq.gz
dg.4DFC/08b813c0-2752-556d-962c-443da3b772ad	4719bcb9874deba5147c44f0562a948d	2640582639	['*']	['/open']	s3://nci-crdc-data-bucket-prod/1bb2565c-09cb-4430-b691-bfb3aaf140b2/ERR14096160_1.fastq.gz
dg.4DFC/08d33513-bbd0-5e87-a7bb-b6fbd529f1a6	2c19c5d8d5adb10787737145d156f0c8	5444337618	['*']	['/open']	s3://nci-crdc-data-bucket-prod/1bb2565c-09cb-4430-b691-bfb3aaf140b2/ERR14102077_1.fastq.gz
dg.4DFC/09886971-e11d-541f-9aef-5258d662ef8e	6248ce2889763990ba4678a537950907	5014821567	['*']	['/open']	s3://nci-crdc-data-bucket-prod/1bb2565c-09cb-4430-b691-bfb3aaf140b2/ERR14103076_1.fastq.gz
dg.4DFC/09f015f8-9db9-5c20-9aef-98d0658de19b	19584b1cb16a9495d23c18779bd8e286	4126581156	['*']	['/open']	s3://nci-crdc-data-bucket-prod/1bb2565c-09cb-4430-b691-bfb3aaf140b2/ERR14096175_1.fastq.gz
dg.4DFC/0a7d94b0-d702-5f8d-8009-b9cddfab3d7a	40086804eb38345f61501a2b7ed65456	4951734510	['*']	['/open']	s3://nci-crdc-data-bucket-prod/1bb2565c-09cb-4430-b691-bfb3aaf140b2/ERR14098069_2.fastq.gz
dg.4DFC/0a9c49a4-54f5-5e71-84aa-acb81addb9b5	732d5c8c4dad41049413748504ad5fb7	2848173755	['*']	['/open']	s3://nci-crdc-data-bucket-prod/1bb2565c-09cb-4430-b691-bfb3aaf140b2/ERR14099665_1.fastq.gz
