type	sample_id	case.case_id	comment	crdc_id	date_of_sample_collection	general_sample_pathology	length_of_tumor	molecular_subtype	necropsy_sample	percentage_tumor	physical_sample_type	sample_chronology	sample_preservation	sample_site	specific_sample_pathology	summarized_sample_type	tumor_grade	tumor_sample_origin	visit.visit_record_id	volume_of_tumor	width_of_tumor
sample	PRECINCT02-01-T-DOXRV-N	PRECINCT02-01-T-DOXRV	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 4 (DOXRV); matched normal; ENA accession SAMEA117553177	3adb26c9-7a86-43b0-965f-c17b1a1f2c59	11/21/2019	Normal			No	Not Applicable	Blood	Before Treatment	Snap Frozen	Blood	Not Applicable	Whole Blood	Not Applicable	Not Applicable	PRECINCT02-01-T-DOXRV-2019-11-21		
sample	PRECINCT02-01-T-DOXRV-T	PRECINCT02-01-T-DOXRV	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 4 (DOXRV); ENA accession SAMEA117553128	51df65ba-2c98-43a6-a84d-795bd0104c67	11/21/2019	Malignant			No	Not Determined	Tissue	Before Treatment	Snap Frozen	Lymph Node	B Cell Lymphoma	Primary Malignant Tumor Tissue	High	Primary	PRECINCT02-01-T-DOXRV-2019-11-21		
sample	PRECINCT02-01-T-DOXTAK-T	PRECINCT02-01-T-DOXTAK	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 6 (DOXTAK); ENA accession SAMEA117553147	d2b85346-9aec-42fe-854e-8be6656ea5bb	11/2/2020	Malignant			No	Not Determined	Tissue	Before Treatment	Snap Frozen	Lymph Node	B Cell Lymphoma	Primary Malignant Tumor Tissue	High	Primary	PRECINCT02-01-T-DOXTAK-2020-11-02		
sample	PRECINCT02-01-T-KPT9274-N	PRECINCT02-01-T-KPT9274	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 2 (KPT9274); matched normal; ENA accession SAMEA117553163	9ac4217a-df5c-4539-a383-eb41d13ddb3a	4/4/2019	Normal			No	Not Applicable	Blood	Before Treatment	Snap Frozen	Blood	Not Applicable	Whole Blood	Not Applicable	Not Applicable	PRECINCT02-01-T-KPT9274-2019-04-04		
sample	PRECINCT02-01-T-KPT9274-T	PRECINCT02-01-T-KPT9274	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 2 (KPT9274); ENA accession SAMEA117553114	49d40e79-0729-431f-b9bd-6c4e13429aed	4/4/2019	Malignant			No	Not Determined	Tissue	Before Treatment	Snap Frozen	Lymph Node	B Cell Lymphoma	Primary Malignant Tumor Tissue	High	Primary	PRECINCT02-01-T-KPT9274-2019-04-04		
sample	PRECINCT02-01-T-RV1001-N	PRECINCT02-01-T-RV1001	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 1 (RV1001); matched normal; ENA accession SAMEA117553158	1ff97307-1b7e-483c-95fc-76fbb3b7b0dc	12/18/2018	Normal			No	Not Applicable	Blood	Before Treatment	Snap Frozen	Blood	Not Applicable	Whole Blood	Not Applicable	Not Applicable	PRECINCT02-01-T-RV1001-2018-12-18		
sample	PRECINCT02-01-T-RV1001-T	PRECINCT02-01-T-RV1001	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 1 (RV1001); ENA accession SAMEA117553109	89014f9a-3b31-4be3-b057-ff4ed64852c8	12/18/2018	Malignant			No	Not Determined	Tissue	Before Treatment	Snap Frozen	Lymph Node	B Cell Lymphoma	Primary Malignant Tumor Tissue	High	Primary	PRECINCT02-01-T-RV1001-2018-12-18		
sample	PRECINCT02-01-T-RVKPT-N	PRECINCT02-01-T-RVKPT	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 5 (RVKPT); matched normal; ENA accession SAMEA117553183	33867351-4e6d-4f84-9e7e-00fbbdda8ace	5/18/2020	Normal			No	Not Applicable	Blood	Before Treatment	Snap Frozen	Blood	Not Applicable	Whole Blood	Not Applicable	Not Applicable	PRECINCT02-01-T-RVKPT-2020-05-18		
sample	PRECINCT02-01-T-RVKPT-T	PRECINCT02-01-T-RVKPT	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 5 (RVKPT); ENA accession SAMEA117553134	0f1bf302-46af-49d6-8961-f1df8b3a6e04	5/18/2020	Malignant			No	Not Determined	Tissue	Before Treatment	Snap Frozen	Lymph Node	B Cell Lymphoma	Primary Malignant Tumor Tissue	High	Primary	PRECINCT02-01-T-RVKPT-2020-05-18		
sample	PRECINCT02-01-T-TAK981-N	PRECINCT02-01-T-TAK981	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 3 (TAK981); matched normal; ENA accession SAMEA117553170	f0895d7c-14c8-4c73-bbad-8efa36db44a9	8/19/2019	Normal			No	Not Applicable	Blood	Before Treatment	Snap Frozen	Blood	Not Applicable	Whole Blood	Not Applicable	Not Applicable	PRECINCT02-01-T-TAK981-2019-08-19		
sample	PRECINCT02-01-T-TAK981-T	PRECINCT02-01-T-TAK981	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 3 (TAK981); ENA accession SAMEA117553121	ea6eb529-d426-4666-b0e4-978c8debe7f1	8/19/2019	Malignant			No	Not Determined	Tissue	Before Treatment	Snap Frozen	Lymph Node	B Cell Lymphoma	Primary Malignant Tumor Tissue	High	Primary	PRECINCT02-01-T-TAK981-2019-08-19		
sample	PRECINCT02-02-T-DOXRV-N	PRECINCT02-02-T-DOXRV	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 4 (DOXRV); matched normal; ENA accession SAMEA117553178	eb261acf-260d-467a-a6f0-acb3cf4ef4cd	11/22/2019	Normal			No	Not Applicable	Blood	Before Treatment	Snap Frozen	Blood	Not Applicable	Whole Blood	Not Applicable	Not Applicable	PRECINCT02-02-T-DOXRV-2019-11-22		
sample	PRECINCT02-02-T-DOXRV-T	PRECINCT02-02-T-DOXRV	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 4 (DOXRV); ENA accession SAMEA117553129	d1cfff1f-0f45-4967-a691-04620173b46c	11/22/2019	Malignant			No	Not Determined	Tissue	Before Treatment	Snap Frozen	Lymph Node	B Cell Lymphoma	Primary Malignant Tumor Tissue	High	Primary	PRECINCT02-02-T-DOXRV-2019-11-22		
sample	PRECINCT02-02-T-DOXTAK-N	PRECINCT02-02-T-DOXTAK	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 6 (DOXTAK); matched normal; ENA accession SAMEA117553197	46c5864b-43f8-4f6b-a0bc-c9ccd50aba5c	2/18/2021	Normal			No	Not Applicable	Blood	Before Treatment	Snap Frozen	Blood	Not Applicable	Whole Blood	Not Applicable	Not Applicable	PRECINCT02-02-T-DOXTAK-2021-02-18		
sample	PRECINCT02-02-T-DOXTAK-T	PRECINCT02-02-T-DOXTAK	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 6 (DOXTAK); ENA accession SAMEA117553148	4978e216-6cb6-463c-8e66-2ff5ef5e2f3c	2/18/2021	Malignant			No	Not Determined	Tissue	Before Treatment	Snap Frozen	Lymph Node	B Cell Lymphoma	Primary Malignant Tumor Tissue	High	Primary	PRECINCT02-02-T-DOXTAK-2021-02-18		
sample	PRECINCT02-02-T-KPT9274-N	PRECINCT02-02-T-KPT9274	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 2 (KPT9274); matched normal; ENA accession SAMEA117553164	b0e2134c-a01e-4774-85bd-06807892ce63	6/14/2019	Normal			No	Not Applicable	Blood	Before Treatment	Snap Frozen	Blood	Not Applicable	Whole Blood	Not Applicable	Not Applicable	PRECINCT02-02-T-KPT9274-2019-06-14		
sample	PRECINCT02-02-T-KPT9274-T	PRECINCT02-02-T-KPT9274	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 2 (KPT9274); ENA accession SAMEA117553115	752cd62a-7983-4a36-949f-aaf6758aac3b	6/14/2019	Malignant			No	Not Determined	Tissue	Before Treatment	Snap Frozen	Lymph Node	B Cell Lymphoma	Primary Malignant Tumor Tissue	High	Primary	PRECINCT02-02-T-KPT9274-2019-06-14		
sample	PRECINCT02-02-T-RV1001-N	PRECINCT02-02-T-RV1001	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 1 (RV1001); matched normal; ENA accession SAMEA117553159	93bc6788-6086-4084-8a5e-5193c3c35916	12/19/2018	Normal			No	Not Applicable	Blood	Before Treatment	Snap Frozen	Blood	Not Applicable	Whole Blood	Not Applicable	Not Applicable	PRECINCT02-02-T-RV1001-2018-12-19		
sample	PRECINCT02-02-T-RV1001-T	PRECINCT02-02-T-RV1001	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 1 (RV1001); ENA accession SAMEA117553110	acb74ee0-e625-4752-8b05-ae7b0215be63	12/19/2018	Malignant			No	Not Determined	Tissue	Before Treatment	Snap Frozen	Lymph Node	B Cell Lymphoma	Primary Malignant Tumor Tissue	High	Primary	PRECINCT02-02-T-RV1001-2018-12-19		
sample	PRECINCT02-02-T-RVKPT-N	PRECINCT02-02-T-RVKPT	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 5 (RVKPT); matched normal; ENA accession SAMEA117553184	414f601e-a90c-4275-bb1d-33a6e47ede75	6/12/2020	Normal			No	Not Applicable	Blood	Before Treatment	Snap Frozen	Blood	Not Applicable	Whole Blood	Not Applicable	Not Applicable	PRECINCT02-02-T-RVKPT-2020-06-12		
sample	PRECINCT02-02-T-RVKPT-T	PRECINCT02-02-T-RVKPT	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 5 (RVKPT); ENA accession SAMEA117553135	592fe3b7-3c76-4e2d-aec2-3ed0367fe200	6/12/2020	Malignant			No	Not Determined	Tissue	Before Treatment	Snap Frozen	Lymph Node	B Cell Lymphoma	Primary Malignant Tumor Tissue	High	Primary	PRECINCT02-02-T-RVKPT-2020-06-12		
sample	PRECINCT02-02-T-TAK981-N	PRECINCT02-02-T-TAK981	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 3 (TAK981); matched normal; ENA accession SAMEA117553171	cac70295-4196-44c3-81bc-8a7e322dbccf	8/20/2019	Normal			No	Not Applicable	Blood	Before Treatment	Snap Frozen	Blood	Not Applicable	Whole Blood	Not Applicable	Not Applicable	PRECINCT02-02-T-TAK981-2019-08-20		
sample	PRECINCT02-02-T-TAK981-T	PRECINCT02-02-T-TAK981	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 3 (TAK981); ENA accession SAMEA117553122	47eaad35-1268-4001-b802-8847bc8fe3be	8/20/2019	Malignant			No	Not Determined	Tissue	Before Treatment	Snap Frozen	Lymph Node	B Cell Lymphoma	Primary Malignant Tumor Tissue	High	Primary	PRECINCT02-02-T-TAK981-2019-08-20		
sample	PRECINCT02-03-T-DOXRV-N	PRECINCT02-03-T-DOXRV	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 4 (DOXRV); matched normal; ENA accession SAMEA117553179	a1cdb004-55c7-41d3-9480-23a6674c2cd8	11/25/2019	Normal			No	Not Applicable	Blood	Before Treatment	Snap Frozen	Blood	Not Applicable	Whole Blood	Not Applicable	Not Applicable	PRECINCT02-03-T-DOXRV-2019-11-25		
sample	PRECINCT02-03-T-DOXRV-T	PRECINCT02-03-T-DOXRV	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 4 (DOXRV); ENA accession SAMEA117553130	c124620f-6ed2-4654-94a8-3c9ddfd0812a	11/25/2019	Malignant			No	Not Determined	Tissue	Before Treatment	Snap Frozen	Lymph Node	B Cell Lymphoma	Primary Malignant Tumor Tissue	High	Primary	PRECINCT02-03-T-DOXRV-2019-11-25		
sample	PRECINCT02-03-T-DOXTAK-N	PRECINCT02-03-T-DOXTAK	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 6 (DOXTAK); matched normal; ENA accession SAMEA117553198	a57bbd38-52ad-49dc-8728-37b2c51152de	3/5/2021	Normal			No	Not Applicable	Blood	Before Treatment	Snap Frozen	Blood	Not Applicable	Whole Blood	Not Applicable	Not Applicable	PRECINCT02-03-T-DOXTAK-2021-03-05		
sample	PRECINCT02-03-T-DOXTAK-T	PRECINCT02-03-T-DOXTAK	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 6 (DOXTAK); ENA accession SAMEA117553149	03c8d722-3794-484d-a8d4-c80483b346bd	3/5/2021	Malignant			No	Not Determined	Tissue	Before Treatment	Snap Frozen	Lymph Node	B Cell Lymphoma	Primary Malignant Tumor Tissue	High	Primary	PRECINCT02-03-T-DOXTAK-2021-03-05		
sample	PRECINCT02-03-T-KPT9274-N	PRECINCT02-03-T-KPT9274	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 2 (KPT9274); matched normal; ENA accession SAMEA117553165	8aae54ed-cc3e-4697-b2ab-5b1ac0b086d2	6/28/2019	Normal			No	Not Applicable	Blood	Before Treatment	Snap Frozen	Blood	Not Applicable	Whole Blood	Not Applicable	Not Applicable	PRECINCT02-03-T-KPT9274-2019-06-28		
sample	PRECINCT02-03-T-KPT9274-T	PRECINCT02-03-T-KPT9274	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 2 (KPT9274); ENA accession SAMEA117553116	34c92146-d5d1-4e66-9b83-08997c26c346	6/28/2019	Malignant			No	Not Determined	Tissue	Before Treatment	Snap Frozen	Lymph Node	B Cell Lymphoma	Primary Malignant Tumor Tissue	High	Primary	PRECINCT02-03-T-KPT9274-2019-06-28		
