type	demographic_record_id	additional_breed_detail	breed	case.case_id	date_of_birth	neutered_indicator	patient_age_at_enrollment	sex	weight
demographic	PRECINCT02-01-1-LSA7		Mixed Breed	PRECINCT02-01-1-LSA7	2/15/2016	Yes	6.5	Female	26.2
demographic	PRECINCT02-01-T-DOXRV		Pug	PRECINCT02-01-T-DOXRV	4/11/2008	Yes	11.6	Male	10.3
demographic	PRECINCT02-01-T-DOXTAK		Labrador Retriever	PRECINCT02-01-T-DOXTAK	11/21/2009	Yes	11.0	Male	36
demographic	PRECINCT02-01-T-KPT9274		Mixed Breed	PRECINCT02-01-T-KPT9274	6/27/2011	Yes	7.8	Female	10.4
demographic	PRECINCT02-01-T-RV1001		Mixed Breed	PRECINCT02-01-T-RV1001	5/18/2008	Yes	10.6	Female	23.8
demographic	PRECINCT02-01-T-RVKPT		Shetland Sheepdog	PRECINCT02-01-T-RVKPT	2/2/2016	Yes	4.3	Male	26.6
demographic	PRECINCT02-01-T-TAK981		German Shepherd Dog	PRECINCT02-01-T-TAK981	10/8/2010	Yes	8.9	Female	25.3
demographic	PRECINCT02-02-1-LSA7		Golden Retriever	PRECINCT02-02-1-LSA7	3/1/2016	Yes	6.4	Female	35.6
demographic	PRECINCT02-02-T-DOXRV		Other	PRECINCT02-02-T-DOXRV	9/9/2011	No	8.2	Female	36.3
demographic	PRECINCT02-02-T-DOXTAK		Mixed Breed	PRECINCT02-02-T-DOXTAK	10/4/2016	Yes	4.4	Female	19.2
demographic	PRECINCT02-02-T-KPT9274		Mixed Breed	PRECINCT02-02-T-KPT9274	5/29/2013	Yes	6.0	Female	36
demographic	PRECINCT02-02-T-RV1001		Mixed Breed	PRECINCT02-02-T-RV1001	8/1/2010	Yes	8.4	Female	13
demographic	PRECINCT02-02-T-RVKPT		Labrador Retriever	PRECINCT02-02-T-RVKPT	3/5/2013	Yes	7.3	Male	
demographic	PRECINCT02-02-T-TAK981		Bulldog	PRECINCT02-02-T-TAK981	8/12/2013	Yes	6.0	Male	26.6
demographic	PRECINCT02-03-1-LSA7		Mixed Breed	PRECINCT02-03-1-LSA7	5/8/2010	Yes	12.3	Female	31.8
demographic	PRECINCT02-03-T-DOXRV		Mixed Breed	PRECINCT02-03-T-DOXRV	11/1/2016	Yes	3.1	Female	10
demographic	PRECINCT02-03-T-DOXTAK		Shiba Inu	PRECINCT02-03-T-DOXTAK	12/18/2009	Yes	11.2	Male	16
demographic	PRECINCT02-03-T-KPT9274	American Pit Bull Terrier	Other	PRECINCT02-03-T-KPT9274	9/25/2008	Yes	10.7	Female	30.7
demographic	PRECINCT02-03-T-RV1001		Labrador Retriever	PRECINCT02-03-T-RV1001	1/15/2009	Yes	10.0	Female	32.7
demographic	PRECINCT02-03-T-RVKPT		Mixed Breed	PRECINCT02-03-T-RVKPT	6/9/2007	No	13.1	Male	10.2
demographic	PRECINCT02-03-T-TAK981		Mixed Breed	PRECINCT02-03-T-TAK981	9/2/2014	Yes	5.0	Male	19.7
demographic	PRECINCT02-04-1-LSA7	American Pit Bull Terrier	Other	PRECINCT02-04-1-LSA7	7/17/2017	Yes	5.1	Male	41.4
demographic	PRECINCT02-04-T-DOXRV		Mixed Breed	PRECINCT02-04-T-DOXRV	9/1/2013	Yes	6.2	Male	34.7
demographic	PRECINCT02-04-T-DOXTAK		Mixed Breed	PRECINCT02-04-T-DOXTAK	1/24/2012	Yes	9.1	Female	12.8
demographic	PRECINCT02-04-T-KPT9274		Mastiff	PRECINCT02-04-T-KPT9274	7/4/2013	Yes	6.1	Male	78.9
demographic	PRECINCT02-04-T-RV1001		Great Pyrenees	PRECINCT02-04-T-RV1001	5/15/2012	Yes	6.7	Male	31.4
demographic	PRECINCT02-04-T-RVKPT		Cocker Spaniel	PRECINCT02-04-T-RVKPT	8/1/2012	Yes	8.0	Female	14
demographic	PRECINCT02-05-1-LSA7		Canaan Dog	PRECINCT02-05-1-LSA7	7/20/2013	Yes	9.2	Male	22.2
demographic	PRECINCT02-05-T-DOXRV		Mixed Breed	PRECINCT02-05-T-DOXRV	2/26/2010	Yes	9.8	Female	10.5
demographic	PRECINCT02-05-T-DOXTAK		German Shepherd Dog	PRECINCT02-05-T-DOXTAK	6/21/2013	Yes	7.7	Female	37.2
demographic	PRECINCT02-05-T-KPT9274	American Pit Bull Terrier	Other	PRECINCT02-05-T-KPT9274	5/7/2010	Yes	9.3	Female	21.5
demographic	PRECINCT02-05-T-RV1001		Beagle	PRECINCT02-05-T-RV1001	9/27/2007	Yes	11.3	Male	13.3
demographic	PRECINCT02-05-T-RVKPT		Mixed Breed	PRECINCT02-05-T-RVKPT	8/18/2012	Yes	8.0	Male	
demographic	PRECINCT02-05-T-TAK981		Mixed Breed	PRECINCT02-05-T-TAK981	5/9/2015	Yes	4.4	Male	18.3
demographic	PRECINCT02-06-1-LSA7		Rottweiler	PRECINCT02-06-1-LSA7	12/28/2018	Yes	3.8	Female	57.2
demographic	PRECINCT02-06-T-DOXRV		Scottish Terrier	PRECINCT02-06-T-DOXRV	2/19/2015	No	5.0	Male	19.8
demographic	PRECINCT02-06-T-DOXTAK		Soft Coated Wheaten Terrier	PRECINCT02-06-T-DOXTAK	3/23/2014	Yes	7.0	Female	19.2
demographic	PRECINCT02-06-T-KPT9274		Mixed Breed	PRECINCT02-06-T-KPT9274	10/24/2011	Yes	7.9	Female	32.7
demographic	PRECINCT02-06-T-RVKPT		Standard Schnauzer	PRECINCT02-06-T-RVKPT	11/9/2009	Yes	10.8	Male	
demographic	PRECINCT02-07-1-LSA7		Tibetan Terrier	PRECINCT02-07-1-LSA7	8/6/2015	Yes	7.2	Female	13
demographic	PRECINCT02-07-T-DOXTAK		Rottweiler	PRECINCT02-07-T-DOXTAK	4/9/2015	Yes	6.0	Female	42.4
demographic	PRECINCT02-07-T-KPT9274		Mixed Breed	PRECINCT02-07-T-KPT9274	12/17/2009	Yes	9.8	Male	10.7
demographic	PRECINCT02-07-T-RVKPT		Golden Retriever	PRECINCT02-07-T-RVKPT	7/21/2017	Yes	3.2	Male	
demographic	PRECINCT02-07-T-TAK981		Australian Cattle Dog	PRECINCT02-07-T-TAK981	8/1/2009	Yes	10.2	Female	15.5
demographic	PRECINCT02-08-1-LSA7		Mixed Breed	PRECINCT02-08-1-LSA7	10/23/2010	Yes	12.0	Male	19.8
demographic	PRECINCT02-08-T-DOXTAK		Mixed Breed	PRECINCT02-08-T-DOXTAK	6/1/2011	Yes	9.9	Male	12.2
demographic	PRECINCT02-08-T-RVKPT		Mixed Breed	PRECINCT02-08-T-RVKPT	7/27/2010	Yes	10.1	Male	28.4
demographic	PRECINCT02-09-1-LSA7		Cairn Terrier	PRECINCT02-09-1-LSA7	8/13/2010	Yes	12.2	Male	8.6
demographic	PRECINCT02-09-T-DOXTAK	American Pit Bull Terrier	Other	PRECINCT02-09-T-DOXTAK	7/22/2011	Yes	9.8	Female	36.4
demographic	PRECINCT02-09-T-RVKPT		Other	PRECINCT02-09-T-RVKPT	11/12/2014	Yes	5.9	Female	39.4
demographic	PRECINCT02-10-1-LSA7		Boston Terrier	PRECINCT02-10-1-LSA7	1/1/2017	Yes	5.8	Male	
demographic	PRECINCT02-10-T-DOXTAK		Basset Hound	PRECINCT02-10-T-DOXTAK	8/27/2011	Yes	9.7	Male	20.4
demographic	PRECINCT02-10-T-RVKPT		Golden Retriever	PRECINCT02-10-T-RVKPT	5/17/2013	Yes	7.5	Male	32.4
demographic	PRECINCT02-11-1-LSA7		Boston Terrier	PRECINCT02-11-1-LSA7	2/23/2020	No	2.7	Male	10.8
demographic	PRECINCT02-11-T-DOXTAK		Beagle	PRECINCT02-11-T-DOXTAK	1/19/2017	Yes	4.3	Male	15.9
demographic	PRECINCT02-12-1-LSA7		Beagle	PRECINCT02-12-1-LSA7	7/2/2008	Yes	14.4	Female	12.2
demographic	PRECINCT02-12-T-RVKPT		Mixed Breed	PRECINCT02-12-T-RVKPT	4/12/2013	Yes	7.6	Male	11
demographic	PRECINCT02-13-1-LSA7		Labrador Retriever	PRECINCT02-13-1-LSA7	6/17/2017	Yes	5.5	Male	34
