type	cohort_record_id	cohort_description	cohort_dose	study_arm.arm_id
cohort	PRECINCT02-01	anti-CD20	10 mg/kg anti-CD20	PRECINCT02-01
cohort	PRECINCT02-02	1E4-cIgGB/Doxorubicin/KPT-9274	1E4-cIgGB: 20 mg/kg for the first dose, then 10 mg/kg) q3w x4/ Doxorubicin: 20-25 mg/m2 IV q3w x4/KPT-9274: 4-4.5 mg/kg PO with doxorubicin	PRECINCT02-02
cohort	PRECINCT02-03	20/10 mg/kg anti-CD20 with 25 mg/m2 Doxorubicin and 2.5/3.0 mg/kg TAK981	Doxorubicin: 20-25 mg/m2 IV once on Day 0/1E4-cIgGB (20 mg/kg for the first dose, then 10 mg/kg) q1w x4 starting on Day 7/TAK-981: 2.5-3 mg/kg IV q1w x4, starting on Day 7	PRECINCT02-03
cohort	PRECINCT02-04	20/10 mg/kg anti-CD20 with 20/25 mg/m2 Doxorubicin and 10 mg/kg RV1001	1E4-cIgGB: (20 mg/kg for the first dose, then 10 mg/kg) q3w x4/Doxorubicin: 20-25 mg/m2 IV q3w x4/RV1001: 7.5-15 mg/kg PO 4 days on/3 days off for 3 months	PRECINCT02-04
cohort	PRECINCT02-05	20/10 mg/kg anti-CD20 with 7.5 mg/kg RV1001/4 mg/kg KPT-9274/25 mg/m2 Doxorubicin	1E4-cIgGB: (20 mg/kg for the first dose, then 10 mg/kg) q3w x4/Doxorubicin: 20-25 mg/m2 IV q3w x4/KPT-9274:4-4.5 mg/kg PO with doxorubicin/RV1001: 7.5-15 mg/kg PO 4 days on/3 days off for 6 months	PRECINCT02-05
cohort	PRECINCT02-06	10 mg/kg anti-CD20 with 20 mg/10 mg/m2 m2 Doxorubicin/3mg/kg TAK-981	1E4-cIgGB: 10-20 mg/kg IV (20 mg/kg for the first dose, then 10 mg/kg) Doxorubicin: 20 mg/m2 IV/TAK-981: 2.5-3 mg/kg IV/Three cycles of: Day 0: 1E4-cIgGB/Doxorubicin/TAK-981, Day 7: 1E4-cIgGB/TAK-981, Day 14: No treatment	PRECINCT02-06
cohort	PRECINCT02-07a	Exploratory study of anti-CD20/DOX vs anti-CD20RV1001/KPT-9274/DOX in dogs with DLBCL	1E4-cIgGB: 20 mg/kg q3w x 4/Doxorubicin: 20-25 mg/m2 IV q3w x 4/KPT-9274: 4-4.5 mg/kg PO with doxorubicin/RV1001: 7.5-15 mg/kg PO 4 days on/3 days off during treatment; discontinued 3 weeks post last doxorubicin	PRECINCT02-07a
cohort	PRECINCT02-07b	Exploratory study of anti-CD20/DOX vs anti-CD20RV1001/KPT-9274/DOX in dogs with DLBCL	1E4-cIgGB: 20 mg/kg q3w x 4/Doxorubicin: 20-25 mg/m2 IV q3w x 4	PRECINCT02-07b
