type	cell_line_id	source	id	study.id	sample.id
cell_line	COGN534_cellLine	Childhood Cancer Repository	040a47f0-3f26-50bb-bc9f-72176ec27cf8		3be07ae5-eb56-5679-ab9c-cf3dc6706247
cell_line	SKNDZ_cellLine	American Type Culture Collection	0561e2c2-81d5-575a-ad0c-a2296409273a		6acc95f4-f2af-57a7-9897-899876b70dc0
cell_line	NGP_cellLine	DSMZ-German Collection of Microorganisms and Cell Cultures GmbH	1515be47-39d9-52a2-8a6a-4742bb26235f		728c6c4d-1d08-58f3-ba94-48e7ac6c1dfb
cell_line	IMR5_cellLine	American Type Culture Collection	15acd36e-cbcd-54c5-98b4-0bdb2f1ff92d		f241d6a4-0bb3-583f-bc8d-9057432535eb
cell_line	SKNBE2C_cellLine	American Type Culture Collection	1835014b-21c3-5707-8c28-27d290315dde		2787d86e-3d13-5922-8b6d-a6643ed1c398
cell_line	LAN6_cellLine	Childhood Cancer Repository	193d8863-4b5d-5e66-9b5f-c94f3f40c683		ddecaef2-1205-5396-a1c8-a3d06282a0af
cell_line	IMR32_cellLine	IRCCS Ospedale Policlinico San Martino	1d3210a1-9891-5b60-a02b-27f5150d8c56		3b6fb909-0eda-5a06-bf9c-cc5b8feeefaa
cell_line	COGN415_cellLine	Childhood Cancer Repository	23911a5c-3d91-5d4b-b03a-1856e2b1af3f		41f37b92-84fe-54ea-83be-000b171df231
cell_line	RPE1_cellLine	American Type Culture Collection	248a8b04-dca4-542f-9b19-2d9a79c9e95e		908f1f2f-7288-5680-b078-331f993fd6c9
cell_line	NB69_cellLine	European Collection of Authenticated Cell Cultures	24a60325-9b80-560e-87f3-c3384bbd4d4f		462832c4-2da5-5250-a868-5654e7e85f3e
cell_line	CHP212_cellLine	Children's Hospital of Philadelphia	27a2d7be-30f5-5846-9f1f-fad979c515ed		785b1326-e4aa-5561-bd9f-253209d585d7
cell_line	NB1691_cellLine	Pediatric Preclinical Testing Program	2b2ff34e-e282-590e-a30e-72bd7cfe13d5		fe0a3634-4b19-5db3-9084-00082b321932
cell_line	SMSKAN_cellLine	Childhood Cancer Repository	30c12e36-45ba-585f-a0cb-8490cc646232		4c74464c-f74a-50e4-944a-f88c93deaa0b
cell_line	SKNSH_cellLine	American Type Culture Collection	36c9d0f6-bfde-59f0-9225-ac2a90021410		fa5a8dec-b474-5702-9d93-a70efef5389f
cell_line	CHP134_cellLine	Children's Hospital of Philadelphia	4884432d-c6fd-583e-a5e3-d62203faa144		86bf2e66-e52e-5109-a38f-942cb0e2cf2a
cell_line	NBSD_cellLine	Pediatric Preclinical Testing Program	495ffde9-d1db-5443-b98a-62e04318dc00		fcd0b04b-0744-5693-973c-832323feb480
