type	study_link_id	citation_or_DOI	de_identification_method_type	de_identification_method_type_concept_code	file.file_id	image_modality	image_modality_concept_code	imaging_equipment_manufacturer	license	organ_or_tissue	organ_or_tissue_concept_code	species
image	dg.4DFC/a9af51a0-8f4f-5f42-9e53-56356cffc338	https://doi.org/10.7937/ahqh-xc79	Semiautomatic	C172484	dg.4DFC/a9af51a0-8f4f-5f42-9e53-56356cffc338	RTDOSE	C190594	ADAC		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/aa08f983-55ae-5b79-8332-f6220e6cd935	https://doi.org/10.7937/ahqh-xc79	Semiautomatic	C172484	dg.4DFC/aa08f983-55ae-5b79-8332-f6220e6cd935	RTDOSE	C190594	Philips		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/aa134371-507a-59cf-bef4-0289f67c4d9f	https://doi.org/10.7937/ahqh-xc79	Semiautomatic	C172484	dg.4DFC/aa134371-507a-59cf-bef4-0289f67c4d9f	CT	C17204	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/aa1a0532-9341-5931-9a36-480ceca4a061	https://doi.org/10.7937/ahqh-xc79	Semiautomatic	C172484	dg.4DFC/aa1a0532-9341-5931-9a36-480ceca4a061	CT	C17204	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/aa63e468-ca6e-5bad-883c-96017b20bddc	https://doi.org/10.7937/ahqh-xc79	Semiautomatic	C172484	dg.4DFC/aa63e468-ca6e-5bad-883c-96017b20bddc	RTPLAN	C190595	PyMedPhys Pinnacle Export		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/aaa42039-2ec8-5593-ac14-73ef19f0e6ae	https://doi.org/10.7937/ahqh-xc79	Semiautomatic	C172484	dg.4DFC/aaa42039-2ec8-5593-ac14-73ef19f0e6ae	RTPLAN	C190595	Philips		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/aabdc1a2-b42b-5be4-9834-2b765c89b29c	https://doi.org/10.7937/ahqh-xc79	Semiautomatic	C172484	dg.4DFC/aabdc1a2-b42b-5be4-9834-2b765c89b29c	RTDOSE	C190594	Philips		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/abd49b83-fe55-5c8b-a4ae-d2024a308b8a	https://doi.org/10.7937/ahqh-xc79	Semiautomatic	C172484	dg.4DFC/abd49b83-fe55-5c8b-a4ae-d2024a308b8a	CT	C17204	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/ac3b32df-9acd-5411-8b34-5ffab88287fe	https://doi.org/10.7937/ahqh-xc79	Semiautomatic	C172484	dg.4DFC/ac3b32df-9acd-5411-8b34-5ffab88287fe	RTDOSE	C190594	PyMedPhys Pinnacle Export		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/ac56fafd-23cf-5d39-865a-096337b3030f	https://doi.org/10.7937/ahqh-xc79	Semiautomatic	C172484	dg.4DFC/ac56fafd-23cf-5d39-865a-096337b3030f	RTPLAN	C190595	ADAC		Head, face or neck, NOS		Homo sapiens
