type	study_link_id	citation_or_DOI	de_identification_method_type	de_identification_method_type_concept_code	file.file_id	image_modality	image_modality_concept_code	imaging_equipment_manufacturer	license	organ_or_tissue	organ_or_tissue_concept_code	species
image	dg.4DFC/0e56dae6-5bbb-5318-b326-31b902c58586	http://doi.org/10.7937/K9/TCIA.2016.5DI84Js8	Semiautomatic	C172484	dg.4DFC/0e56dae6-5bbb-5318-b326-31b902c58586	MR	C16809	Imaging Biometrics LLC		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/0ebe15d6-dcb3-5a74-9175-3b58a20be17e	http://doi.org/10.7937/K9/TCIA.2016.5DI84Js8	Semiautomatic	C172484	dg.4DFC/0ebe15d6-dcb3-5a74-9175-3b58a20be17e	MR	C16809	Imaging Biometrics LLC		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/0ebfb1df-4090-5335-8985-33ee83b5290b	http://doi.org/10.7937/K9/TCIA.2016.5DI84Js8	Semiautomatic	C172484	dg.4DFC/0ebfb1df-4090-5335-8985-33ee83b5290b	MR	C16809	Imaging Biometrics LLC		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/0f5fa0d8-7677-5817-8f26-25a1e7a0d898	http://doi.org/10.7937/K9/TCIA.2016.5DI84Js8	Semiautomatic	C172484	dg.4DFC/0f5fa0d8-7677-5817-8f26-25a1e7a0d898	MR	C16809	Imaging Biometrics LLC		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/10318a0a-64c6-5fa7-9c12-93327baa0118	http://doi.org/10.7937/K9/TCIA.2016.5DI84Js8	Semiautomatic	C172484	dg.4DFC/10318a0a-64c6-5fa7-9c12-93327baa0118	MR	C16809	Imaging Biometrics LLC		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/10531330-ddc4-5595-9d7a-4f1f76944f75	http://doi.org/10.7937/K9/TCIA.2016.5DI84Js8	Semiautomatic	C172484	dg.4DFC/10531330-ddc4-5595-9d7a-4f1f76944f75	MR	C16809	Imaging Biometrics LLC		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/10de973a-af13-5ae1-91b5-e90761c6bcac	http://doi.org/10.7937/K9/TCIA.2016.5DI84Js8	Semiautomatic	C172484	dg.4DFC/10de973a-af13-5ae1-91b5-e90761c6bcac	MR	C16809	Imaging Biometrics LLC		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/123c7a82-8514-5b03-8813-22ff6085711e	http://doi.org/10.7937/K9/TCIA.2016.5DI84Js8	Semiautomatic	C172484	dg.4DFC/123c7a82-8514-5b03-8813-22ff6085711e	MR	C16809	Imaging Biometrics LLC		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/126e1840-de76-50c2-9d8d-ee45c6127317	http://doi.org/10.7937/K9/TCIA.2016.5DI84Js8	Semiautomatic	C172484	dg.4DFC/126e1840-de76-50c2-9d8d-ee45c6127317	MR	C16809	SIEMENS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/12731959-7984-5c13-aedb-8ddd172086ed	http://doi.org/10.7937/K9/TCIA.2016.5DI84Js8	Semiautomatic	C172484	dg.4DFC/12731959-7984-5c13-aedb-8ddd172086ed	MR	C16809	Imaging Biometrics LLC		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/127b6503-6731-5fc6-9af1-07a4c9aba1f9	http://doi.org/10.7937/K9/TCIA.2016.5DI84Js8	Semiautomatic	C172484	dg.4DFC/127b6503-6731-5fc6-9af1-07a4c9aba1f9	MR	C16809	Imaging Biometrics LLC		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/12812726-4469-572a-ad92-4592323a807f	http://doi.org/10.7937/K9/TCIA.2016.5DI84Js8	Semiautomatic	C172484	dg.4DFC/12812726-4469-572a-ad92-4592323a807f	MR	C16809	Imaging Biometrics LLC		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/1284f3b2-592b-50f4-9173-638fec6a0fe4	http://doi.org/10.7937/K9/TCIA.2016.5DI84Js8	Semiautomatic	C172484	dg.4DFC/1284f3b2-592b-50f4-9173-638fec6a0fe4	MR	C16809	Imaging Biometrics LLC		Head, face or neck, NOS		Homo sapiens
