type	case.case_record_id	demographic_record_id	breed	patient_age_at_enrollment	date_of_birth	sex	neutered_indicator	weight
demographic	UBC02-699-989-2	UBC02-699-989-2	Beagle	9.5	5/12/1997	Female	Yes	8.7
demographic	UBC02-725-540-Sn	UBC02-725-540-Sn	Miniature Pinscher	11.7	1/12/1996	Female	Yes	4.8
demographic	UBC02-726-843-Ab	UBC02-726-843-Ab	Scottish Terrier	9.2	2/5/1996	Female	Yes	11.6
demographic	UBC02-727-745-Po	UBC02-727-745-Po	Mixed Breed	12.8	10/11/1992	Female	Yes	29.5
demographic	UBC02-728-463-Ch	UBC02-728-463-Ch	Beagle	7.9	10/5/1998	Male	Yes	21
demographic	UBC02-730-901-Za	UBC02-730-901-Za	German Shorthaired Pointer	11.5	12/10/1994	Male	No	39
demographic	UBC02-730-904-Ja	UBC02-730-904-Ja	Mixed Breed	14	6/1/1992	Female	Yes	24
demographic	UBC02-731-763-Mis	UBC02-731-763-Mis	Beagle	12.6	12/21/1993	Female	Yes	15.7
demographic	UBC02-731-958-57	UBC02-731-958-57	Mixed Breed	9	5/25/1998	Female	Yes	24
demographic	UBC02-732-317-Je	UBC02-732-317-Je	German Shorthaired Pointer	10.2	7/25/1996	Female	Yes	29
demographic	UBC02-733-364-Sp	UBC02-733-364-Sp	Scottish Terrier	9.7	5/15/1997	Male	No	11.2
demographic	UBC02-733-488-4	UBC02-733-488-4	Shih Tzu	12.7	4/28/1994	Female	Yes	8.4
demographic	UBC02-733-548-58	UBC02-733-548-58	Mixed Breed	8.9	2/23/1998	Male	Yes	16.3
demographic	UBC02-733-695-Da	UBC02-733-695-Da	Mixed Breed	12.2	12/1/1994	Female	Yes	15.4
demographic	UBC02-733-858-7	UBC02-733-858-7	Scottish Terrier	12.7	6/1/1994	Female	Yes	15
demographic	UBC02-734-148-Mi	UBC02-734-148-Mi	Scottish Terrier	9.6	8/18/1997	Female	No	11.8
demographic	UBC02-734-223-8	UBC02-734-223-8	Mixed Breed	13.1	3/9/1994	Female	Yes	17.7
demographic	UBC02-736-477-60	UBC02-736-477-60	Scottish Terrier	7.8	1/5/2000	Male	Yes	10
demographic	UBC02-737-562-59	UBC02-737-562-59	Chesapeake Bay Retriever	8.2	12/24/1999	Male	Yes	53
demographic	UBC02-756-165-20	UBC02-756-165-20	Beagle	11.9	10/1/2004	Male	Yes	13.3
demographic	UBC02-758-158-54	UBC02-758-158-54	Scottish Terrier	9.8	7/28/2006	Female	Yes	8.7
demographic	UBC02-765-478-68	UBC02-765-478-68	Norwegian Elkhound	12	1/22/2005	Male	Yes	22
demographic	UBC02-774-569-51	UBC02-774-569-51	Scottish Terrier	9.6	12/1/2005	Female	Yes	13.6
demographic	UBC02-774-615-70	UBC02-774-615-70	Scottish Terrier	12.9	1/1/2004	Female	Yes	9.2
demographic	UBC02-774-859-1	UBC02-774-859-1	Scottish Terrier	7.6	5/29/2007	Male	Yes	9.2
demographic	UBC02-775-801-2	UBC02-775-801-2	Scottish Terrier	11	1/1/2004	Female	Yes	11.1
demographic	UBC02-776-675-63	UBC02-776-675-63	Scottish Terrier	10.4	7/1/2006	Male	Yes	12.9
demographic	UBC02-776-679-3	UBC02-776-679-3	Scottish Terrier	8.8	5/11/2006	Female	Yes	11.3
demographic	UBC02-777-587-16	UBC02-777-587-16	Scottish Terrier	8.3	12/18/2006	Female	Yes	12.4
demographic	UBC02-777-592-80	UBC02-777-592-80	Border Collie	11.1	3/2/2004	Female	Yes	17.9
demographic	UBC02-779-032-18	UBC02-779-032-18	Scottish Terrier	9.2	5/17/2006	Female	Yes	11.5
demographic	UBC02-780-519-15	UBC02-780-519-15	Beagle	12.6	1/1/2004	Male	Yes	14.8
demographic	UBC02-782-492-5	UBC02-782-492-5	Scottish Terrier	9.7	4/25/2006	Female	No	11
demographic	UBC02-783-693-7	UBC02-783-693-7	Mixed Breed	12.1	3/1/2004	Female	Yes	8.6
demographic	UBC02-784-128-53	UBC02-784-128-53	Scottish Terrier	11.8	8/1/2004	Male	Yes	17.2
demographic	UBC02-784-135-19	UBC02-784-135-19	Mixed Breed	7.2	5/29/2009	Male	Yes	28
demographic	UBC02-784-373-9	UBC02-784-373-9	Wheaten Terrier	10.6	9/23/2005	Female	Yes	11.1
demographic	UBC02-785-313-10	UBC02-785-313-10	Beagle	10.9	8/10/2005	Male	Yes	17.7
demographic	UBC02-785-315-11	UBC02-785-315-11	Scottish Terrier	15	6/24/2001	Female	Yes	7.2
demographic	UBC02-785-590-12	UBC02-785-590-12	Shetland Sheepdog	13	7/11/2003	Female	Yes	8.6
demographic	UBC02-786-694-64	UBC02-786-694-64	Miniature Schnauzer	12.7	1/5/2004	Female	Yes	9.8
demographic	UBC02-786-695-61	UBC02-786-695-61	Welsh Springer Spaniel	12.4	4/6/2004	Female	Yes	20.9
demographic	UBC02-787-089-62	UBC02-787-089-62	Scottish Terrier	6.3	6/29/2010	Female	Yes	12.2
demographic	UBC02-787-915-73	UBC02-787-915-73	Labrador Retriever	10.3	8/1/2006	Male	Yes	31.8
demographic	UBC02-788-241-72	UBC02-788-241-72	Bluetick Hound	9.8	3/1/2007	Female	Yes	34.3
demographic	UBC02-788-334-71	UBC02-788-334-71	Mixed Breed	10.3	9/1/2006	Female	Yes	2.8
demographic	UBC02-788-700-66	UBC02-788-700-66	Mixed Breed	10.1	1/10/2007	Female	Yes	25.6
demographic	UBC02-788-991-76	UBC02-788-991-76	Shih Tzu	11.6	6/14/2005	Female	Yes	8.5
demographic	UBC02-789-025-75	UBC02-789-025-75	Airedale Terrier	10.5	8/25/2006	Male	Yes	23.6
demographic	UBC02-789-341-77	UBC02-789-341-77	Boxer	8.7	7/4/2008	Female	Yes	27.2
demographic	UBC02-789-913-78	UBC02-789-913-78	West Highland White Terrier	9.9	5/3/2007	Female	Yes	7.9
demographic	UBC02-795-409-2z	UBC02-795-409-2z	Scottish Terrier	10.6	7/19/2007	Female	Yes	12.6
demographic	UBC02-795-868-3z	UBC02-795-868-3z	Mixed Breed	10.5	9/6/2007	Female	Yes	32.5
demographic	UBC02-795-869-4z	UBC02-795-869-4z	West Highland White Terrier	11.4	10/31/2006	Female	Yes	9.2
demographic	UBC02-796-233-1z	UBC02-796-233-1z	Border Collie	7.1	3/1/2011	Female	Yes	18
demographic	UBC02-798-150-Hb	UBC02-798-150-Hb	Norfolk Terrier	7.4	7/4/2009	Female	Yes	6.6
demographic	UBC02-PCBCC-CDHMCL	UBC02-PCBCC-CDHMCL	Mixed Breed		3/15/2012	Female	No	18
demographic	UBC02-PCBCC-CDGMDD	UBC02-PCBCC-CDGMDD	Mixed Breed		3/1/2012	Female	No	18.7
demographic	UBC02-PCBCC-CDDMAH	UBC02-PCBCC-CDDMAH	Mixed Breed		2/10/2012	Female	No	19
demographic	UBC02-PCBCC-CDEMBC	UBC02-PCBCC-CDEMBC	Mixed Breed		1/30/2012	Female	No	18
