type	uuid	case.case_record_id	crdc_id	file_description	file_format	file_name	file_size	file_type	md5sum	sample.sample_id	study.clinical_study_designation
file	006ce84f-ade2-5181-8107-f842fc416c65	COTC022-1022	dg.4DFC/006ce84f-ade2-5181-8107-f842fc416c65	Nanostring	RCC	COTC022-1022-T.RCC	31450	NanoString nCounter Canine IO Analysis File	718b366f533e38ae150a4a10201898e8	COTC022-1022-T	COTC022
file	0102d4a5-1102-5017-95b4-f9cb1885ab8c	COTC022-1006	dg.4DFC/0102d4a5-1102-5017-95b4-f9cb1885ab8c	Nanostring	RCC	COTC022-1006-M-S-Kidney.RCC	31307	NanoString nCounter Canine IO Analysis File	18b156a2047af1f638293e26ba2d12b4	COTC022-1006-M-S-Kidney	COTC022
file	072acf38-1a2f-57e9-af2c-9566f7dfc7cf	COTC022-0904	dg.4DFC/072acf38-1a2f-57e9-af2c-9566f7dfc7cf	Nanostring	RCC	COTC022-0904-M-F-T6.RCC	31169	NanoString nCounter Canine IO Analysis File	acbb51d5aeb888e9511def197617811d	COTC022-0904-M-F-T6	COTC022
file	093d6d9e-6e02-5571-b52d-2dc751eedf37	COTC022-0802	dg.4DFC/093d6d9e-6e02-5571-b52d-2dc751eedf37	Nanostring	RCC	COTC022-0802-T-F-B.RCC	31290	NanoString nCounter Canine IO Analysis File	241bbd6c7c9c428a23e3495d9a333d00	COTC022-0802-T-F-B	COTC022
file	16c9519f-9fe8-5012-9a47-70003f9c488a	COTC022-0310	dg.4DFC/16c9519f-9fe8-5012-9a47-70003f9c488a	Nanostring	RCC	COTC022-0310-M-F-Rib.RCC	31645	NanoString nCounter Canine IO Analysis File	b24f452b8b08f9a04eacfe38fa7a0991	COTC022-0310-M-F-Rib	COTC022
file	16f3cdaf-0ead-597d-b8d0-3a085c8b23c3	COTC022-1006	dg.4DFC/16f3cdaf-0ead-597d-b8d0-3a085c8b23c3	Nanostring	RCC	COTC022-1006-T.RCC	31256	NanoString nCounter Canine IO Analysis File	bd411a9f2ef3e27a3016d8ea1e69913f	COTC022-1006-T	COTC022
file	1c034c46-839d-5a78-9579-e4a4f91adabe	COTC022-0318	dg.4DFC/1c034c46-839d-5a78-9579-e4a4f91adabe	Nanostring	RCC	COTC022-0318-M-F-Lung.RCC	30946	NanoString nCounter Canine IO Analysis File	fc1f0b75b52ec5964ebd2b57196039be	COTC022-0318-M-F-Lung	COTC022
file	26c63ab8-3d1c-5444-b696-a13e5e396f98	COTC022-1006	dg.4DFC/26c63ab8-3d1c-5444-b696-a13e5e396f98	Nanostring	RCC	COTC022-1006-M-F-Lung A.RCC	31628	NanoString nCounter Canine IO Analysis File	4281369d2c357ecd9b206393359f8cc7	COTC022-1006-M-F-Lung A	COTC022
file	33245f0a-6bad-53ae-ac08-fe6dca5f0ecb	COTC022-0312	dg.4DFC/33245f0a-6bad-53ae-ac08-fe6dca5f0ecb	Nanostring	RCC	COTC022-0312-M-F-Kidney.RCC	31361	NanoString nCounter Canine IO Analysis File	d3fa7e0471daad8e2e16c2f779115a91	COTC022-0312-M-F-Kidney	COTC022
file	33d5291b-b3da-5aab-92c0-36a269b7abfe	COTC022-1022	dg.4DFC/33d5291b-b3da-5aab-92c0-36a269b7abfe	Nanostring	RCC	COTC022-1022-M-F-Colon.RCC	31513	NanoString nCounter Canine IO Analysis File	04b3c0dd997cdfe674df533cc84e9d51	COTC022-1022-M-F-Colon	COTC022
file	34463134-e322-50ab-99b2-ace30a68715e	COTC022-0620	dg.4DFC/34463134-e322-50ab-99b2-ace30a68715e	Nanostring	RCC	COTC022-0620-T-F-B.RCC	31163	NanoString nCounter Canine IO Analysis File	8aed0c2ef54d9ce6f6c69013223dafb9	COTC022-0620-T-F-B	COTC022
file	34b97762-583a-53de-b0ec-c65b938d905a	COTC022-2006	dg.4DFC/34b97762-583a-53de-b0ec-c65b938d905a	Nanostring	RCC	COTC022-2006-M-F-Lung 2.RCC	31756	NanoString nCounter Canine IO Analysis File	0fd867ceac73262bdf6efd3c9f4fb496	COTC022-2006-M-F-Lung 2	COTC022
file	35ab5d20-b8a9-5ec0-a7c4-7630436463ee	COTC022-1012	dg.4DFC/35ab5d20-b8a9-5ec0-a7c4-7630436463ee	Nanostring	RCC	COTC022-1012-T-F-B.RCC	31397	NanoString nCounter Canine IO Analysis File	82b4e9f587abb6f1f312da8a9ecbd846	COTC022-1012-T-F-B	COTC022
file	399a1620-8250-5fbe-b6a0-c1a14bc4940c	COTC022-0304	dg.4DFC/399a1620-8250-5fbe-b6a0-c1a14bc4940c	Nanostring	RCC	COTC022-0304-T.RCC	31407	NanoString nCounter Canine IO Analysis File	1a33dc26f053118748489ee7313fe312	COTC022-0304-T	COTC022
file	39b6c314-1eca-5b99-8ee3-866f1f72e40f	COTC022-1022	dg.4DFC/39b6c314-1eca-5b99-8ee3-866f1f72e40f	Nanostring	RCC	COTC022-1022-M-F-Diaphragm.RCC	31517	NanoString nCounter Canine IO Analysis File	2f92ba267e8c4c06e328f28d3096b8e0	COTC022-1022-M-F-Diaphragm	COTC022
file	3a57045a-e1d2-5f88-b48f-e0db657c70de	COTC022-0802	dg.4DFC/3a57045a-e1d2-5f88-b48f-e0db657c70de	Nanostring	RCC	COTC022-0802-T.RCC	31620	NanoString nCounter Canine IO Analysis File	a12d53822b5cca1d1c8d31cfd5fc9270	COTC022-0802-T	COTC022
