type	digital_object_id	authorship	journal_citation	publication_title	pubmed_id	study.clinical_study_designation	year_of_publication
publication	10.1016/j.ajpath.2022.09.009	Patkar S, Beck J, Harmon S, Mazcko C, Turkbey B, Choyke P, Brown GT, LeBlanc A	Patkar S, Beck J, Harmon S, Mazcko C, Turkbey B, Choyke P, Brown GT, LeBlanc A. Deep Domain Adversarial Learning for Species-Agnostic Classification of Histologic Subtypes of Osteosarcoma. Am J Pathol. 2023 Jan;193(1):60-72. doi: 10.1016/j.ajpath.2022.09.009. Epub 2022 Oct 27. PMID: 36309101; PMCID: PMC9798510.	Deep Domain Adversarial Learning for Species-Agnostic Classification of Histologic Subtypes of Osteosarcoma	36309101	COTC022	2023
publication	10.1158/1078-0432.CCR-24-1854	Patkar S, Mannheimer J, Harmon SA, Ramirez CJ, Mazcko CN, Choyke PL, Brown GT, Turkbey B, LeBlanc AK, Beck JA.	Patkar S, Mannheimer J, Harmon SA, Ramirez CJ, Mazcko CN, Choyke PL, Brown GT, Turkbey B, LeBlanc AK, Beck JA. Large-Scale Comparative Analysis of Canine and Human Osteosarcomas Uncovers Conserved Clinically Relevant Tumor Microenvironment Subtypes. Clin Cancer Res. 2024 Dec 16;30(24):5630-5642. doi: 10.1158/1078-0432.CCR-24-1854. PMID: 39412757; PMCID: PMC11647208.	Large-Scale Comparative Analysis of Canine and Human Osteosarcomas Uncovers Conserved Clinically Relevant Tumor Microenvironment Subtypes	39412757	COTC022	2024
publication	10.1158/1078-0432.CCR-25-0687	Beck JA, Garg A, Church S, Mazcko C, LeBlanc AK.	Beck JA, Garg A, Church S, Mazcko C, LeBlanc AK. Spatial Transcriptomics Advances the Use of Canine Patients in Cancer Research: Analysis of Osteosarcoma-Bearing Pet Dogs Enrolled in a Clinical Trial. Clin Cancer Res. 2025 Jul 15;31(14):2957-2962. doi: 10.1158/1078-0432.CCR-25-0687. PMID: 40392977; PMCID: PMC12263314.	Spatial Transcriptomics Advances the Use of Canine Patients in Cancer Research: Analysis of Osteosarcoma-Bearing Pet Dogs Enrolled in a Clinical Trial	40392977	COTC022	2025
