sample_id	sample_type	sample_anatomic_site	type	participant.study_participant_id	sample_tumor_status
wm4208.WES_Skin	Skin	Skin	sample	phs002432_WM4208	Not specified in data
wm4208n.WES_peripheral blood - Blood Derived Cancer	Blood	Skin	sample	phs002432_WM4208	Not specified in data
wm4214.WES_Skin	Skin	Skin	sample	phs002432_WM4214	Not specified in data
wm4214n.WES_peripheral blood - Blood Derived Cancer	Blood	Skin	sample	phs002432_WM4214	Not specified in data
wm4224.WES_Skin	Skin	Skin	sample	phs002432_WM4224	Not specified in data
wm4224n.WES_peripheral blood - Blood Derived Cancer	Blood	Skin	sample	phs002432_WM4224	Not specified in data
WM4237-1_8871.RNA-Seq_Xenograft Tissue	Xenograft Tissue	Skin	sample	phs002432_WM4237	Not specified in data
WM4237-1_8872.RNA-Seq_Xenograft Tissue	Xenograft Tissue	Skin	sample	phs002432_WM4237	Not specified in data
WM4237-1_8873.RNA-Seq_Xenograft Tissue	Xenograft Tissue	Skin	sample	phs002432_WM4237	Not specified in data
wm4237-1.WES_Skin	Skin	Skin	sample	phs002432_WM4237	Not specified in data
WM4237-2_0301.RNA-Seq_Xenograft Tissue	Xenograft Tissue	Skin	sample	phs002432_WM4237	Not specified in data
WM4237-2_0302.RNA-Seq_Xenograft Tissue	Xenograft Tissue	Skin	sample	phs002432_WM4237	Not specified in data
WM4237-2_0304.RNA-Seq_Xenograft Tissue	Xenograft Tissue	Skin	sample	phs002432_WM4237	Not specified in data
wm4237-2.WES_Skin	Skin	Skin	sample	phs002432_WM4237	Not specified in data
wm4237-3.WES_Skin	Skin	Skin	sample	phs002432_WM4237	Not specified in data
wm4237-3MP.WES_Xenograft Tissue	Xenograft Tissue	Skin	sample	phs002432_WM4237	Not specified in data
WM4237-4_3872.RNA-Seq_Xenograft Tissue	Xenograft Tissue	Skin	sample	phs002432_WM4237	Not specified in data
WM4237-4_3873.RNA-Seq_Xenograft Tissue	Xenograft Tissue	Skin	sample	phs002432_WM4237	Not specified in data
WM4237-4_3874.RNA-Seq_Xenograft Tissue	Xenograft Tissue	Skin	sample	phs002432_WM4237	Not specified in data
wm4237-4.WES_Skin	Skin	Skin	sample	phs002432_WM4237	Not specified in data
wm4237n.WES_peripheral blood - Blood Derived Cancer	Blood	Skin	sample	phs002432_WM4237	Not specified in data
wm4239n.WES_peripheral blood - Blood Derived Cancer	Blood	Skin	sample	phs002432_WM4239	Not specified in data
wm4239PLX.WES_Xenograft Tissue	Xenograft Tissue	Skin	sample	phs002432_WM4239	Not specified in data
wm4254.WES_Skin	Skin	Skin	sample	phs002432_WM4254	Not specified in data
wm4254n.WES_peripheral blood - Blood Derived Cancer	Blood	Skin	sample	phs002432_WM4254	Not specified in data
WM4262_8537.RNA-Seq_Xenograft Tissue	Xenograft Tissue	Skin	sample	phs002432_WM4262	Not specified in data
WM4262_8538.RNA-Seq_Xenograft Tissue	Xenograft Tissue	Skin	sample	phs002432_WM4262	Not specified in data
WM4262_CPLX__8592.RNA-Seq_Xenograft Tissue	Xenograft Tissue	Skin	sample	phs002432_WM4262	Not specified in data
WM4262_CPLX__8593.RNA-Seq_Xenograft Tissue	Xenograft Tissue	Skin	sample	phs002432_WM4262	Not specified in data
WM4262_CPLX__8594.RNA-Seq_Xenograft Tissue	Xenograft Tissue	Skin	sample	phs002432_WM4262	Not specified in data
wm4273.WES_Skin	Skin	Skin	sample	phs002432_WM4273	Not specified in data
wm4273n.WES_peripheral blood - Blood Derived Cancer	Blood	Skin	sample	phs002432_WM4273	Not specified in data
WM4276-2_2602.RNA-Seq_Xenograft Tissue	Xenograft Tissue	Skin	sample	phs002432_WM4276	Not specified in data
WM4276-2_2603.RNA-Seq_Xenograft Tissue	Xenograft Tissue	Skin	sample	phs002432_WM4276	Not specified in data
