id	participant.id	sample.id	repository_of_synonym_id	synonym_id	type
005bd2ee-8fb2-572a-a236-898825aafe99	8dbd0c45-ecf3-5f52-bdbd-ab470cb7211e		dbGaP	2969326	synonym
0090c9b4-7dfd-5811-af24-27740981a2a8	f916d6dd-b797-58b5-81f5-a8ce3a20f549		dbGaP	811710	synonym
011b13c5-db9d-5538-ab79-541d28051db0	6770dd78-f459-5621-a9e8-80694873a7c2		dbGaP	2172282	synonym
01bb1b3d-008b-5ebe-ac76-c541bc27f5d2		3a083803-11d6-5381-af74-3276b17ea416	BioSample	SAMN07525319	synonym
01ff7f04-eee0-5901-b69c-59e0718276b0		138a8960-2755-59eb-b8e6-f309cbd3340f	BioSample	SAMN07525262	synonym
02d07ebb-2e6c-5b8a-8abf-551064c1eeb8		13813e1c-57d7-52d2-9a7e-e1c33092700a	BioSample	SAMN07525329	synonym
02f94c7b-4536-561e-82cf-6615369b6276		2415d17d-361c-5a6e-b494-e85c763f5d02	BioSample	SAMN11834686	synonym
07aa6790-2039-5745-bd67-ba0aab177207	f04a0843-9c6e-5061-ad00-64a070c3d0e3		dbGaP	2172272	synonym
07b298e7-162e-55f8-a7e0-18f3fd56a819	77101da4-275f-523d-9e8f-53189be45586		dbGaP	811730	synonym
08b5a821-65d2-5988-95fc-06ade0d74ec7	b61a0213-c5d4-568f-85c7-ab5f74c3a5e6		dbGaP	2969323	synonym
09a1c947-59ae-5db2-b350-6f840e9922ad		7f241eef-e04b-5df6-9ac7-3b0431182d65	BioSample	SAMN07525281	synonym
09dbb42e-f53f-5f7b-a36e-d7ce53a8894f		972850ec-2795-52eb-a389-f1f78ef794ab	BioSample	SAMN07525107	synonym
0b2be4ec-78d0-5cff-861f-5bac4ecc1f40	115d650d-77ee-5426-a07c-22daf1381f59		dbGaP	2172275	synonym
0b7b0925-595f-5249-bd6a-d26adae805bb		6a033104-7919-5559-b0c0-f332320f8d73	BioSample	SAMN07525132	synonym
0c09e4ab-8c54-5282-ae3f-ee6e129e33bb	7b8021a1-fa38-5c53-8b35-1b84f9cb76b6		dbGaP	2969306	synonym
0c454ac9-2efd-576e-a5c3-72748b3dc7e5	6a37b6f6-6f15-5980-963f-91a6e8f9ff2b		dbGaP	2172164	synonym
0c53ac9e-a2ee-52ff-8d07-7809761dfdd0	1032976f-9e36-5bd5-889b-d0a2372eceb8		dbGaP	2172251	synonym
0c83f6d4-dad3-5ed0-8f18-7d62278e9903	f0d6c1b3-fcca-5134-a2df-140ef97bd903		dbGaP	2172179	synonym
0cb562aa-5d76-533a-adce-9a157e719fe4	59af30d7-fefe-546c-8ce6-67d68734b038		dbGaP	2172170	synonym
0cb571ba-90a4-55b1-89b4-f5927fc32934	27258f7f-4b51-56a0-8480-d7458833e61c		dbGaP	811816	synonym
0d40f15e-62d1-5188-9b5b-b17308865f93	d6dd2ab2-ac2e-5126-ac87-55e944ae709e		dbGaP	2172239	synonym
0e9002b7-b2c5-533a-bf5d-d2cd58aeada5		b0382237-bf51-5d60-9694-5f3c0408f39b	BioSample	SAMN07525192	synonym
0f4efbde-3a55-5618-8bbe-96de4832e2ad	469f5574-8878-5b00-ad51-4a6156954dc4		dbGaP	3024131	synonym
12859555-30c8-5e36-b45c-e4da83f4ef4c		373d8f2b-6c91-54b0-a65d-e10c2289039f	BioSample	SAMN07525128	synonym
12d8faa9-c807-5b93-b044-f6ade537703d		5597d35c-6b46-5ee5-9124-b4adf9a18a6f	BioSample	SAMN07525336	synonym
133ce536-3acd-5b86-9c49-ecc7073e64e8	04967dfc-5f94-50ff-afe9-b219c8979e1c		dbGaP	2969320	synonym
13929c04-06cc-5d22-8c49-e6ff80a4790f	884ceebf-e74b-53ee-a4bf-168a00eeceea		dbGaP	2172216	synonym
13b7e9e1-d19e-50ac-a3ff-6eeca3a35ff5		bfcd601c-f6d0-507f-85f6-514ff82c02e9	BioSample	SAMN11834724	synonym
143f1400-4f8c-5f34-bd9d-308741a9ff74		d6bb8bda-7dba-52e6-8edd-9d0836b72f45	BioSample	SAMN07525201	synonym
14e0f1ad-764e-5fcf-a5ab-0da700dc1984	69fcecd5-707b-55b6-98c5-87b8de67ffd8		dbGaP	2172324	synonym
154b3ad5-3a38-52f3-a9e3-d6283d6a68ff	3592a0a7-6463-5f44-984d-144ca712ad05		dbGaP	2172318	synonym
1578e1f5-67d5-571c-9b08-c24d2192555b		7c9290e2-d819-592c-a3f5-94bce304f86a	BioSample	SAMN07525144	synonym
158dfd22-f0da-57ee-9dc1-4ee4224751a4	d4aa16c9-f96c-5020-abe1-f8efeae230c9		dbGaP	2172255	synonym
15b94ff1-7c4e-5bf2-a0e4-07e0e1b776c0	4d469c77-c233-5ea9-8b4b-625a4c81fa85		dbGaP	2172261	synonym
15f8dc7c-5d31-5b75-b974-2d9ddbf9bfe9	ab65f812-f55d-5ca5-b840-105fb04ef68a		dbGaP	2172184	synonym
16064a40-0ebc-57f3-a2b4-eee46ecb7fe4		2401d96b-e315-50c3-a3eb-0ac9d1d6ae3b	BioSample	SAMN11834732	synonym
16522fb5-c713-5279-9a1a-baafb79d0454	a4e73634-c110-548f-95e1-7c8e906ea6d5		dbGaP	2172328	synonym
16c459bf-38ff-58d4-b2b0-1207d1338857		bb3e7c23-8161-5246-aa2c-06ed27e1581d	BioSample	SAMN07525313	synonym
16d3ff97-86eb-56ef-b6e8-c45cf7dc399e	101675b1-ce9b-5b17-a15b-7deb92d49231		dbGaP	2969317	synonym
16dcc3c6-681f-5900-b4ca-f0b75581ee44		c3de1195-72ea-57c9-90ec-37b6723ec53e	BioSample	SAMN07525177	synonym
17507453-4bd2-593d-b52b-6e7920744c04	4769ad89-a490-5fac-bfd0-b4854e7332d4		dbGaP	2969305	synonym
180c458a-bcd7-5ee9-8da6-e1669a145f6e		76b8f47b-f04a-52cc-9da5-eb1dc2b10477	BioSample	SAMN07525275	synonym
186edd81-d15e-52f7-acef-4ba98d6d22a6		61d3143f-8600-5b86-b96f-98f3c4588dc8	BioSample	SAMN11834719	synonym
1ab13920-aa4d-579f-bf77-b80601c33646		41f846b7-952e-5d62-819b-46b135538677	BioSample	SAMN07525295	synonym
1b101508-0397-5d8e-9a27-2a3a046115b4	f0e15393-87fe-5e46-9deb-db66d882560c		dbGaP	2172320	synonym
1b9f639b-bfa0-562e-b03b-8c0692b68805		17a76d95-8610-5587-8e69-c94eb20624b2	BioSample	SAMN11834730	synonym
1bf2e21f-e597-5eb0-b00d-b15e1113065d	daa56665-9618-59b1-8f87-8d78163d2c6a		dbGaP	2172398	synonym
1c1cfea2-96ba-5c9d-b3a8-69f30cbd358b		6e5f77b3-d086-54a2-926f-c6605fb98bc8	BioSample	SAMN11834729	synonym
1c9025b9-31ed-553e-beed-df3865378bc9		82e80d27-de64-5c1b-9f07-6ec748ee193a	BioSample	SAMN07525328	synonym
1ce036c0-a192-5d1a-aa73-932460a14f60	16016de1-a405-5d78-a37a-45e3a31be55d		dbGaP	2172238	synonym
1d02e2f4-40a3-544a-8a98-b3bac36f3cf5	37e803ec-79f0-556d-82a4-503a199ffc6c		dbGaP	811822	synonym
1d60c327-81d8-5bc5-80f6-52408a2bc37e		f61896c6-0a3c-57b6-ad14-3b93856a9220	BioSample	SAMN07525334	synonym
1d61c806-67aa-558c-b6e5-ad71e30ac74e	943d2dcf-5f64-5818-9ed5-f1242c7747f1		dbGaP	2172254	synonym
1ddb6762-ed88-5d81-939b-78570fc21973		43ea9000-7cae-5158-b888-59fea75764f0	BioSample	SAMN11834734	synonym
1eba2168-7f13-51f8-b911-913a29e90846	fdfa653c-e331-5953-9ffa-3b1278f5daee		dbGaP	811721	synonym
218e00fe-f521-51dc-bff1-ccac724843fb		17674b96-ed54-59fc-9c2e-4c596154eb92	BioSample	SAMN07525203	synonym
223c2636-1a6f-55c1-9b4a-a9038cbf95ef	3665b3b8-def5-57e6-a9fe-dc7b3e579d8e		dbGaP	2969330	synonym
22a5121c-f731-5a99-abee-19ce7c972168		c6dc37d2-8517-52f8-be2d-be60b513ba3c	BioSample	SAMN07525296	synonym
22ab107d-73df-566e-9102-7b248f17b658		3b4d6ec0-49ac-5623-9501-80dd5e2653de	BioSample	SAMN07525282	synonym
22db4bdb-2817-5c58-9993-ca71a28eb73b		34874466-cc27-52fd-ba7e-473675f8afa1	BioSample	SAMN07525288	synonym
231c3b24-1866-5d7e-aafe-52f58ee522ec		ecf3db8c-2634-5bc4-baba-cdf0694d5a73	BioSample	SAMN11834689	synonym
24733c3a-cf06-5bf8-9780-0eac3b23890c	3b305b3f-d28d-5404-9e25-047bc2f30e30		dbGaP	811820	synonym
25731c91-3865-5eac-80e1-cfb3bcdd7b5b		f6dffe77-0512-599f-a139-06f7396bf898	BioSample	SAMN07525189	synonym
2597adb1-0f7d-5bdd-b456-f3bc2fc523e0		70f3bbd2-5416-5e83-98cf-cf9a29a41c60	BioSample	SAMN07525162	synonym
267c392f-ee77-5550-941b-a63da434cc3f	765f2427-743b-5f7d-b48b-68513e0c7f73		dbGaP	2969328	synonym
27b3d0c9-a6b0-5603-9e73-5f73d07a4cb9		ec0b89fc-3ed3-5970-b88c-88a82aac4de6	BioSample	SAMN11834711	synonym
2810d42f-2e2e-5ba8-b638-10788e1204d5	a1b85cbe-21f4-557c-bd8f-396ff51aa3ec		dbGaP	2969324	synonym
28cdc580-c688-53f5-996b-29edd86bc17a	d2c88b39-6b3f-5685-93a7-fdcfb209db52		dbGaP	811720	synonym
291a5a9c-32e5-5fa5-9fe5-41ded7660a97		588fa157-e3a2-5f08-aabd-ef48146a1d17	BioSample	SAMN07525172	synonym
294cadb0-4b32-544d-931f-c6eb73185fa4	e8bc2038-5270-5a55-8a50-88b26159ce6d		dbGaP	2969327	synonym
29781d02-159e-5d16-9c8b-c9cdd7703fb8		dc84994e-dbee-5447-b53f-494caf0f5a1e	BioSample	SAMN11834710	synonym
297de642-0abe-5702-968d-7f49d6224c94		de33d64f-8449-5079-9076-e21ca48d93e7	BioSample	SAMN07525327	synonym
29d56a5f-7f8d-53fb-b806-1f8fe09c542c	040bcd46-2e93-5d63-af78-e641b5fd46bc		dbGaP	2172323	synonym
2abd17c6-4e9b-5099-91b7-92f9f7b678a6		9c4e9672-4940-5d4e-ac26-a0ec4f99b0ae	BioSample	SAMN07525118	synonym
2af32f1e-792e-54f9-b546-e2b7bd7a53c2	49524f02-e697-52d7-acfa-3c469af9570f		dbGaP	811724	synonym
