type	study.clinical_study_designation	  publication_title	authorship	year_of_publication	journal_citation	digital_object_id	pubmed_id	demographic_id
publication	MGT01	Molecular homology and difference between spontaneous canine mammary cancer and human breast cancer	Deli Liu et al	2014	Cancer Research. 74:18:5045–5056	10.1158/0008-5472.CAN-14-0392	25082814	MGT01-406434
publication	MGT01	Canine tumor mutational burden is correlated with TP53 mutation across tumor types and breeds	Burair Alsaihati et al	2021	Nature Communications. 12:1:4670	10.1038/s41467-021-24836-9	34344882	MGT01-341400
