type	study_link_id	citation_or_DOI	de_identification_method_type	de_identification_method_type_concept_code	file.file_id	image_modality	image_modality_concept_code	imaging_equipment_manufacturer	license	organ_or_tissue	organ_or_tissue_concept_code	species
image	dg.4DFC/025df73b-ce52-5375-9e63-23532638ddc4	https://doi.org/10.7937/K9/TCIA.2018.3RJE41Q1	Semiautomatic	C172484	dg.4DFC/025df73b-ce52-5375-9e63-23532638ddc4	MR	C16809	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/026e5ed6-16a3-5f79-a21e-40b3d097b3a1	https://doi.org/10.7937/K9/TCIA.2018.3RJE41Q1	Semiautomatic	C172484	dg.4DFC/026e5ed6-16a3-5f79-a21e-40b3d097b3a1	MR	C16809	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/0276baef-4407-5cff-91ce-115f4de174ef	https://doi.org/10.7937/K9/TCIA.2018.3RJE41Q1	Semiautomatic	C172484	dg.4DFC/0276baef-4407-5cff-91ce-115f4de174ef	MR	C16809	SIGNA EXCITE		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/02894939-1952-50d2-b80c-6f98907aae95	https://doi.org/10.7937/K9/TCIA.2018.3RJE41Q1	Semiautomatic	C172484	dg.4DFC/02894939-1952-50d2-b80c-6f98907aae95	MR	C16809	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/0290c2a7-bbe2-5ad5-8aa2-3ba80b8cc417	https://doi.org/10.7937/K9/TCIA.2018.3RJE41Q1	Semiautomatic	C172484	dg.4DFC/0290c2a7-bbe2-5ad5-8aa2-3ba80b8cc417	MR	C16809	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/02d283a4-c869-53c5-8c9a-b108057f20e7	https://doi.org/10.7937/K9/TCIA.2018.3RJE41Q1	Semiautomatic	C172484	dg.4DFC/02d283a4-c869-53c5-8c9a-b108057f20e7	MR	C16809	Philips Medical Systems		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/02e68764-e9a4-562d-9865-72b889efa719	https://doi.org/10.7937/K9/TCIA.2018.3RJE41Q1	Semiautomatic	C172484	dg.4DFC/02e68764-e9a4-562d-9865-72b889efa719	MR	C16809	Philips Medical Systems		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/02f598db-be67-5f5a-bfc9-ec3635504bb5	https://doi.org/10.7937/K9/TCIA.2018.3RJE41Q1	Semiautomatic	C172484	dg.4DFC/02f598db-be67-5f5a-bfc9-ec3635504bb5	MR	C16809	Philips Medical Systems		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/032b30cb-e751-547c-bc9d-26def0dd4020	https://doi.org/10.7937/K9/TCIA.2018.3RJE41Q1	Semiautomatic	C172484	dg.4DFC/032b30cb-e751-547c-bc9d-26def0dd4020	CT	C17204	LightSpeed VCT		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/038a258e-825a-5a8e-8055-eb566ad664ea	https://doi.org/10.7937/K9/TCIA.2018.3RJE41Q1	Semiautomatic	C172484	dg.4DFC/038a258e-825a-5a8e-8055-eb566ad664ea	MR	C16809	Philips Medical Systems		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/039e2ae6-aba3-5acc-8171-5dddb73b927a	https://doi.org/10.7937/K9/TCIA.2018.3RJE41Q1	Semiautomatic	C172484	dg.4DFC/039e2ae6-aba3-5acc-8171-5dddb73b927a	MR	C16809	Philips Medical Systems		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/03a871b9-a601-5388-a4e2-8b5bf08f556d	https://doi.org/10.7937/K9/TCIA.2018.3RJE41Q1	Semiautomatic	C172484	dg.4DFC/03a871b9-a601-5388-a4e2-8b5bf08f556d	MR	C16809	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/03afd599-8800-5b9d-a804-3363eb1829a3	https://doi.org/10.7937/K9/TCIA.2018.3RJE41Q1	Semiautomatic	C172484	dg.4DFC/03afd599-8800-5b9d-a804-3363eb1829a3	MR	C16809	Philips Medical Systems		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/03b14eac-9e9a-5324-9924-1dffd4d9b2cb	https://doi.org/10.7937/K9/TCIA.2018.3RJE41Q1	Semiautomatic	C172484	dg.4DFC/03b14eac-9e9a-5324-9924-1dffd4d9b2cb	MR	C16809	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/040c81c4-018c-57d5-99b9-45f6599e4fc5	https://doi.org/10.7937/K9/TCIA.2018.3RJE41Q1	Semiautomatic	C172484	dg.4DFC/040c81c4-018c-57d5-99b9-45f6599e4fc5	MR	C16809	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/047a8d7b-e4b8-5e3f-b94e-22ca53abb08e	https://doi.org/10.7937/K9/TCIA.2018.3RJE41Q1	Semiautomatic	C172484	dg.4DFC/047a8d7b-e4b8-5e3f-b94e-22ca53abb08e	MR	C16809	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/048453cd-96b5-5e82-8676-e8c583c99d75	https://doi.org/10.7937/K9/TCIA.2018.3RJE41Q1	Semiautomatic	C172484	dg.4DFC/048453cd-96b5-5e82-8676-e8c583c99d75	MR	C16809	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/053bec2e-0afe-585e-ad72-797b0ba6d8a7	https://doi.org/10.7937/K9/TCIA.2018.3RJE41Q1	Semiautomatic	C172484	dg.4DFC/053bec2e-0afe-585e-ad72-797b0ba6d8a7	MR	C16809	Philips Medical Systems		Head, face or neck, NOS		Homo sapiens
