id	sample.id	dcf_indexd_guid	file_description	file_mapping_level	file_name	file_size	file_type	file_url_in_cds	md5sum	methylation_array_file_id	methylation_platform	reporter_label	type	study
phs002504::9482801024_R01C01_Grn.idat	phs002504::9482801024_R01C01	dg.4DFC/56d841ee-9d04-4ee0-bd1e-5333a8ef3d89			9482801024_R01C01_Grn.idat	8095251	idat	s3://cds-256-phs002504-sequencefiles-p30-fy20/9482801024_R01C01_Grn.idat	d08ec59cdf4203077469b09ed760fe97	9482801024_R01C01_Grn.idat	Illumina 450k	Cy5 and Cy3	methylation_array_file	phs002504
phs002504::9482801024_R01C01_Red.idat	phs002504::9482801024_R01C01	dg.4DFC/f5500794-39bf-4cad-a876-a1ef1a582a5b			9482801024_R01C01_Red.idat	8095251	idat	s3://cds-256-phs002504-sequencefiles-p30-fy20/9482801024_R01C01_Red.idat	3552896dcbda7d3f4f51aedb0e4b343b	9482801024_R01C01_Red.idat	Illumina 450k	Cy5 and Cy3	methylation_array_file	phs002504
phs002504::9482801024_R01C02_Grn.idat	phs002504::9482801024_R01C02	dg.4DFC/c5995cc4-ace7-4c54-8aa3-efe9427de7fe			9482801024_R01C02_Grn.idat	8095252	idat	s3://cds-256-phs002504-sequencefiles-p30-fy20/9482801024_R01C02_Grn.idat	c417dc40292ab1014dfe9f344f73424a	9482801024_R01C02_Grn.idat	Illumina 450k	Cy5 and Cy3	methylation_array_file	phs002504
phs002504::9482801024_R01C02_Red.idat	phs002504::9482801024_R01C02	dg.4DFC/542c9cb3-377c-4c05-9b48-8c826081a4af			9482801024_R01C02_Red.idat	8095252	idat	s3://cds-256-phs002504-sequencefiles-p30-fy20/9482801024_R01C02_Red.idat	737f7814ac8aaddfecf148c2a69f0e91	9482801024_R01C02_Red.idat	Illumina 450k	Cy5 and Cy3	methylation_array_file	phs002504
phs002504::9482801024_R02C01_Grn.idat	phs002504::9482801024_R02C01	dg.4DFC/cca19404-3f62-4055-8da1-28da68b8aa02			9482801024_R02C01_Grn.idat	8095252	idat	s3://cds-256-phs002504-sequencefiles-p30-fy20/9482801024_R02C01_Grn.idat	049785dd6c30a8cdb3b4b8638d97e59f	9482801024_R02C01_Grn.idat	Illumina 450k	Cy5 and Cy3	methylation_array_file	phs002504
phs002504::9482801024_R02C01_Red.idat	phs002504::9482801024_R02C01	dg.4DFC/b4436335-b50f-4e62-87ba-5776b48b6364			9482801024_R02C01_Red.idat	8095252	idat	s3://cds-256-phs002504-sequencefiles-p30-fy20/9482801024_R02C01_Red.idat	9b57cb78e34cb6571083a9a4d37ce3a3	9482801024_R02C01_Red.idat	Illumina 450k	Cy5 and Cy3	methylation_array_file	phs002504
phs002504::9482801024_R02C02_Grn.idat	phs002504::9482801024_R02C02	dg.4DFC/bad17425-b0f3-4b18-81a9-2acd4b36b4b8			9482801024_R02C02_Grn.idat	8095252	idat	s3://cds-256-phs002504-sequencefiles-p30-fy20/9482801024_R02C02_Grn.idat	e6bdfc972b8fe73a799e8bbf2f2149d1	9482801024_R02C02_Grn.idat	Illumina 450k	Cy5 and Cy3	methylation_array_file	phs002504
phs002504::9482801024_R02C02_Red.idat	phs002504::9482801024_R02C02	dg.4DFC/f17311b8-7e1e-4483-b280-5c8e9e032d5b			9482801024_R02C02_Red.idat	8095252	idat	s3://cds-256-phs002504-sequencefiles-p30-fy20/9482801024_R02C02_Red.idat	0442a03c878fb42ef3107968b6822f12	9482801024_R02C02_Red.idat	Illumina 450k	Cy5 and Cy3	methylation_array_file	phs002504
phs002504::9482801024_R03C01_Grn.idat	phs002504::9482801024_R03C01	dg.4DFC/5322e55d-d2d4-41bc-af0c-44fead16cf68			9482801024_R03C01_Grn.idat	8095252	idat	s3://cds-256-phs002504-sequencefiles-p30-fy20/9482801024_R03C01_Grn.idat	497405e70c799fc4642cdaee30e42d29	9482801024_R03C01_Grn.idat	Illumina 450k	Cy5 and Cy3	methylation_array_file	phs002504
phs002504::9482801024_R03C01_Red.idat	phs002504::9482801024_R03C01	dg.4DFC/19fe2a85-ceef-4028-91ac-127dca43d375			9482801024_R03C01_Red.idat	8095252	idat	s3://cds-256-phs002504-sequencefiles-p30-fy20/9482801024_R03C01_Red.idat	03ce0d29432c275d2830eaead6727cbb	9482801024_R03C01_Red.idat	Illumina 450k	Cy5 and Cy3	methylation_array_file	phs002504
