library_id	reference_genome_assembly	library_strategy	library_layout	library_source	platform	type	genomic_info_id	file.file_id	library_selection	instrument_model
TWFU-CPT0001260013-XBa1_1	GRCh38	ATAC-seq	Paired-End	Genomic Single Cell	Illumina	genomic_info	dg.4DFC/f43b9a34-1c04-11ee-93bb-1b87c199a9d0_TWFU-CPT0001260013-XBa1_1	dg.4DFC/f43b9a34-1c04-11ee-93bb-1b87c199a9d0	Not specified in data	Not specified in data
TWFU-CPT0001260013-XBa1_1	GRCh38	ATAC-seq	Paired-End	Genomic Single Cell	Illumina	genomic_info	dg.4DFC/f43bc112-1c04-11ee-9820-e3941ed8e514_TWFU-CPT0001260013-XBa1_1	dg.4DFC/f43bc112-1c04-11ee-9820-e3941ed8e514	Not specified in data	Not specified in data
TWFU-CPT0001260013-XBa1_1	GRCh38	ATAC-seq	Paired-End	Genomic Single Cell	Illumina	genomic_info	dg.4DFC/f43be728-1c04-11ee-845a-a71dc75230dd_TWFU-CPT0001260013-XBa1_1	dg.4DFC/f43be728-1c04-11ee-845a-a71dc75230dd	Not specified in data	Not specified in data
TWFU-CPT0001260013-XBa1_1	GRCh38	ATAC-seq	Paired-End	Genomic Single Cell	Illumina	genomic_info	dg.4DFC/f43c0d48-1c04-11ee-9398-57910d47d168_TWFU-CPT0001260013-XBa1_1	dg.4DFC/f43c0d48-1c04-11ee-9398-57910d47d168	Not specified in data	Not specified in data
TWCE-CPT0014450005-Y1_2N1Ba1_1	GRCh38	ATAC-seq	Paired-End	Genomic Single Cell	Illumina	genomic_info	dg.4DFC/f43c3336-1c04-11ee-abd8-f726905276e9_TWCE-CPT0014450005-Y1_2N1Ba1_1	dg.4DFC/f43c3336-1c04-11ee-abd8-f726905276e9	Not specified in data	Not specified in data
TWCE-CPT0014450005-Y1_2N1Ba1_1	GRCh38	ATAC-seq	Paired-End	Genomic Single Cell	Illumina	genomic_info	dg.4DFC/f43c59f6-1c04-11ee-b5c0-d739eca8bbcb_TWCE-CPT0014450005-Y1_2N1Ba1_1	dg.4DFC/f43c59f6-1c04-11ee-b5c0-d739eca8bbcb	Not specified in data	Not specified in data
TWCE-CPT0014450005-Y1_2N1Ba1_1	GRCh38	ATAC-seq	Paired-End	Genomic Single Cell	Illumina	genomic_info	dg.4DFC/f43c7fc6-1c04-11ee-9857-1b7e5d1d9069_TWCE-CPT0014450005-Y1_2N1Ba1_1	dg.4DFC/f43c7fc6-1c04-11ee-9857-1b7e5d1d9069	Not specified in data	Not specified in data
TWCE-CPT0075720013-Y1N1Ba1_1	GRCh38	ATAC-seq	Paired-End	Genomic Single Cell	Illumina	genomic_info	dg.4DFC/f43ca67c-1c04-11ee-bdb6-2339f11ebbdb_TWCE-CPT0075720013-Y1N1Ba1_1	dg.4DFC/f43ca67c-1c04-11ee-bdb6-2339f11ebbdb	Not specified in data	Not specified in data
TWCE-CPT0075720013-Y1N1Ba1_1	GRCh38	ATAC-seq	Paired-End	Genomic Single Cell	Illumina	genomic_info	dg.4DFC/f43ccc10-1c04-11ee-a0f6-b31191656390_TWCE-CPT0075720013-Y1N1Ba1_1	dg.4DFC/f43ccc10-1c04-11ee-a0f6-b31191656390	Not specified in data	Not specified in data
TWCE-CPT0075720013-Y1N1Ba1_1	GRCh38	ATAC-seq	Paired-End	Genomic Single Cell	Illumina	genomic_info	dg.4DFC/f43cf352-1c04-11ee-9cd4-0b39115d1dab_TWCE-CPT0075720013-Y1N1Ba1_1	dg.4DFC/f43cf352-1c04-11ee-9cd4-0b39115d1dab	Not specified in data	Not specified in data
TWFU-CPT0000870003N1-ATAC	GRCh38	ATAC-seq	Paired-End	Genomic Single Cell	Illumina	genomic_info	dg.4DFC/f43d19e0-1c04-11ee-b74e-eb84a1583daf_TWFU-CPT0000870003N1-ATAC	dg.4DFC/f43d19e0-1c04-11ee-b74e-eb84a1583daf	Not specified in data	Not specified in data
TWFU-CPT0000870003N1-ATAC	GRCh38	ATAC-seq	Paired-End	Genomic Single Cell	Illumina	genomic_info	dg.4DFC/f43d3fc4-1c04-11ee-8e3f-f73eaf502c02_TWFU-CPT0000870003N1-ATAC	dg.4DFC/f43d3fc4-1c04-11ee-8e3f-f73eaf502c02	Not specified in data	Not specified in data
TWFU-CPT0000870003N1-ATAC	GRCh38	ATAC-seq	Paired-End	Genomic Single Cell	Illumina	genomic_info	dg.4DFC/f43d659e-1c04-11ee-9a11-e3802c1e4b68_TWFU-CPT0000870003N1-ATAC	dg.4DFC/f43d659e-1c04-11ee-9a11-e3802c1e4b68	Not specified in data	Not specified in data
TWFU-CPT0000870003N1-ATAC	GRCh38	ATAC-seq	Paired-End	Genomic Single Cell	Illumina	genomic_info	dg.4DFC/f43d8eb6-1c04-11ee-adc6-574d055484fe_TWFU-CPT0000870003N1-ATAC	dg.4DFC/f43d8eb6-1c04-11ee-adc6-574d055484fe	Not specified in data	Not specified in data
TWFU-CPT0000890002-XBa1	GRCh38	ATAC-seq	Paired-End	Genomic Single Cell	Illumina	genomic_info	dg.4DFC/f43db422-1c04-11ee-af28-1f8b8423f1d9_TWFU-CPT0000890002-XBa1	dg.4DFC/f43db422-1c04-11ee-af28-1f8b8423f1d9	Not specified in data	Not specified in data
