type	study_link_id	citation_or_DOI	de_identification_method_type	de_identification_method_type_concept_code	file.file_id	image_modality	image_modality_concept_code	imaging_equipment_manufacturer	license	organ_or_tissue	organ_or_tissue_concept_code	species
image	dg.4DFC/014905f8-28e9-5cfc-8302-9eddbde90eac	https://doi.org/10.7937/K9/TCIA.2016.XLwaN6nL	Semiautomatic	C172484	dg.4DFC/014905f8-28e9-5cfc-8302-9eddbde90eac	MR	C16809	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/014e3c90-34db-597b-a3e4-f81c5537a61c	https://doi.org/10.7937/K9/TCIA.2016.XLwaN6nL	Semiautomatic	C172484	dg.4DFC/014e3c90-34db-597b-a3e4-f81c5537a61c	MR	C16809	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/015356e2-44a9-5bcc-adfc-815299db68b4	https://doi.org/10.7937/K9/TCIA.2016.XLwaN6nL	Semiautomatic	C172484	dg.4DFC/015356e2-44a9-5bcc-adfc-815299db68b4	MR	C16809	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/015e8246-2ad1-5ac3-8e6c-c0b50d973b91	https://doi.org/10.7937/K9/TCIA.2016.XLwaN6nL	Semiautomatic	C172484	dg.4DFC/015e8246-2ad1-5ac3-8e6c-c0b50d973b91	MR	C16809	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/016bb8a5-6ff6-5375-87f4-1f02827e1ed5	https://doi.org/10.7937/K9/TCIA.2016.XLwaN6nL	Semiautomatic	C172484	dg.4DFC/016bb8a5-6ff6-5375-87f4-1f02827e1ed5	MR	C16809	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/018fd9da-ffad-5508-946e-d778a65a9a2b	https://doi.org/10.7937/K9/TCIA.2016.XLwaN6nL	Semiautomatic	C172484	dg.4DFC/018fd9da-ffad-5508-946e-d778a65a9a2b	MR	C16809	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/0190fbf9-e93f-5c57-8895-041652caeb79	https://doi.org/10.7937/K9/TCIA.2016.XLwaN6nL	Semiautomatic	C172484	dg.4DFC/0190fbf9-e93f-5c57-8895-041652caeb79	MR	C16809	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/01b25633-b433-5123-a4f6-07f3c81b6d58	https://doi.org/10.7937/K9/TCIA.2016.XLwaN6nL	Semiautomatic	C172484	dg.4DFC/01b25633-b433-5123-a4f6-07f3c81b6d58	MR	C16809	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/01c6cc0a-6dc7-5c09-81a6-583e5c9351bd	https://doi.org/10.7937/K9/TCIA.2016.XLwaN6nL	Semiautomatic	C172484	dg.4DFC/01c6cc0a-6dc7-5c09-81a6-583e5c9351bd	MR	C16809	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/01cb8674-7ae9-59af-8ce9-5f2c1ca7c4e8	https://doi.org/10.7937/K9/TCIA.2016.XLwaN6nL	Semiautomatic	C172484	dg.4DFC/01cb8674-7ae9-59af-8ce9-5f2c1ca7c4e8	MR	C16809	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
